	group_id	eng_name	view_name	award_method	need_room	need_weight
	307	3v3_xx_pmjl_2	PhÇn th­ëng Top 2-3 ChiÕn §éi §éi T©n Tó	3	2	500
	308	3v3_xx_pmjl_3	PhÇn th­ëng Top 4-8 ChiÕn §éi §éi T©n Tó	3	2	500
	309	3v3_xx_pmjl_4	PhÇn th­ëng Top 9-16 ChiÕn §éi §éi T©n Tó	3	2	500
	310	tong_free1	Tói Quµ Phóc Lîi Bang CÊp 1	2	2	500
	311	tong_free2	Tói Quµ Phóc Lîi Bang CÊp 2	2	2	500
	312	tong_free3	Tói Quµ Phóc Lîi Bang CÊp 3	2	2	500
	313	4xingjinshe	Tói Trang BÞ Kim Xµ 4 Sao	2	2	500
	314	tong_xiaojiangquan	VÐ Sè Bang-Nhá	2	2	500
	315	tong_dajiangquan	VÐ Sè Bang-Lín	2	2	500
	316	csm_fusheng5_80	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	317	csm_fusheng5_81	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	318	csm_fusheng5_82	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	319	csm_fusheng5_83	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	320	csm_fusheng5_84	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	321	csm_fusheng5_85	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	322	csm_fusheng5_86	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	323	csm_fusheng5_87	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	324	csm_fusheng5_88	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	325	csm_fusheng5_89	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	326	csm_fusheng5_90	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	327	csm_fusheng5_91	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	328	csm_fusheng5_92	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	329	csm_fusheng5_93	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	330	csm_fusheng5_94	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	331	csm_fusheng5_95	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	332	csm_fusheng5_96	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	333	csm_fusheng5_97	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	334	csm_fusheng5_98	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	335	csm_fusheng5_99	Phôc sinh 5 t¨ng cÊp tiªu hao	4		
	336	haoxiacailiaobao	Tói Nguyªn LiÖu Hµo HiÖp	2	1	500
	337	meishaoxue_7d	Mai Tiªu TuyÕt(7 ngµy)	1	1	500
	338	xiezhu_7d	Héc Ch©u (7 ngµy)	1	1	500
	339	zuipo_7d	Tóy Ph¸ch (7 ngµy)	1	1	500
	340	haoxia_ring	Nhãm giíi chØ Hµo HiÖp	2	1	500
	341	xialuxiangfeng_1	Th­ëng HiÖp Lé T­¬ng Phïng Lv1	2	1	500
	342	xialuxiangfeng_2	Th­ëng HiÖp Lé T­¬ng Phïng Lv2	2	1	500
	343	haoxiafangju	Nhãm phßng cô Hµo HiÖp	2	1	500
	344	tashaxing_7d	Nhãm Ngo¹i Trang §¹p Sa Hµnh	2	1	500
	345	hantangyan_7d	Nhãm Ngo¹i Trang Hµn §­êng Nh¹n	2	1	500
	346	mashentouzhong_7d	Nhãm Xóc X¾c Ma ThÇn	2	1	500
	347	chunjie_zongzi	B¸nh Ngon	2	1	500
	348	chunjie_xiaonianshou	Quµ TiÓu Niªn Thó	2	1	500
	349	chunjie_danianshou	§¹i Niªn Thó Tu LuyÖn	2	1	500
	350	chunjie_kainianfan	M·n Hång	2	1	500
	351	xinchunchoujiangquan	VÐ Sè TÕt ¢m LÞch	2	1	500
	352	gem_lv6_normal	B¶o Th¹ch CÊp 6	2		
	353	zhaoyaoqi	Thó Nu«i HiÕm Lv7	2	3	500
	354	baiyaoyuanshen	Thó Nu«i Th­êng Lv7	2	3	500
	355	xiaofudai_1	Nhãm Tói Phóc Lîi-Nhá-NgÉu Nhiªn	2	1	
	356	dafudai_1	Nhãm Tói Phóc Lîi-Lín-NgÉu Nhiªn	2	1	
	357	xiaofudai	Tói Phóc Lîi-Nhá	3	2	
	358	dafudai	Tói Phóc Lîi-Lín	3	2	
	359	6ji_huoban_book	S¸ch Kü N¨ng Thó C­ng Lv6	2	3	500
	360	KFboss_libao1	Tói Quµ BOSS Liªn Server ( kinh nghiÖm)	3		
	361	KFboss_libao2	Tói Quµ BOSS Liªn Server (§¹o cô ngÉu nhiªn)	2		
	362	KFboss_libaojihe	Tæng hîp hai tói quµ trªn	3	1	
	363	VNG_event1	VNG_event1	2		
	364	VNG_event2	VNG_event2	2		
	365	VNG_event3	VNG_event3	2		
	366	suolingshixiang	R­¬ng Táa Linh Th¹ch	2	1	
	367	yizhu5_7	Th­¬ng H¶i Ch©u Lv5-Lv7 (Kho¸)	2	1	
	368	fenghua1	Quµ §¹i Sø Phong Hoa_Trang søc ®eo h«ng h¹n giê	2		
	369	fenghua2	Quµ §¹i Sø Phong Hoa_Trang søc ®eo h«ng vÜnh viÔn	2		
	370	fenghua3	Quµ §¹i Sø Phong Hoa-Tæng Hîp	2	1	
	371	kfymg_win	Nh¹n M«n Quan Liªn Server-Th­ëng ChiÕn Th¾ng	2	1	
	372	kfymg_failure	Nh¹n M«n Quan Liªn Server-Th­ëng ThÊt B¹i	2	1	
	373	dilingjinghua	Thó Nu«i HiÕm Lv8	2	3	500
	1000	csm_100_tianjiaoling	Tiªu hao 100 Thiªn Kiªu LÖnh	4		
