ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
227	Linh Thó	0;105;207		99999;99999;99999	100		1	7	0.3	0;40	®øng yªn b×nh th­êng	2000
228	Tr©u (§Ñp)	0;105;30187		99999;99999;99999	100		1	34	0.3	0;40	®øng yªn b×nh th­êng	4000
229	Phi KiÕm (Hoa LÖ)	0;105;30205		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
230	UyÓn C©u Ký TuÊn	0;105;119		99999;99999;99999	100		1	2	0.3	0;40	®øng yªn b×nh th­êng	500
231	Ngùa (§Ñp)	0;105;30206		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
232	B¹ch Tr¹ch Linh Thó	0;105;188		99999;99999;99999	50		1	21	0.3	0;40	®øng yªn b×nh th­êng	400
233	Hå Li	0;105;163		99999;99999;99999	50		1	14	0.3	0;40	®øng yªn b×nh th­êng	2000
234	UyÓn C©u Ký TuÊn	0;105;114		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	1000
235	Hå Ly (§Ñp)	0;105;30207		99999;99999;99999	100		1	44	0.3	0;40	®øng yªn b×nh th­êng	2500
236	Ngùa (§Ñp)	0;105;30208		99999;99999;99999	100		1	37	0.3	0;40	®øng yªn b×nh th­êng	2500
237	Linh Thó	0;105;185		99999;99999;99999	100		1	7	0.3	0;40	®øng yªn b×nh th­êng	200
238	L¹c §µ (§Ñp)	0;105;30171		99999;99999;99999	100		1	45	0.3	0;40	®øng yªn b×nh th­êng	2500
239	UyÓn C©u Ký TuÊn	0;105;113		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	200
240	Ngùa (§Ñp)	0;105;30209		99999;99999;99999	10		1	37	0.3	0;40	®øng yªn b×nh th­êng	1000
241	Ngù KiÕm	0;105;196		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
242	S¬n D­¬ng (§Ñp)	0;105;30055		99999;99999;99999	100		1	40	0.3	0;40	®øng yªn b×nh th­êng	1000
243	UyÓn C©u Ký TuÊn	0;105;177		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	200
244	UyÓn C©u Ký TuÊn	0;105;178		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	200
245	UyÓn C©u Ký TuÊn	0;105;179		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	200
246	Ngù KiÕm	0;105;197		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
247	Ngùa (§Ñp)	0;105;30210		99999;99999;99999	10		1	37	0.3	0;40	®øng yªn b×nh th­êng	1000
248	Ngùa (§Ñp)	0;105;30211		99999;99999;99999	10		1	37	0.3	0;40	®øng yªn b×nh th­êng	1000
249	Ngùa (§Ñp)	0;105;30212		99999;99999;99999	10		1	37	0.3	0;40	®øng yªn b×nh th­êng	1000
250	Ngù KiÕm	0;105;216		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
251	Ngù KiÕm	0;105;217		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
252	Ngù KiÕm	0;105;218		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
253	Ngù KiÕm	0;105;219		99999;99999;99999	100		1	17	0.3	0;40	®øng yªn b×nh th­êng	2500
254	Phi KiÕm (Hoa LÖ)	0;105;30218		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
255	Phi KiÕm (Hoa LÖ)	0;105;30219		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
256	Phi KiÕm (Hoa LÖ)	0;105;30220		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
257	Phi KiÕm (Hoa LÖ)	0;105;30221		99999;99999;99999	100		1	32	0.3	0;40	®øng yªn b×nh th­êng	2500
258	Toan Nghª	0;105;205		99999;99999;99999	100		1	22	0.5	0;40	®øng yªn b×nh th­êng	2000
259	MÌo DÔ Th­¬ng	0;105;223		99999;99999;99999	100		1	28	0.4	0;40	®øng yªn b×nh th­êng	2000
260	MÌo (§Ñp)	0;105;30225		99999;99999;99999	100		1	49	0.4	0;40	®øng yªn b×nh th­êng	2500
