ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
50973	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30362;1	2	4	25			50925		
50974	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30363;1	1	1	26			50922		
50975	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30364;1	1	2	26			50923		
50976	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30365;1	2	3	26			50924		
50977	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30366;1	2	4	26			50925		
50978	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30367;1	1	1	27			50922		
50979	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30368;1	1	2	27			50923		
50980	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30369;1	2	3	27			50924		
50981	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30370;1	2	4	27			50925		
50982	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30371;1	2	3	29			50924		
50983	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30372;1	2	4	29			50925		
50984	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30373;1	2	3	30			50924		
50985	Tèng_Háa Phông T­íng Qu©n Trang	0;101;30374;1	2	4	30			50925		
50986	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32153;1	1	1	31			50922		
50987	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32153;1	1	2	31			50923		
50988	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32153;1	2	3	31			50924		
50989	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32153;1	2	4	31			50925		
50990	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32161;1	1	1	32			50922		
50991	Tèng_Háa Phông T­íng Qu©n Trang	0;101;32161;1	1	2	32			50923		
50992	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30228;1	1	1	2			50992		
50993	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30229;1	1	2	2			50993		
50994	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30230;1	1	1	3			50992		
50995	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30231;1	1	2	3			50993		
50996	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30232;1	1	1	4			50992		
50997	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30233;1	1	2	4			50993		
50998	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30234;1	1	1	6			50992		
50999	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30235;1	1	2	6			50993		
51000	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30236;1	2	3	6			50994		
51001	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30237;1	2	4	6			50995		
51002	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30238;1	2	3	8			50994		
51003	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30239;1	2	4	8			50995		
51004	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30240;1	2	3	9			50994		
51005	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30241;1	2	4	9			50995		
51006	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30242;1	1	1	11			50992		
51007	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30243;1	1	2	11			50993		
51008	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30244;1	2	3	11			50994		
51009	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30245;1	2	4	11			50995		
51010	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30246;1	1	1	12			50992		
51011	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30247;1	1	2	12			50993		
51012	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30248;1	2	3	12			50994		
51013	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30249;1	2	4	12			50995		
51014	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30250;1	1	1	14			50992		
51015	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30251;1	1	2	14			50993		
51016	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30252;1	2	3	14			50994		
51017	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30253;1	2	4	14			50995		
51018	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30254;1	1	1	15			50992		
51019	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30255;1	1	2	15			50993		
51020	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30256;1	2	3	15			50994		
51021	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30257;1	2	4	15			50995		
51022	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30258;1	1	1	17			50992		
51023	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30259;1	1	2	17			50993		
51024	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30260;1	2	3	17			50994		
51025	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30261;1	2	4	17			50995		
51026	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30262;1	1	1	18			50992		
51027	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30263;1	1	2	18			50993		
51028	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30264;1	2	3	18			50994		
51029	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30265;1	2	4	18			50995		
51030	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30266;1	1	1	20			50992		
51031	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30267;1	1	2	20			50993		
51032	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30268;1	2	3	20			50994		
51033	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30269;1	2	4	20			50995		
51034	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30270;1	1	1	21			50992		
51035	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30271;1	1	2	21			50993		
51036	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30272;1	2	3	21			50994		
51037	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30273;1	2	4	21			50995		
51038	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30274;1	1	1	23			50992		
51039	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30275;1	1	2	23			50993		
51040	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30276;1	1	1	25			50992		
51041	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30277;1	1	2	25			50993		
51042	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30278;1	2	3	25			50994		
51043	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30279;1	2	4	25			50995		
51044	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30280;1	1	1	26			50992		
51045	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30281;1	1	2	26			50993		
51046	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30282;1	2	3	26			50994		
51047	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30283;1	2	4	26			50995		
51048	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30284;1	1	1	27			50992		
51049	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30285;1	1	2	27			50993		
51050	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30286;1	2	3	27			50994		
51051	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30287;1	2	4	27			50995		
51052	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30288;1	2	3	29			50994		
51053	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30289;1	2	4	29			50995		
51054	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30290;1	2	3	30			50994		
51055	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;30291;1	2	4	30			50995		
51056	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31486;1	1	1	31			50992		
51057	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31486;1	1	2	31			50993		
51058	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31486;1	2	3	31			50994		
51059	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31486;1	2	4	31			50995		
51060	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31514;1	1	1	32			50992		
51061	Tèng_Háa Phông T­íng Qu©n LÖnh Bµi	0;102;31514;1	1	2	32			50993		
51062	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30292;1	1	1	2			51062		
51063	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30293;1	1	2	2			51063		
51064	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30294;1	1	1	3			51062		
51065	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30295;1	1	2	3			51063		
51066	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30296;1	1	1	4			51062		
51067	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30297;1	1	2	4			51063		
51068	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30298;1	1	1	6			51062		
51069	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30299;1	1	2	6			51063		
51070	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30300;1	2	3	6			51064		
51071	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30301;1	2	4	6			51065		
51072	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30302;1	2	3	8			51064		
51073	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30303;1	2	4	8			51065		
51074	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30304;1	2	3	9			51064		
51075	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30305;1	2	4	9			51065		
51076	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30306;1	1	1	11			51062		
51077	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30307;1	1	2	11			51063		
51078	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30308;1	2	3	11			51064		
51079	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30309;1	2	4	11			51065		
51080	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30310;1	1	1	12			51062		
51081	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30311;1	1	2	12			51063		
51082	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30312;1	2	3	12			51064		
51083	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30313;1	2	4	12			51065		
51084	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30314;1	1	1	14			51062		
51085	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30315;1	1	2	14			51063		
51086	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30316;1	2	3	14			51064		
51087	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30317;1	2	4	14			51065		
51088	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30318;1	1	1	15			51062		
51089	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30319;1	1	2	15			51063		
51090	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30320;1	2	3	15			51064		
51091	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30321;1	2	4	15			51065		
51092	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30322;1	1	1	17			51062		
51093	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30323;1	1	2	17			51063		
51094	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30324;1	2	3	17			51064		
51095	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30325;1	2	4	17			51065		
51096	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30326;1	1	1	18			51062		
51097	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30327;1	1	2	18			51063		
51098	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30328;1	2	3	18			51064		
51099	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30329;1	2	4	18			51065		
51100	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30330;1	1	1	20			51062		
51101	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30331;1	1	2	20			51063		
51102	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30332;1	2	3	20			51064		
51103	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30333;1	2	4	20			51065		
51104	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30334;1	1	1	21			51062		
51105	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30335;1	1	2	21			51063		
51106	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30336;1	2	3	21			51064		
51107	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30337;1	2	4	21			51065		
51108	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30338;1	1	1	23			51062		
51109	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30339;1	1	2	23			51063		
51110	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30340;1	1	1	25			51062		
51111	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30341;1	1	2	25			51063		
51112	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30342;1	2	3	25			51064		
51113	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30343;1	2	4	25			51065		
51114	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30344;1	1	1	26			51062		
51115	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30345;1	1	2	26			51063		
51116	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30346;1	2	3	26			51064		
51117	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30347;1	2	4	26			51065		
51118	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30348;1	1	1	27			51062		
51119	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30349;1	1	2	27			51063		
51120	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30350;1	2	3	27			51064		
51121	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30351;1	2	4	27			51065		
51122	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30352;1	2	3	29			51064		
51123	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30353;1	2	4	29			51065		
51124	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30354;1	2	3	30			51064		
51125	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;30355;1	2	4	30			51065		
51126	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31487;1	1	1	31			51062		
51127	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31487;1	1	2	31			51063		
51128	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31487;1	2	3	31			51064		
51129	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31487;1	2	4	31			51065		
51130	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31515;1	1	1	32			51062		
51131	Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0;102;31515;1	1	2	32			51063		
51132	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30356;1	1	1	2			51132		
51133	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30357;1	1	2	2			51133		
51134	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30358;1	1	1	3			51132		
51135	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30359;1	1	2	3			51133		
51136	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30360;1	1	1	4			51132		
51137	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30361;1	1	2	4			51133		
51138	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30362;1	1	1	6			51132		
51139	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30363;1	1	2	6			51133		
51140	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30364;1	2	3	6			51134		
51141	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30365;1	2	4	6			51135		
51142	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30366;1	2	3	8			51134		
51143	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30367;1	2	4	8			51135		
51144	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30368;1	2	3	9			51134		
51145	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30369;1	2	4	9			51135		
51146	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30370;1	1	1	11			51132		
51147	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30371;1	1	2	11			51133		
51148	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30372;1	2	3	11			51134		
51149	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30373;1	2	4	11			51135		
51150	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30374;1	1	1	12			51132		
51151	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30375;1	1	2	12			51133		
51152	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30376;1	2	3	12			51134		
51153	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30377;1	2	4	12			51135		
51154	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30378;1	1	1	14			51132		
51155	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30379;1	1	2	14			51133		
51156	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30380;1	2	3	14			51134		
51157	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30381;1	2	4	14			51135		
51158	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30382;1	1	1	15			51132		
51159	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30383;1	1	2	15			51133		
51160	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30384;1	2	3	15			51134		
51161	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30385;1	2	4	15			51135		
51162	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30386;1	1	1	17			51132		
51163	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30387;1	1	2	17			51133		
51164	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30388;1	2	3	17			51134		
51165	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30389;1	2	4	17			51135		
51166	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30390;1	1	1	18			51132		
51167	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30391;1	1	2	18			51133		
51168	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30392;1	2	3	18			51134		
51169	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30393;1	2	4	18			51135		
51170	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30394;1	1	1	20			51132		
51171	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30395;1	1	2	20			51133		
51172	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30396;1	2	3	20			51134		
51173	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30397;1	2	4	20			51135		
51174	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30398;1	1	1	21			51132		
51175	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30399;1	1	2	21			51133		
51176	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30400;1	2	3	21			51134		
51177	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30401;1	2	4	21			51135		
51178	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30402;1	1	1	23			51132		
51179	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30403;1	1	2	23			51133		
51180	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30404;1	1	1	25			51132		
51181	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30405;1	1	2	25			51133		
51182	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30406;1	2	3	25			51134		
51183	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30407;1	2	4	25			51135		
51184	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30408;1	1	1	26			51132		
51185	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30409;1	1	2	26			51133		
51186	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30410;1	2	3	26			51134		
51187	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30411;1	2	4	26			51135		
51188	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30412;1	1	1	27			51132		
51189	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30413;1	1	2	27			51133		
51190	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30414;1	2	3	27			51134		
51191	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30415;1	2	4	27			51135		
51192	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30416;1	2	3	29			51134		
51193	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30417;1	2	4	29			51135		
51194	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30418;1	2	3	30			51134		
51195	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;30419;1	2	4	30			51135		
51196	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31488;1	1	1	31			51132		
51197	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31488;1	1	2	31			51133		
51198	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31488;1	2	3	31			51134		
51199	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31488;1	2	4	31			51135		
51200	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31516;1	1	1	32			51132		
51201	Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0;102;31516;1	1	2	32			51133		
51202	Tèng_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0;3;30328;1	1	1	2			51202		
51203	Tèng_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0;3;30329;1	1	2	2			51203		
51204	Tèng_Háa Phông T­íng Qu©n Tr­îng (Cao CÊp)	0;8;30330;1	1	1	3			51204		
51205	Tèng_Háa Phông T­íng Qu©n Tr­îng (Cao CÊp)	0;8;30331;1	1	2	3			51205		
51206	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30332;1	1	1	4			51206		
51207	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30333;1	1	2	4			51207		
51208	Tèng_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0;1;30334;1	1	1	6			51208		
51209	Tèng_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0;1;30335;1	1	2	6			51209		
51210	Tèng_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0;1;30336;1	2	3	6			51210		
51211	Tèng_Háa Phông T­íng Qu©n Ch©m (Cao CÊp)	0;1;30337;1	2	4	6			51211		
51212	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30338;1	2	3	8			51212		
51213	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30339;1	2	4	8			51213		
51214	Tèng_Háa Phông T­íng Qu©n CÇm (Cao CÊp)	0;10;30340;1	2	3	9			51214		
51215	Tèng_Háa Phông T­íng Qu©n CÇm (Cao CÊp)	0;10;30341;1	2	4	9			51215		
51216	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30342;1	1	1	11			51216		
51217	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30343;1	1	2	11			51217		
51218	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30344;1	2	3	11			51218		
51219	Tèng_Háa Phông T­íng Qu©n Thñ (Cao CÊp)	0;0;30345;1	2	4	11			51219		
51220	Tèng_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0;5;30346;1	1	1	12			51220		
51221	Tèng_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0;5;30347;1	1	2	12			51221		
51222	Tèng_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0;5;30348;1	2	3	12			51222		
51223	Tèng_Háa Phông T­íng Qu©n C«n (Cao CÊp)	0;5;30349;1	2	4	12			51223		
51224	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30350;1	1	1	14			51224		
51225	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30351;1	1	2	14			51225		
51226	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30352;1	2	3	14			51226		
51227	Tèng_Háa Phông T­íng Qu©n KiÕm (Cao CÊp)	0;2;30353;1	2	4	14			51227		
51228	Tèng_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0;9;30354;1	1	1	15			51228		
51229	Tèng_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0;9;30355;1	1	2	15			51229		
51230	Tèng_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0;9;30356;1	2	3	15			51230		
51231	Tèng_Háa Phông T­íng Qu©n Bót (Cao CÊp)	0;9;30357;1	2	4	15			51231		
51232	Tèng_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0;6;30358;1	1	1	17			51232		
51233	Tèng_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0;6;30359;1	1	2	17			51233		
51234	Tèng_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0;6;30360;1	2	3	17			51234		
51235	Tèng_Háa Phông T­íng Qu©n Th­¬ng (Cao CÊp)	0;6;30361;1	2	4	17			51235		
51236	Tèng_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0;4;30362;1	1	1	18			51236		
51237	Tèng_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0;4;30363;1	1	2	18			51237		
51238	Tèng_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0;4;30364;1	2	3	18			51238		
51239	Tèng_Háa Phông T­íng Qu©n Cung (Cao CÊp)	0;4;30365;1	2	4	18			51239		
51240	Tèng_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0;7;30366;1	1	1	20			51240		
51241	Tèng_Háa Phông T­íng Qu©n §ao (Cao CÊp)	0;7;30367;1	1	2	20			51241		
