line_id	group_id	desc_cn	attr_type	attr_val	min_type	min_val	max_type	max_val	desc_vn
316	40316	拥有7级金蛇徽章的人数	ITEM_STAT	21570	CONST	1	CONST	2100000000	
317	40317	拥有7级金蛇披风的人数	ITEM_STAT	21571	CONST	1	CONST	2100000000	
318	40318	拥有7级金蛇道靴的人数	ITEM_STAT	21572	CONST	1	CONST	2100000000	
319	40319	7级金蛇强化度分段1-4	ITEM_BASE	1004	CONST	1	CONST	4	
320	40320	7级金蛇强化度分段5-8	ITEM_BASE	1004	CONST	5	CONST	8	
321	40321	7级金蛇强化度分段9-12	ITEM_BASE	1004	CONST	9	CONST	12	
322	40322	7级金蛇养成度分段1-4	ITEM_BASE	1012	CONST	1	CONST	4	
323	40323	7级金蛇养成度分段5-8	ITEM_BASE	1012	CONST	5	CONST	8	
324	40324	7级金蛇养成度分段9-12	ITEM_BASE	1012	CONST	9	CONST	12	
325	40325	拥有非你莫属包的人数	ITEM_STAT	21579	CONST	1	CONST	2100000000	
326	40326	坐骑碎片人数	ITEM_STAT	21580	CONST	1	CONST	2100000000	
327	40327	6级金蛇靴子碎片人数	ITEM_STAT	21581	CONST	1	CONST	2100000000	
328	40328	6级金蛇徽章碎片人数	ITEM_STAT	21582	CONST	1	CONST	2100000000	
329	40329	6级金蛇披风碎片人数	ITEM_STAT	21583	CONST	1	CONST	2100000000	
330	40330	社君锁灵石1人数	ITEM_STAT	21584	CONST	1	CONST	2100000000	
331	40331	社君锁灵石2人数	ITEM_STAT	21585	CONST	1	CONST	2100000000	
332	40332	社君锁灵石3人数	ITEM_STAT	21586	CONST	1	CONST	2100000000	
333	40333	社君锁灵石4人数	ITEM_STAT	21587	CONST	1	CONST	2100000000	
334	40334	社君锁灵石5人数	ITEM_STAT	21588	CONST	1	CONST	2100000000	
335	40335	社君锁灵石6人数	ITEM_STAT	21589	CONST	1	CONST	2100000000	
336	40336	7级靴子碎片人数	ITEM_STAT	21590	CONST	1	CONST	2100000000	
337	40337	7级徽章碎片人数	ITEM_STAT	21591	CONST	1	CONST	2100000000	
338	40338	7级披风碎片人数	ITEM_STAT	21592	CONST	1	CONST	2100000000	
339	40339	7级炼炉铁人数	ITEM_STAT	21593	CONST	1	CONST	2100000000	
340	40340	7级洗心石人数	ITEM_STAT	21594	CONST	1	CONST	2100000000	
341	40341	4级变换头部刻板人数	ITEM_STAT	21595	CONST	1	CONST	2100000000	
342	40342	4级变换上装刻板人数	ITEM_STAT	21596	CONST	1	CONST	2100000000	
343	40343	4级变换下装刻板人数	ITEM_STAT	21597	CONST	1	CONST	2100000000	
344	40344	4级变换戒指刻板人数	ITEM_STAT	21598	CONST	1	CONST	2100000000	
345	40345	4级变换玉佩刻板人数	ITEM_STAT	21599	CONST	1	CONST	2100000000	
346	40346	4级纹饰头人数	ITEM_STAT	21600	CONST	1	CONST	2100000000	
347	40347	4级纹饰衣人数	ITEM_STAT	21601	CONST	1	CONST	2100000000	
348	40348	4级纹饰裤人数	ITEM_STAT	21602	CONST	1	CONST	2100000000	
349	40349	4级纹饰戒指人数	ITEM_STAT	21603	CONST	1	CONST	2100000000	
350	40350	4级纹饰玉佩人数	ITEM_STAT	21604	CONST	1	CONST	2100000000	
351	40351	师门嘉奖令人数	ITEM_STAT	21605	CONST	1	CONST	2100000000	
352	40352	忘忧丹人数	ITEM_STAT	21606	CONST	1	CONST	2100000000	
