ID	ConditionDes	Comment	Type	Value1	Value2	Value3	Value4	Value5						
296	Rót th­ëng Tô B¶o Trai %d/50 lÇn	HiÖp Kh¸ch Hµnh	0	3621	1	50								
297	Sö dông %d/15 Vinh Dù Ch­¬ng	HiÖp Kh¸ch Hµnh	0	3622	1	15								
298	KÝch ho¹t thÎ th¸ng	HiÖp Kh¸ch Hµnh	3											
299	NhËn ®­îc Quµ B¸o Danh Hµo Hoa	HiÖp Kh¸ch Hµnh	1	3615	7	1								
300	Hoµn thµnh 1 lÇn Kinh ThÕ ThiÕt TÆc	HiÖp Kh¸ch Hµnh	1	3615	8	1								
301	T«i luyÖn thµnh c«ng Th­¬ng H¶i Ch©u 1 lÇn	HiÖp Kh¸ch Hµnh	1	3615	9	1								
302	T«i luyÖn 1 Th­¬ng H¶i Ch©u ®Õn Lv20	HiÖp Kh¸ch Hµnh	0	3623	1	1								
303	T«i luyÖn %d/10 Th­¬ng H¶i Ch©u ®Õn Lv20	HiÖp Kh¸ch Hµnh	0	3623	1	10								
304	DiÖt BOSS Ngoµi Thµnh [NhËm Ng· Hµnh]	HiÖp Kh¸ch Hµnh	1	3624	1	1								
305	DiÖt BOSS Ngoµi Thµnh [Th­¬ng ThÇn Doanh Thiªn]	HiÖp Kh¸ch Hµnh	1	3624	2	1								
306	DiÖt BOSS Ngoµi Thµnh [B¾c Lôc L©m Minh Chñ]	HiÖp Kh¸ch Hµnh	1	3624	3	1								
307	DiÖt BOSS Ngoµi Thµnh [L·nh H­¬ng L¨ng]	HiÖp Kh¸ch Hµnh	1	3624	4	1								
308	DiÖt BOSS Ngoµi Thµnh [§µo Hoa §¶o Chñ Hoµng Long]	HiÖp Kh¸ch Hµnh	1	3624	5	1								
309	DiÖt BOSS Ngoµi Thµnh [T©y Vùc Th­¬ng Lang B¸ V­¬ng]	HiÖp Kh¸ch Hµnh	1	3624	6	1								
310	DiÖt BOSS Ngoµi Thµnh [Ngäc S¬n Chi Linh Thiªn Cöu]	HiÖp Kh¸ch Hµnh	1	3624	7	1								
311	DiÖt BOSS Ngoµi Thµnh [U Tr¹ch Chi ¶nh Minh Vâ]	HiÖp Kh¸ch Hµnh	1	3624	8	1								
312	DiÖt BOSS Bang [Bé Phi Yªn]	HiÖp Kh¸ch Hµnh	1	3625	1	1								
313	DiÖt BOSS Bang [H¹ C¶nh Th¾ng]	HiÖp Kh¸ch Hµnh	1	3625	2	1								
314	DiÖt BOSS Bang [NhiÕp §¹i Chïy]	HiÖp Kh¸ch Hµnh	1	3625	3	1								
315	DiÖt BOSS Bang [C«n L«n N«]	HiÖp Kh¸ch Hµnh	1	3625	4	1								
316	DiÖt BOSS Bang [Bïi Hµng]	HiÖp Kh¸ch Hµnh	1	3625	5	1								
317	DiÖt BOSS Bang [LiÔu NghÞ]	HiÖp Kh¸ch Hµnh	1	3625	6	1								
318	DiÖt BOSS Bang [Hång TuyÕn]	HiÖp Kh¸ch Hµnh	1	3625	7	1								
319	DiÖt BOSS Ma Vùc [TrÇn Lçi]	HiÖp Kh¸ch Hµnh	1	3626	1	1								
320	DiÖt BOSS Ma Vùc [Thiªn ¢m Gi¸o-Ma Vùc Chuyªn Sø]	HiÖp Kh¸ch Hµnh	1	3626	2	1								
321	DiÖt BOSS Ma Vùc [Thiªn ¢m Gi¸o §å Träng Th­¬ng]	HiÖp Kh¸ch Hµnh	1	3626	3	1								
322	a§¨ng NhËp Mçi Ngµy	HiÖp Kh¸ch Hµnh	1	3627	1	1								
323	aTrång 1 C©y B¸t Nh·-Nhá	HiÖp Kh¸ch Hµnh	1	3627	2	1								
324	aTrång 1 C©y Tø Linh	HiÖp Kh¸ch Hµnh	1	3627	3	1								
325	aTrång 1 C©y H¹t Gièng	HiÖp Kh¸ch Hµnh	1	3627	4	1								
326	aVËn Tiªu	HiÖp Kh¸ch Hµnh	1	3627	5	1								
327	a§o¹t Tiªu	HiÖp Kh¸ch Hµnh	1	3627	6	1								
328	aSö dông 50 Ph¸o ChiÕn Th¾ng	HiÖp Kh¸ch Hµnh	1	3627	7	1								
329	aThÇn Du Th¸i H­	HiÖp Kh¸ch Hµnh	1	3627	8	1								
330	aV­ît phã b¶n §Þa HuyÒn Cung 1 lÇn	HiÖp Kh¸ch Hµnh	1	3627	9	1								
331	aV­ît phã b¶n L­¬ng S¬n 1 lÇn	HiÖp Kh¸ch Hµnh	1	3627	10	1								
332	aV­ît phã b¶n V¹n KiÕm Tròng 1 lÇn	HiÖp Kh¸ch Hµnh	1	3627	11	1								
333	aHoµn thµnh 1 lÇn KiÕm §·ng YÕn V©n-LËt Bµi Tr¶ PhÝ	HiÖp Kh¸ch Hµnh	1	3627	12	1								
334	a§¹i ChiÕn Nh¹n M«n Quan	HiÖp Kh¸ch Hµnh	1	3627	13	1								
335	aChiÕn tr­êng liªn ®Êu	HiÖp Kh¸ch Hµnh	1	3627	14	1								
336	aKÝch ho¹t danh hiÖu bang héi cao cÊp	HiÖp Kh¸ch Hµnh	1	3627	15	1								
337	aLËp Bang	HiÖp Kh¸ch Hµnh	1	3627	16	1								
338	aHoµn thµnh nhiÖm vô Khiªu ChiÕn L­¬ng S¬n §o¹t Qu©n	HiÖp Kh¸ch Hµnh	1	3628	1	1								
339	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-CËp Thêi Vò Tèng Giang	HiÖp Kh¸ch Hµnh	1	3628	2	1								
340	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Tri §a Tinh Ng« Dông	HiÖp Kh¸ch Hµnh	1	3628	3	1								
341	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Cöu V¨n Long Sö TiÕn	HiÖp Kh¸ch Hµnh	1	3628	4	1								
342	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-TiÓu TuyÒn Phong Sµi TiÕn	HiÖp Kh¸ch Hµnh	1	3628	5	1								
343	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-§¹i §ao Quan Th¾ng	HiÖp Kh¸ch Hµnh	1	3628	6	1								
344	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-NhËp V©n Long C«ng T«n Th¾ng	HiÖp Kh¸ch Hµnh	1	3628	7	1								
345	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-B¸o Tö §Çu L©m Xung	HiÖp Kh¸ch Hµnh	1	3628	8	1								
346	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Hoa Hßa Th­îng Lç TrÝ Th©m	HiÖp Kh¸ch Hµnh	1	3628	9	1								
347	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-H¾c Toµn Phong Lý Quú	HiÖp Kh¸ch Hµnh	1	3628	10	1								
348	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Hµnh Gi¶ Vâ Tßng	HiÖp Kh¸ch Hµnh	1	3628	11	1								
349	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-BÖnh Quan S¸c D­¬ng Hïng	HiÖp Kh¸ch Hµnh	1	3628	12	1								
350	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Phanh MÖnh Tam Lang Th¹ch Tó	HiÖp Kh¸ch Hµnh	1	3628	13	1								
351	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-NhÊt Tr­îng Thanh Hæ Tam N­¬ng	HiÖp Kh¸ch Hµnh	1	3628	14	1								
352	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Song Th­¬ng T­íng §æng B×nh	HiÖp Kh¸ch Hµnh	1	3628	15	1								
353	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Thanh DiÖn Thó D­¬ng TrÝ	HiÖp Kh¸ch Hµnh	1	3628	16	1								
354	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-TÝch LÞch Háa TÇn Minh	HiÖp Kh¸ch Hµnh	1	3628	17	1								
355	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Tóy B¸n Tiªn Phong NhÊt Phµm	HiÖp Kh¸ch Hµnh	1	3628	18	1								
356	aKhiªu ChiÕn Anh Hïng L­¬ng S¬n-Song Tiªn H« Diªn Ch­íc	HiÖp Kh¸ch Hµnh	1	3628	19	1								
357	aKhiªu ChiÕn QuÇn Hïng L­¬ng S¬n	HiÖp Kh¸ch Hµnh	1	3628	20	1								
358	aDiÖt S¸t Thñ Tinh Anh	HiÖp Kh¸ch Hµnh	1	3628	21	1								
359	aDiÖt ThÝch Kh¸ch Tinh Anh	HiÖp Kh¸ch Hµnh	1	3628	22	1								
360	aDiÖt TÝn Sø Tinh Anh	HiÖp Kh¸ch Hµnh	1	3628	23	1								
361	aDiÖt MËt Th¸m Tinh Anh	HiÖp Kh¸ch Hµnh	1	3628	24	1								
362	aDiÖt B¹ch Kú Tinh Anh	HiÖp Kh¸ch Hµnh	1	3628	25	1								
363	aDiÖt Hång Kú Chñ-Hång Tr­êng Tinh	HiÖp Kh¸ch Hµnh	1	3628	26	1								
364	aDiÖt H¾c Kú Chñ-¤ Mai Vò	HiÖp Kh¸ch Hµnh	1	3628	27	1								
365	aDiÖt Lam Kú Chñ-Lam Ân H¹c	HiÖp Kh¸ch Hµnh	1	3628	28	1								
366	aDiÖt Hoµng Siªu	HiÖp Kh¸ch Hµnh	1	3628	29	1								
367	aDiÖt B¹ch Kú Chñ-B¹ch L¨ng Tiªu	HiÖp Kh¸ch Hµnh	1	3628	30	1								
368	aDiÖt L«i §­êng Chñ-Ph­¬ng §øc Ch©u	HiÖp Kh¸ch Hµnh	1	3629	1	1								
369	aDiÖt Háa §­êng Chñ-TiÒn Ch¸	HiÖp Kh¸ch Hµnh	1	3629	2	1								
370	aDiÖt Phong §­êng Chñ	HiÖp Kh¸ch Hµnh	1	3629	3	1								
371	aDiÖt UyÓn Nhu V©n	HiÖp Kh¸ch Hµnh	1	3629	4	1								
372	aDiÖt UyÓn Thanh Nhi	HiÖp Kh¸ch Hµnh	1	3629	5	1								
373	a§¹i Ph¸ §Þa HuyÒn Cung	HiÖp Kh¸ch Hµnh	1	3629	6	1								
374	aNhiÖm vô tuÇn V¹n KiÕm Tròng	HiÖp Kh¸ch Hµnh	1	3629	7	1								
375	aKiÕm Tròng Ma ¶nh	HiÖp Kh¸ch Hµnh	1	3629	8	1								
376	aHoµn thµnh KiÕm §·ng YÕn V©n-LËt Bµi Tr¶ PhÝ	HiÖp Kh¸ch Hµnh	1	3629	9	1								
377	aTh¸i NhÊt Th¸p	HiÖp Kh¸ch Hµnh	1	3629	10	1								
378	aLiªn Server 1v1	HiÖp Kh¸ch Hµnh	1	3629	11	1								
379	aLiªn Server 3v3-Thiªn Xu	HiÖp Kh¸ch Hµnh	1	3629	12	1								
380	aLiªn Server 3v3-Thiªn Toµn	HiÖp Kh¸ch Hµnh	1	3629	13	1								
381	aLiªn Server 3v3-Thiªn C¬	HiÖp Kh¸ch Hµnh	1	3629	14	1								
382	aLuyÖn Linh Ph¸ch §¬n	HiÖp Kh¸ch Hµnh	1	3629	15	1								
383	aXu ThÇn Kú	HiÖp Kh¸ch Hµnh	1	3629	16	1								
384	aHiÖp Lé T­¬ng Phïng-10 B­íc DiÖt 1	HiÖp Kh¸ch Hµnh	1	3629	17	1								
385	"aHiÖp Lé T­¬ng Phïng-KÎ Trém §øng L¹i!"	HiÖp Kh¸ch Hµnh	1	3629	18	1								
386	aHiÖp Lé T­¬ng Phïng-T­íng DiÖt PhØ	HiÖp Kh¸ch Hµnh	1	3629	19	1								
387	aHiÖp Lé T­¬ng Phïng-Cao Thñ Hñy Th¸p	HiÖp Kh¸ch Hµnh	1	3629	20	1								
388	aUÈn Linh	HiÖp Kh¸ch Hµnh	1	3629	21	1								
389	aRót th­ëng Tô B¶o Trai	HiÖp Kh¸ch Hµnh	1	3629	22	1								
390	aSö dông 15 Huy Hoµng Ch­¬ng	HiÖp Kh¸ch Hµnh	1	3629	23	1								
391	aKÝch ho¹t thÎ th¸ng	HiÖp Kh¸ch Hµnh	1	3629	24	1								
392	a§¨ng nhËp mçi ngµy	HiÖp Kh¸ch Hµnh	1	3629	25	1								
393	aKinh ThÕ ThiÕt TÆc	HiÖp Kh¸ch Hµnh	1	3629	26	1								
394	aT¨ng thuéc tÝnh Th­¬ng H¶i Ch©u 1 lÇn	HiÖp Kh¸ch Hµnh	1	3629	27	1								
395	aC­êng hãa tèi ®a 1 Th­¬ng H¶i Ch©u	HiÖp Kh¸ch Hµnh	1	3629	28	1								
396	aC­êng hãa tèi ®a 10 Th­¬ng H¶i Ch©u	HiÖp Kh¸ch Hµnh	1	3629	29	1								
397	aDiÖt BOSS Ngoµi Thµnh [NhËm Ng· Hµnh]	HiÖp Kh¸ch Hµnh	1	3629	30	1								
398	aDiÖt BOSS Ngoµi Thµnh [Th­¬ng ThÇn Doanh Thiªn]	HiÖp Kh¸ch Hµnh	1	3630	1	1								
399	aDiÖt BOSS Ngoµi Thµnh [B¾c Lôc L©m Minh Chñ]	HiÖp Kh¸ch Hµnh	1	3630	2	1								
400	aDiÖt BOSS Ngoµi Thµnh [L·nh H­¬ng L¨ng]	HiÖp Kh¸ch Hµnh	1	3630	3	1								
401	aDiÖt BOSS Ngoµi Thµnh [§µo Hoa §¶o Chñ Hoµng Long]	HiÖp Kh¸ch Hµnh	1	3630	4	1								
402	aDiÖt BOSS Ngoµi Thµnh [T©y Vùc Th­¬ng Lang B¸ V­¬ng]	HiÖp Kh¸ch Hµnh	1	3630	5	1								
403	aDiÖt BOSS Ngoµi Thµnh [Ngäc S¬n Chi Linh Thiªn Cöu]	HiÖp Kh¸ch Hµnh	1	3630	6	1								
404	aDiÖt BOSS Ngoµi Thµnh [U Tr¹ch Chi ¶nh Minh Vâ]	HiÖp Kh¸ch Hµnh	1	3630	7	1								
405	aDiÖt BOSS Bang [Bé Phi Yªn]	HiÖp Kh¸ch Hµnh	1	3630	8	1								
406	aDiÖt BOSS Bang [H¹ C¶nh Th¾ng]	HiÖp Kh¸ch Hµnh	1	3630	9	1								
407	aDiÖt BOSS Bang [NhiÕp §¹i Chïy]	HiÖp Kh¸ch Hµnh	1	3630	10	1								
408	aDiÖt BOSS Bang [C«n L«n N«]	HiÖp Kh¸ch Hµnh	1	3630	11	1								
409	aDiÖt BOSS Bang [Bïi Hµng]	HiÖp Kh¸ch Hµnh	1	3630	12	1								
410	aDiÖt BOSS Bang [L­u NghÞ]	HiÖp Kh¸ch Hµnh	1	3630	13	1								
411	aDiÖt BOSS Bang [Hång TuyÕn]	HiÖp Kh¸ch Hµnh	1	3630	14	1								
412	aDiÖt BOSS Ma Vùc [TrÇn Lçi]	HiÖp Kh¸ch Hµnh	1	3630	15	1								
413	aDiÖt BOSS Ma Vùc [Thiªn ¢m Gi¸o-Ma Vùc Chuyªn Sø]	HiÖp Kh¸ch Hµnh	1	3630	16	1								
414	aDiÖt BOSS Ma Vùc [Thiªn ¢m Gi¸o §å Träng Th­¬ng]	HiÖp Kh¸ch Hµnh	1	3630	17	1								
415	§iÓm RÌn LuyÖn ®¹t ®Õn %d/50	HiÖp Kh¸ch Hµnh	0	3609	1	50								
416	§iÓm RÌn LuyÖn ®¹t ®Õn %d/100	HiÖp Kh¸ch Hµnh	0	3609	1	100								
417	§iÓm RÌn LuyÖn ®¹t ®Õn %d/200	HiÖp Kh¸ch Hµnh	0	3609	1	200								
418	§iÓm RÌn LuyÖn ®¹t ®Õn %d/300	HiÖp Kh¸ch Hµnh	0	3609	1	300								
419	§iÓm RÌn LuyÖn ®¹t ®Õn %d/400	HiÖp Kh¸ch Hµnh	0	3609	1	400								
420	§iÓm RÌn LuyÖn ®¹t ®Õn %d/500	HiÖp Kh¸ch Hµnh	0	3609	1	500								
421	§iÓm RÌn LuyÖn ®¹t ®Õn %d/600	HiÖp Kh¸ch Hµnh	0	3609	1	600								
422	§iÓm RÌn LuyÖn ®¹t ®Õn %d/700	HiÖp Kh¸ch Hµnh	0	3609	1	700								
423	§iÓm RÌn LuyÖn ®¹t ®Õn %d/800	HiÖp Kh¸ch Hµnh	0	3609	1	800								
424	§iÓm RÌn LuyÖn ®¹t ®Õn %d/900	HiÖp Kh¸ch Hµnh	0	3609	1	900								
425	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1000	HiÖp Kh¸ch Hµnh	0	3609	1	1000								
426	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1100	HiÖp Kh¸ch Hµnh	0	3609	1	1100								
427	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1200	HiÖp Kh¸ch Hµnh	0	3609	1	1200								
428	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1300	HiÖp Kh¸ch Hµnh	0	3609	1	1300								
429	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1400	HiÖp Kh¸ch Hµnh	0	3609	1	1400								
430	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1500	HiÖp Kh¸ch Hµnh	0	3609	1	1500								
431	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1600	HiÖp Kh¸ch Hµnh	0	3609	1	1600								
432	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1700	HiÖp Kh¸ch Hµnh	0	3609	1	1700								
433	§iÓm RÌn LuyÖn ®¹t ®Õn %d/50	HiÖp Kh¸ch Hµnh	0	3609	1	50								
434	§iÓm RÌn LuyÖn ®¹t ®Õn %d/100	HiÖp Kh¸ch Hµnh	0	3609	1	100								
435	§iÓm RÌn LuyÖn ®¹t ®Õn %d/200	HiÖp Kh¸ch Hµnh	0	3609	1	200								
436	§iÓm RÌn LuyÖn ®¹t ®Õn %d/300	HiÖp Kh¸ch Hµnh	0	3609	1	300								
437	§iÓm RÌn LuyÖn ®¹t ®Õn %d/400	HiÖp Kh¸ch Hµnh	0	3609	1	400								
438	§iÓm RÌn LuyÖn ®¹t ®Õn %d/500	HiÖp Kh¸ch Hµnh	0	3609	1	500								
439	§iÓm RÌn LuyÖn ®¹t ®Õn %d/600	HiÖp Kh¸ch Hµnh	0	3609	1	600								
440	§iÓm RÌn LuyÖn ®¹t ®Õn %d/700	HiÖp Kh¸ch Hµnh	0	3609	1	700								
441	§iÓm RÌn LuyÖn ®¹t ®Õn %d/800	HiÖp Kh¸ch Hµnh	0	3609	1	800								
442	§iÓm RÌn LuyÖn ®¹t ®Õn %d/900	HiÖp Kh¸ch Hµnh	0	3609	1	900								
443	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1000	HiÖp Kh¸ch Hµnh	0	3609	1	1000								
444	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1100	HiÖp Kh¸ch Hµnh	0	3609	1	1100								
445	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1200	HiÖp Kh¸ch Hµnh	0	3609	1	1200								
446	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1300	HiÖp Kh¸ch Hµnh	0	3609	1	1300								
447	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1400	HiÖp Kh¸ch Hµnh	0	3609	1	1400								
448	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1500	HiÖp Kh¸ch Hµnh	0	3609	1	1500								
449	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1600	HiÖp Kh¸ch Hµnh	0	3609	1	1600								
450	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1700	HiÖp Kh¸ch Hµnh	0	3609	1	1700								
451	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1800	HiÖp Kh¸ch Hµnh	0	3609	1	1800								
452	§iÓm RÌn LuyÖn ®¹t ®Õn %d/1900	HiÖp Kh¸ch Hµnh	0	3609	1	1900								
453	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/50	HiÖp Kh¸ch Hµnh	1	3631	1	1								
454	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/100	HiÖp Kh¸ch Hµnh	1	3631	2	1								
455	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/200	HiÖp Kh¸ch Hµnh	1	3631	3	1								
456	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/300	HiÖp Kh¸ch Hµnh	1	3631	4	1								
457	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/400	HiÖp Kh¸ch Hµnh	1	3631	5	1								
458	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/500	HiÖp Kh¸ch Hµnh	1	3631	6	1								
459	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/600	HiÖp Kh¸ch Hµnh	1	3631	7	1								
460	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/700	HiÖp Kh¸ch Hµnh	1	3631	8	1								
461	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/800	HiÖp Kh¸ch Hµnh	1	3631	9	1								
462	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/900	HiÖp Kh¸ch Hµnh	1	3631	10	1								
463	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1000	HiÖp Kh¸ch Hµnh	1	3631	11	1								
464	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1100	HiÖp Kh¸ch Hµnh	1	3631	12	1								
465	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1200	HiÖp Kh¸ch Hµnh	1	3631	13	1								
466	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1300	HiÖp Kh¸ch Hµnh	1	3631	14	1								
467	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1400	HiÖp Kh¸ch Hµnh	1	3631	15	1								
468	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1500	HiÖp Kh¸ch Hµnh	1	3631	16	1								
469	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1600	HiÖp Kh¸ch Hµnh	1	3631	17	1								
470	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1700	HiÖp Kh¸ch Hµnh	1	3631	18	1								
471	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/50	HiÖp Kh¸ch Hµnh	1	3631	19	1								
472	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/100	HiÖp Kh¸ch Hµnh	1	3631	20	1								
473	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/200	HiÖp Kh¸ch Hµnh	1	3631	21	1								
474	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/300	HiÖp Kh¸ch Hµnh	1	3631	22	1								
475	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/400	HiÖp Kh¸ch Hµnh	1	3631	23	1								
476	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/500	HiÖp Kh¸ch Hµnh	1	3631	24	1								
477	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/600	HiÖp Kh¸ch Hµnh	1	3631	25	1								
478	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/700	HiÖp Kh¸ch Hµnh	1	3631	26	1								
479	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/800	HiÖp Kh¸ch Hµnh	1	3631	27	1								
480	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/900	HiÖp Kh¸ch Hµnh	1	3631	28	1								
481	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1000	HiÖp Kh¸ch Hµnh	1	3631	29	1								
482	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1100	HiÖp Kh¸ch Hµnh	1	3631	30	1								
483	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1200	HiÖp Kh¸ch Hµnh	1	3632	1	1								
484	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1300	HiÖp Kh¸ch Hµnh	1	3632	2	1								
485	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1400	HiÖp Kh¸ch Hµnh	1	3632	3	1								
486	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1500	HiÖp Kh¸ch Hµnh	1	3632	4	1								
487	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1600	HiÖp Kh¸ch Hµnh	1	3632	5	1								
488	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1700	HiÖp Kh¸ch Hµnh	1	3632	6	1								
489	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1800	HiÖp Kh¸ch Hµnh	1	3632	7	1								
490	a§iÓm RÌn LuyÖn ®¹t ®Õn %d/1900	HiÖp Kh¸ch Hµnh	1	3632	8	1								
491	§¨ng nhËp mçi ngµy	HiÖp Kh¸ch Hµnh	4	1	0	1								
492	Trång 1 C©y H¹t Gièng	HiÖp Kh¸ch Hµnh	1	3610	15	1								
493	Hoµn thµnh 1 lÇn §o¹t Tiªu	HiÖp Kh¸ch Hµnh	1	3610	16	1								
494	V­ît phã b¶n L­¬ng S¬n-¶i 3	HiÖp Kh¸ch Hµnh	1	3610	17	1								
495	V­ît phã b¶n V¹n KiÕm Tròng-¶i 3	HiÖp Kh¸ch Hµnh	1	3610	18	1								
496	NhËn th­ëng Tèng Liªu Tµi Nguyªn ChiÕn (Ngµy)	HiÖp Kh¸ch Hµnh	1	3610	19	1								
497	aTèng Liªu Tµi Nguyªn ChiÕn (Ngµy)	HiÖp Kh¸ch Hµnh	1	3627	17	1								
498	Trång vµ thu ho¹ch %d/4 C©y B¸t Nh· Lín	HiÖp Kh¸ch Hµnh	0	3633	1	4								
499	Dïng %d/16 Ng«i Sao May M¾n	HiÖp Kh¸ch Hµnh	0	3635	1	16								
500	Dïng %d/100 N÷ Oa B¶o H¹p	HiÖp Kh¸ch Hµnh	0	3634	1	100								
501	NhËn th­ëng chiÕn tr­êng Tµi Nguyªn ChiÕn %d/40 lÇn	HiÖp Kh¸ch Hµnh	0	3636	1	40								
502	aTu LuyÖn MËt TÞch	HiÖp Kh¸ch Hµnh	1	3630	18	1								
503	aTrång C©y B¸t Nh· Lín	HiÖp Kh¸ch Hµnh	1	3630	19	1								
504	aSö dông Ng«i Sao May M¾n	HiÖp Kh¸ch Hµnh	1	3630	20	1								
505	aSö dông N÷ Oa B¶o H¹p	HiÖp Kh¸ch Hµnh	1	3630	21	1								
506	aTèng Liªu Tµi Nguyªn ChiÕn	HiÖp Kh¸ch Hµnh	1	3630	22	1								
507	KÝch ho¹t th­ëng tiÕn cÊp HiÖp Kh¸ch Hµnh	HiÖp Kh¸ch Hµnh	1	3615	10	1								
508	aKÝch ho¹t th­ëng tiÕn cÊp HiÖp Kh¸ch Hµnh	HiÖp Kh¸ch Hµnh	1	3630	23	1								
509	§Õn chç Qu¶n Gia Bang Héi, hoµn thµnh %d/100 lÇn nhiÖm vô ngµy	HiÖp Kh¸ch Hµnh	0	3637	1	100								
510	aLËp Bang	HiÖp Kh¸ch Hµnh	1	3630	24	1								
511	Before the 28th	HiÖp Kh¸ch Hµnh	9	4	3	28								
512	gH«m nay trång 1 C©y B¸t Nh· Lín	cdkey	1	2853	8	1								
513	H«m nay trång 1 C©y B¸t Nh· Lín	cdkey	1	2853	9	1								
514	aH«m nay trång 1 C©y B¸t Nh· Lín	cdkey	1	2853	10	1								
515	gNh¹n M«n LiÖt Háa	cdkey	1	2853	11	1								
516	NhËn th­ëng chiÕn tr­êng Nh¹n M«n LiÖt Háa	cdkey	1	2853	12	1								
517	aNh¹n M«n LiÖt Háa	cdkey	1	2853	13	1								
518	gTèng Liªu Tµi Nguyªn ChiÕn (Ngµy)	cdkey	1	2853	14	1								
519	H«m nay tham gia Tèng Liªu Tµi Nguyªn ChiÕn vµ nhËn th­ëng 1 lÇn	cdkey	1	2853	15	1								
520	aTèng Liªu Tµi Nguyªn ChiÕn (Ngµy)	cdkey	1	2853	16	1								
521	Tèng Liªu Tµi Nguyªn ChiÕn	cdkey	1	3057	27	1								
522	aTèng Liªu Tµi Nguyªn ChiÕn	cdkey	1	3057	28	1								
523	§iÓm n¨ng ®éng ®¹t ®Õn 21000	cdkey	0	3053	1	21000								
524	§iÓm n¨ng ®éng ®¹t ®Õn 23000	cdkey	0	3053	1	23000								
