Task_Name	Task_ID	Task_Flag	From_NPC	To_NPC	Ex_Condition	Finish_Condition	Task_Action	Task_Prize	Action_Room_Weight	Prize_Room_Weight	Cancel_Task	Skip_Task	Skip_Is_NeedConditionItem	Skip_Cost_No_Item
Tiªu diÖt XÝch LuyÖn Háa Hå	197	1			30001	30266	30356	30325&30326	1;0	1;0	-1	1		
Thu thËp Ph¸ S¬n §ao	198	1			30001	30267		30328&30367	1;0	1;0	-1	1		
§¸nh b¹i Tèng §ao Binh	199	1			30001	30268	30357	30325&30326	1;0	1;0	-1	1		
§¸nh b¹i Tèng Qu©n Tö SÜ	200	1			30001	30269	30358	30325&30326	1;0	1;0	-1	1		
Thu thËp Hå C¬ Vò Y	201	1			30001	30270		30328&30367	1;0	1;0	-1	1		
§Þa HuyÒn Cung	202	1			30001	30271		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Ong Vµng	203	1			30001	30272	30359	30325&30326	1;0	1;0	-1	1		
Thu thËp §¶ CÈu Bæng	204	1			30001	30273		30328&30367	1;0	1;0	-1	1		
V¹n KiÕm Tròng	205	1			30001	30274		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Ba T­ Yªu C¬	206	1			30001	30275	30360	30325&30326	1;0	1;0	-1	1		
Thu thËp Háa Yªn Th­¬ng	207	1			30001	30276		30328&30367	1;0	1;0	-1	1		
Th¸i NhÊt Th¸p	208	1			30001	30277		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Xi Háa §ao Kh¸ch	209	1			30001	30278	30361	30325&30326	1;0	1;0	-1	1		
Thu thËp BÝch HuyÕt KiÕm	210	1			30001	30279		30328&30367	1;0	1;0	-1	1		
ChiÕn tr­êng Tèng Liªu	211	1			30001	30280		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Sa M¹c Hµnh Nh©n	212	1			30001	30281	30362	30325&30326	1;0	1;0	-1	1		
Thu thËp Cöu Tiªu Ngäc Béi	213	1			30001	30282		30328&30367	1;0	1;0	-1	1		
Quay l¹i Tµng KiÕm	214	1			30001	30283		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Liªu Th­¬ng Qu©n	215	1			30001	30284	30363	30325&30326	1;0	1;0	-1	1		
Thu thËp Minh Quang Gi¸p	216	1			30001	30285		30328&30367	1;0	1;0	-1	1		
L­¬ng S¬n H¶o H¸n	217	1			30001	30286		30327&30368	1;0	1;0	-1	1		
Gi¸o huÊn C«n §å	218	1			30001	30287	30364	30325&30326	1;0	1;0	-1	1		
Thu thËp NhÊt Nguyªn Phôc Thñy §¬n	219	1			30001	30288		30328&30367	1;0	1;0	-1	1		
Tö Quang C¸c	220	1			30001	30289		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Th­¬ng Viªn	221	1			30001	30290	30365	30325&30326	1;0	1;0	-1	1		
Thu thËp B¸nh Bao ThÞt	222	1			30001	30291		30328&30367	1;0	1;0	-1	1		
Th¸i H­ MËt Th¸m	223	1			30001	30292		30327&30368	1;0	1;0	-1	1		
Tiªu diÖt Vâ SÜ T©y H¹	224	1			30001	30293	30366	30325&30326	1;0	1;0	-1	1		
Thu thËp Gi¸m §Þnh Phï cÊp 5	225	1			30001	30294		30328&30367	1;0	1;0	-1	1		
Tiªu diÖt ¸c Lang	226	1			30319	30295&30296	30103&30104	30369	1;0	1;0	-1	-1		
Tiªu diÖt Hå Ly	227	1			30319	30297	30377	30370	1;0	1;0	-1	-1		
Tiªu diÖt Xi Háa XÝch Gi¸o §å	228	1			30319	30298	30378	30371	1;0	1;0	-1	-1		
Tiªu diÖt Th­¬ng Viªn	229	1			30319	30299	30379	30372	1;0	1;0	-1	-1		
Tiªu diÖt Miªu LÜnh Thæ Ty	230	1			30319	30300	30380	30373	1;0	1;0	-1	-1		
Tiªu diÖt Ba T­ Yªu C¬	231	1			30319	30301	30381	30374	1;0	1;0	-1	-1		
Tiªu diÖt Oa Quèc §ao Kh¸ch	232	1			30319	30302	30382	30375	1;0	1;0	-1	-1		
Tiªu diÖt Tú Bµ Tiªn Tö	233	1			30319	30303	30383	30376	1;0	1;0	-1	-1		
Quay VÒ Chèn Cò	234	1			30319	30304&30305&30306	30384&30385&30386	30399	1;0	1;0	-1	-1		
Quay VÒ Chèn Cò	235	1			30319	30307&30308&30309	30387&30388&30389	30399	1;0	1;0	-1	-1		
Quay VÒ Chèn Cò	236	1			30319	30310&30311&30312	30390&30391&30392	30399	1;0	1;0	-1	-1		
Quay VÒ Chèn Cò	237	1			30319	30313&30314&30315&30316	30393&30394&30395&30396	30399	1;0	1;0	-1	-1		
Quay VÒ Chèn Cò	238	1			30319	30317&30318	30397&30398	30399	1;0	1;0	-1	-1		
T×m §æng Giµ La	239	0	B¾c §Èu L·o Nh©n	§æng Giµ La	30341			30401	1;0	1;0	10	-1		
Tiªu diÖt Xi Háa §ao Kh¸ch	240	0	§æng Giµ La	§æng Giµ La	30002	30321	30424	30402	1;0	1;0	10	-1		
Tiªu diÖt Kh«i Lçi §éc Nh©n	241	0	§æng Giµ La	§æng Giµ La	30002	30322&30340	30436	30403	1;0	1;0	10	-1		
T×m Th­¬ng ¦ng	242	0	§æng Giµ La	Th­¬ng ¦ng	30002			30404	1;0	1;0	10	-1		
T×m B¾c §Èu L·o Nh©n	243	0	Th­¬ng ¦ng	B¾c §Èu L·o Nh©n	30002			30405&30400	1;0	1;0	10	-1		
Gi¶i cøu Th­¬ng ¦ng	244	0	B¾c §Èu L·o Nh©n	Th­¬ng ¦ng	30002			30406	1;0	1;0	10	-1		
§¸nh b¹i Xi Háa Gi¸o Chñ	245	0	Th­¬ng ¦ng	Th­¬ng ¦ng	30002	30324	30425	30407	1;0	1;0	10	-1		
Trë vÒ §¹i Lý	246	0	Th­¬ng ¦ng	§æng Giµ La	30002		30438	30408	1;0	1;0	10	-1		
Tr¶ lêi B¾c §Èu L·o Nh©n	247	0	§æng Giµ La	B¾c §Èu L·o Nh©n	30002		30439	30409&30410&30437	1;0	1;0	10	-1		
T×m Xa Th¸i Qu©n	248	0	Nh¹c BÊt QuÇn	Xa Th¸i Qu©n	30341&30337			30415	1;0	1;0	10	-1		
§¸nh b¹i H¾c Y Tr¸ng SÜ	249	0	Xa Th¸i Qu©n	Xa Th¸i Qu©n	30002	30326	30426	30416	1;0	1;0	10	-1		
T×m Tèng Qu©n Tr­ëng Hé VÖ	250	0	Xa Th¸i Qu©n	Tèng qu©n tr­ëng hé vÖ	30002			30417	1;0	1;0	10	-1		
§¸nh b¹i Ng« ViÖt L·o Tæ	251	0	Tèng qu©n tr­ëng hé vÖ	Tèng qu©n tr­ëng hé vÖ	30002	30336	30433	30418	1;0	1;0	10	-1		
T×m D­¬ng NghiÖp	252	0	Tèng qu©n tr­ëng hé vÖ	D­¬ng NghiÖp	30002			30419	1;0	1;0	10	-1		
T×m D­¬ng NguyÖt S­ Th¸i	253	0	D­¬ng NghiÖp	D­¬ng NguyÖt s­ th¸i	30002			30420	1;0	1;0	10	-1		
Tiªu diÖt Trïng Qu¸i V­¬ng	254	0	D­¬ng NguyÖt s­ th¸i	D­¬ng NghiÖp	30002	30327&30339	30435	30421	1;0	1;0	10	-1		
§¹i Khiªu ChiÕn	255	0	D­¬ng NghiÖp	D­¬ng NghiÖp	30002	30328&30329&30330&30331	30427&30428&30429&30430	30422	1;0	1;0	10	-1		
Thu thËp nguyªn liÖu	256	0	D­¬ng NghiÖp	Nh¹c BÊt QuÇn	30002	30332&30333&30334&30338		30423	1;0	1;0	10	-1		
KhiÕu ChiÕn L«i KiÕp Thó	257	0	Nh¹c BÊt QuÇn	Nh¹c BÊt QuÇn	30002	30335	30414&30434	30431	1;0	1;0	10	-1		
Tiªu diÖt §¹o Mé Nh©n	258	0	Háa Phông Tö	Háa Phông Tö	30342&30361&30363	30343	30455	30441	1;0	1;0	10	-1		
Thu thËp Hµn Tinh ThiÕt	259	0	Háa Phông Tö	Háa Phông Tö	30002	30344		30442&30461	1;0	1;0	10	-1		
Tiªu diÖt §«ng TrÊn Mé T­íng Qu©n	260	0	Háa Phông Tö	Háa Phông Tö	30002	30345	30456	30443	1;0	1;0	10	-1		
§o¹t Thiªn Tµ Ma Tinh	261	0	Háa Phông Tö	Háa Phông Tö	30002	30346		30444&30462	1;0	1;0	10	-1		
T×m §Ö Tö C«n L«n	262	0	Háa Phông Tö	§Ö Tö C«n L«n	30002			30445	1;0	1;0	10	-1		
Thu thËp HuyÕt Hån	263	0	§Ö Tö C«n L«n	§Ö Tö C«n L«n	30002	30347&30348		30446&30454&30460	1;0	1;0	10	-1		
Th¨ng cÊp vò khÝ	264	0	§Ö Tö C«n L«n	Háa Phông Tö	30002	30362	30440	30447&30454	1;0	1;0	10	-1		
HuyÕt tÕ 1	265	0	Háa Phông Tö	Háa Phông Tö	30002	30349&30350		30448&30454	1;0	1;0	10	2;97;236;100		
Tu luyÖn linh khÝ	266	0	Háa Phông Tö	Háa Phông Tö	30002	30351&30352	30457&30458	30449	1;0	1;0	10	-1		
Thu thËp Ma KiÕm Tinh Ph¸ch	267	0	Háa Phông Tö	Háa Phông Tö	30002	30353		30450	1;0	1;0	10	-1		
Tiªu diÖt Hoang Háa L­u Kim	268	0	Háa Phông Tö	Háa Phông Tö	30002	30354		30451&30454	1;0	1;0	10	-1		
HuyÕt tÕ 2	269	0	Háa Phông Tö	Háa Phông Tö	30002	30355&30356		30452&30454	1;0	1;0	10	2;97;236;250		
Thu thËp Tø Linh Ch©u	270	0	Háa Phông Tö	Yªu Hå	30002	30357&30358&30359&30360		30453	1;0	1;0	10	-1		
Tin xÊu	271	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30409			30480	3;50	3;50	10	-1		
ñy th¸c träng tr¸ch	272	0	Tr­ëng l·o B¸ch HiÓu Sinh	TÞnh Th«ng	30002	30368	30464	30480	3;50	3;50	10	-1		
TËp kÝch Phôc Ng­u S¬n	273	0	TÞnh Th«ng	Thi thÓ ThiÕu L©m chÊp sù	30002			30480	3;50	3;50	10	-1		
§ét kÝch ®ªm khuya	274	0	Thi thÓ ThiÕu L©m chÊp sù	Hµnh trang bÞ thÊt l¹c	30002			30480	3;50	3;50	10	-1		
Kh«ng cã manh mèi	275	0	Hµnh trang bÞ thÊt l¹c	Du ChÊn Sinh	30002	30369	30465	30480	3;50	3;50	10	-1		
Hai mãn tÝn vËt	276	0	Du ChÊn Sinh	Yªn Nh­	30002	30369	30465	30480	3;50	3;50	10	-1		
T«n chØ C¸i Bang	277	0	Yªn Nh­	Tèng Nguyªn An	30002			30480	3;50	3;50	10	-1		
C¸i Bang chi häa	278	0	Tèng Nguyªn An	Thi thÓ ®Ö tö C¸i Bang	30002			30480	3;50	3;50	10	-1		
Bãng ng­êi thÊp tho¸ng	279	0	Thi thÓ ®Ö tö C¸i Bang	Tèng Nguyªn An	30002	30370&30371&30372&30373	30466&30467&30468&30469	30480	3;50	3;50	10	-1		
Tróng ®éc	280	0	Tèng Nguyªn An	Tèng Nguyªn An	30002			30480	3;50	3;50	10	-1		
Ph­¬ng ph¸p gi¶i ®éc	281	0	Tèng Nguyªn An	Tèng Nguyªn An	30002	30374&30375	30470	30480	3;50	3;50	10	-1		
X«ng ®Õn Miªu C­¬ng	282	0	Tèng Nguyªn An	LiÔu T©n Tróc	30002			30480	3;50	3;50	10	-1		
BiÕn hãa	283	0	LiÔu T©n Tróc	Téc tr­ëng Miªu LÜnh	30002			30480	3;50	3;50	10	-1		
Mét tia hy väng	284	0	Téc tr­ëng Miªu LÜnh	NguyÖt Bµ Bµ	30002			30480	3;50	3;50	10	-1		
§éc gµ trèng	285	0	NguyÖt Bµ Bµ	NguyÖt Bµ Bµ	30002	30376	30472	30480	3;50	3;50	10	-1		
Ch©n t­íng tróng ®éc	286	0	NguyÖt Bµ Bµ	Téc tr­ëng Miªu LÜnh	30002			30480	3;50	3;50	10	-1		
H¾c y nh©n thÇn bÝ	287	0	Téc tr­ëng Miªu LÜnh	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
Thiªn ¢m Gi¸o ph¶n c«ng	288	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
Nga My chi n¹n	289	0	Tr­ëng l·o B¸ch HiÓu Sinh	Nghi Thanh	30002			30480	3;50	3;50	10	-1		
Cøu viÖn khÈn cÊp	290	0	Nghi Thanh	Nga Mi tiÓu s­ muéi	30002			30480	3;50	3;50	10	-1		
Thêi kh¾c nguy cÊp	291	0	Nga Mi tiÓu s­ muéi	Nga Mi ®¹i s­ tû	30002			30480	3;50	3;50	10	-1		
Håi øc vÜnh h»ng	292	0	Nga Mi ®¹i s­ tû	Yªn Nh­	30002	30378&30379&30380&30385	30473&30474&30475	30480	3;50	3;50	10	-1		
Toµn diÖn øng chiÕn	293	0	Yªn Nh­	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
Lùc chän cuèi cïng	294	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30381		30480&30481	3;50	3;50	10	-1		
§i sø Thiªn Long Tù	295	0	Tr­ëng l·o B¸ch HiÓu Sinh	Thèng Qu©n Hoµng Téc §¹i Lý	30364&30365			30480	3;50	3;50	10	-1		
Sù quÊy nhiÔu cña Thiªn Long Tù	296	0	Thèng Qu©n Hoµng Téc §¹i Lý	Thèng Qu©n Hoµng Téc §¹i Lý	30002	30382	30476	30480	3;50	3;50	10	-1		
B¸i kiÕn th©n v­¬ng	297	0	Thèng Qu©n Hoµng Téc §¹i Lý	§o¹n Khinh HÇu	30002			30480	3;50	3;50	10	-1		
Cöu C«ng Tö	298	0	§o¹n Khinh HÇu	§oµn Ngäc Nhi	30002			30480	3;50	3;50	10	-1		
ThiÖt h¹i cña Thiªn ¢m Gi¸o	299	0	§oµn Ngäc Nhi	§oµn Ngäc Nhi	30002	30383	30477	30480	3;50	3;50	10	-1		
B¸i biÖt th©n v­¬ng	300	0	§oµn Ngäc Nhi	§o¹n Khinh HÇu	30002			30480	3;50	3;50	10	-1		
Tin tèt	301	0	§o¹n Khinh HÇu	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
T©y H¹ chi chiÕn	302	0	Tr­ëng l·o B¸ch HiÓu Sinh	Lý §øc Dôc	30364&30366			30480	3;50	3;50	10	-1		
Ngang nhiªn khiªu khÝch	303	0	Lý §øc Dôc	ThiÕu M«n Chñ	30002			30480	3;50	3;50	10	-1		
Tho¸t khái ma ®éng	304	0	ThiÕu M«n Chñ	Lý §øc Dôc	30002		30478	30480&30482	3;50	3;50	10	-1		
N¸o kÞch	305	0	Lý §øc Dôc	Lý §øc Dôc	30002			30480	3;50	3;50	10	-1		
Tin tèt	306	0	Lý §øc Dôc	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
Th©n ®Õn Thæ Phån	307	0	Tr­ëng l·o B¸ch HiÓu Sinh	T¸n Phæ Kham Bè	30364&30367			30480	3;50	3;50	10	-1		
Thu håi v¨n th­	308	0	T¸n Phæ Kham Bè	T¸n Phæ Kham Bè	30002	30384	30479	30480	3;50	3;50	10	-1		
Uyªn ­¬ng m¹ng khæ	309	0	T¸n Phæ Kham Bè	Lý Nguyªn Tr©n	30002			30480	3;50	3;50	10	-1		
ChuyÓn lêi trong lßng	310	0	Lý Nguyªn Tr©n	Sa Ca Ninh Bè	30002			30480	3;50	3;50	10	-1		
B¸i biÖt XÝch Ba	311	0	Sa Ca Ninh Bè	T¸n Phæ Kham Bè	30002			30480	3;50	3;50	10	-1		
Tin tèt	312	0	T¸n Phæ Kham Bè	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30480	3;50	3;50	10	-1		
T×m T¸n Phæ Kham Bè Quèc V­¬ng	313	0	Tr­ëng l·o B¸ch HiÓu Sinh	T¸n Phæ Kham Bè Quèc V­¬ng	30386			30486	3;50	3;50	10	-1		
Tiªu diÖt Bé Téc Ph¶n Lo¹n	314	0	T¸n Phæ Kham Bè Quèc V­¬ng	T¸n Phæ Kham Bè Quèc V­¬ng	30002	30387	30511	30487	3;50	3;50	10	2;1;30370;1		
Thu thËp BÝch Ngäc Linh Lung	315	0	T¸n Phæ Kham Bè Quèc V­¬ng	Lý §øc Dùc Quèc V­¬ng	30002	30388		30488	3;50	3;50	10	2;1;30370;2		
Thu thËp Tiªn Ngäc Linh Hoµn	316	0	Lý §øc Dùc Quèc V­¬ng	Lý Nguyªn Tr©n C«ng Chóa	30002	30389		30489	3;50	3;50	10	2;1;30370;4		
Håi b¸o T¸n Phæ Kham Bè Quèc V­¬ng	317	0	Lý Nguyªn Tr©n C«ng Chóa	T¸n Phæ Kham Bè Quèc V­¬ng	30002			30490	3;50	3;50	10	-1		
T×m §oµn Khinh HÇu Quèc V­¬ng	318	0	T¸n Phæ Kham Bè Quèc V­¬ng	§oµn Khinh HÇu Quèc V­¬ng	30002			30491	3;50	3;50	10	-1		
Tiªu diÖt Ph¶n Qu©n Hoµng Téc	319	0	§oµn Khinh HÇu Quèc V­¬ng	§oµn Khinh HÇu Quèc V­¬ng	30002	30390	30512	30492	3;50	3;50	10	2;1;30370;1		
T×m §oµn Ngäc Nhi C«ng Chóa	320	0	§oµn Khinh HÇu Quèc V­¬ng	§oµn Ngäc Nhi C«ng Chóa	30002			30493	3;50	3;50	10	-1		
Thu thËp Kim Hoa	321	0	§oµn Ngäc Nhi C«ng Chóa	Sa Ca Ninh Bè V­¬ng Tö	30002	30391		30494	3;50	3;50	10	2;1;30370;4		
Håi b¸o §oµn Ngäc Nhi C«ng Chóa	322	0	Sa Ca Ninh Bè V­¬ng Tö	§oµn Ngäc Nhi C«ng Chóa	30002			30495	3;50	3;50	10	-1		
Håi b¸o B¸ch HiÓu Sinh	323	0	§oµn Ngäc Nhi C«ng Chóa	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30496	3;50	3;50	10	-1		
Tiªu diÖt kÎ ®Þch	324	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30392&30393	30513&30514	30497	3;50	3;50	10	2;1;30370;1		
Thu thËp Néi C«ng T©m Kinh	325	0	Tr­ëng l·o B¸ch HiÓu Sinh	Sa Ca Ninh Bè V­¬ng Tö	30002	30394		30498	3;50	3;50	10	2;1;30370;4		
T×nh hiÓu t×nh h×nh	326	0	Sa Ca Ninh Bè V­¬ng Tö	§oµn Ngäc Nhi C«ng Chóa	30002			30499	3;50	3;50	10	-1		
Thu thËp Tæ YÕn B¹ch TuyÕt	327	0	§oµn Ngäc Nhi C«ng Chóa	Sa Ca Ninh Bè V­¬ng Tö	30002	30395		30500	3;50	3;50	10	2;1;30370;2		
§­a th­	328	0	Sa Ca Ninh Bè V­¬ng Tö	Lý §øc Dùc Quèc V­¬ng	30002	30396	30483	30501	3;50	3;50	10	-1		
TÆng quµ	329	0	Lý §øc Dùc Quèc V­¬ng	§oµn Khinh HÇu Quèc V­¬ng	30002	30397		30502	3;50	3;50	10	2;1;30370;4		
Håi øc	330	0	§oµn Khinh HÇu Quèc V­¬ng	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30503	3;50	3;50	10	-1		
Thu thËp M¶nh B¶n §å-Tr¸i	331	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30398		30504	3;50	3;50	10	2;1;30370;2		
Thu thËp M¶nh B¶n §å-Ph¶i	332	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30399		30505	3;50	3;50	10	2;1;30370;2		
Thu thËp Ngò Hµnh T©m Hån §¬n	333	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30400&30401&30402&30403&30404		30506	3;50	3;50	10	2;1;30370;4		
ThÝ luyÖn	334	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30405		30507	3;50	3;50	10	2;1;30370;2		
Thiªn ¢m LÖnh Bµi	335	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30406		30508&30484	3;50	3;50	10	2;1;30370;4		
Thiªn ¢m Gi¸o Thñ M«n Nh©n	336	0	Tr­ëng l·o B¸ch HiÓu Sinh	B¸ch HiÓu Sinh Tr­ëng L·o	30002			30509	3;50	3;50	10	-1		
Tiªu diÖt L«i §­êng Chñ	337	0	B¸ch HiÓu Sinh Tr­ëng L·o	B¸ch HiÓu Sinh Tr­ëng L·o	30002	30407&30408	30515&30516	30510&30485	3;50	3;50	10	2;1;30370;4		
B¸i kiÕn B¸ch HiÓu Sinh	338	0	Nh¹c BÊt QuÇn	Tr­ëng l·o B¸ch HiÓu Sinh	30434&30410			30517	1;0	1;0	10	-1		
ThÕ Lùc Ba Phe Héi Anh Hïng	339	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30411		30518	1;0	1;0	10	-1		
Khiªu chiÕn ¢n O¸n §µi	340	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30412		30519	1;0	1;0	10	-1		
QuyÕt ChiÕn ThÕ Lùc Ba Phe-DiÔn Vâ ChiÕn	341	0	Tr­ëng l·o B¸ch HiÓu Sinh	Tr­ëng l·o B¸ch HiÓu Sinh	30002	30413		30520	1;0	1;0	10	-1		
Ch©n Nguyªn Tiªn §¬n	342	0	Tr­ëng l·o B¸ch HiÓu Sinh	Nh¹c BÊt QuÇn	30002			30521&30522	1;0	1;0	10	-1		
Tiªn ®¬n trî lùc hãa thiªn kiÕp	343	0	Nh¹c BÊt QuÇn	Nh¹c BÊt QuÇn	30002	30414&30434		30523&30524	1;0	1;0	10	-1		
Míi ®Õn	344	0	Thiªn Kh¶i-Tiªu §Çu	Thiªn Kh¶i-Tiªu §Çu	30001			30531	1;0	1;0	10	-1		
§¹i diªn tø ph­¬ng	345	0	Thiªn Kh¶i-Tiªu §Çu	Tr­ëng l·o B¸ch HiÓu Sinh	30002			30531	1;0	1;0	10	-1		
Håi b¸o tiªu ®Çu	346	0	Tr­ëng l·o B¸ch HiÓu Sinh	Thiªn Kh¶i-Tiªu §Çu	30002			30531	1;0	1;0	10	-1		
Gië thñ ®o¹n	347	0	Thiªn Kh¶i-Tiªu §Çu	Thiªn Kh¶i-Tiªu §Çu	30002	30415	30525	30531	1;0	1;0	10	-1		
Chç ®øng	348	0	Thiªn Kh¶i-Tiªu §Çu	Thiªn Kh¶i-Tiªu §Çu	30002			30526	1;0	1;0	10	-1		
Th¸m thÝnh	349	0	§¹p v©n-Lôc PhiÕn M«n	Tr­ëng l·o B¸ch HiÓu Sinh	30001			30531	1;0	1;0	10	-1		
Håi b¸o	350	0	Tr­ëng l·o B¸ch HiÓu Sinh	§¹p v©n-Lôc PhiÕn M«n	30002	30416	30527	30531	1;0	1;0	10	-1		
B¾t gi÷	351	0	§¹p v©n-Lôc PhiÕn M«n	§¹p v©n-Lôc PhiÕn M«n	30002	30417	30528&30529	30531	1;0	1;0	10	-1		
TiÕp tôc	352	0	§¹p v©n-Lôc PhiÕn M«n	§¹p v©n-Lôc PhiÕn M«n	30002			30530	1;0	1;0	10	-1		
Thiªn lý tÇm ph­¬ng	353	0	L©m Gia Thµnh-ng­êi giµu	L©m Gia Thµnh-ng­êi giµu	30001	30418		30531	1;0	1;0	10	-1		
Yªu th­¬ng	354	0	L©m Gia Thµnh-ng­êi giµu	Tr­ TiÓu B¹ch	30002	30419		30531	1;0	1;0	10	-1		
Phôc mÖnh	355	0	Tr­ TiÓu B¹ch	L©m Gia Thµnh-ng­êi giµu	30002			30531	1;0	1;0	10	-1		
D¹ yÕn	356	0	L©m Gia Thµnh-ng­êi giµu	L©m Gia Thµnh-ng­êi giµu	30002	30420&30421&30422		30531	1;0	1;0	10	-1		
N­íc ch¶y ®¸ mßn	357	0	L©m Gia Thµnh-ng­êi giµu	L©m Gia Thµnh-ng­êi giµu	30002			30532	1;0	1;0	10	-1		
T×m tiªu kú bÞ mÊt (Ngµy)	358	1			30001	30423	30536	30533	1;0	1;0	10	-1		
B¸o b×nh an (Ngµy)	359	1			30001	30424		30533	1;0	1;0	10	-1		
Thiªn Hµnh Tiªu Côc-Uy tÝn (Ngµy)	360	1			30001	30425&30426&30427	30537	30533	1;0	1;0	10	-1		
Thiªn Hµnh Tiªu Côc-§óng hÑn (Reset h»ng tuÇn)	361	1			30001	30428	30538	30533	1;0	1;0	10	-1		
Tiªu diÖt tËn gèc (H­ng Kh¸nh) (Ngµy)	362	1			30001	30429	30539	30534	1;0	1;0	10	-1		
Tiªu diÖt tËn gèc (Quúnh KÕt) (Ngµy)	363	1			30001	30430	30540	30534	1;0	1;0	10	-1		
Tiªu diÖt tËn gèc (Thiªn Long Tù) (Ngµy)	364	1			30001	30431	30541	30534	1;0	1;0	10	-1		
Thiªn lý truy hung (Reset h»ng tuÇn)	365	1			30001	30432	30542&30543	30534	1;0	1;0	10	-1		
Mçi ngµy mét ®ãa hoa (Ngµy)	366	1			30001	30418		30535	1;0	1;0	10	-1		
Thøc ¨n cña Tr­ TiÓu B¹ch (Ngµy)	367	1			30001	30419		30535	1;0	1;0	10	-1		
D¹ yÕn phong phó (Ngµy)	368	1			30001	30420&30421&30422		30535	1;0	1;0	10	-1		
C«ng tö næi giËn (Reset h»ng tuÇn)	369	1			30001	30433	30544	30535	1;0	1;0	10	-1		
TruyÒn nh©n Thî RÌn	370	0	B¸ch HiÓu Sinh	Thî rÌn L­u	30409			30545	1;0	1;0	10	-1		
B¾c Th­îng ThiÕu L©m dß tung tÝch	371	0	Thî rÌn L­u	HuyÒn Tõ	30002			30545	1;0	1;0	10	-1		
Thiªn Ba D­¬ng Phñ HuyÒn Tinh T¹ng	372	0	HuyÒn Tõ	Xa Th¸i Qu©n	30002			30545	1;0	1;0	10	-1		
Nam H¹ C¸i Bang thö trung nghÜa	373	0	Xa Th¸i Qu©n	Long T¹i Thiªn	30002			30545	1;0	1;0	10	-1		
V­ît Miªu C­¬ng t×m Kú Kho¸ng	374	0	Long T¹i Thiªn	B¹ch Doanh Doanh	30002			30545	1;0	1;0	10	-1		
Vâ L¨ng S¬n H¹ th¨m Thóy Yªn	375	0	B¹ch Doanh Doanh	Sµi Hoµng Nhi	30002			30545	1;0	1;0	10	-1		
Thôc Trung §­êng M«n toµn HuyÒn C¬	376	0	Sµi Hoµng Nhi	§­êng M«n L·o L·o	30002			30545	1;0	1;0	10	-1		
Nga My §éng Thiªn chøa HuyÒn Tinh	377	0	§­êng M«n L·o L·o	Ch©n Nh­ s­ th¸i	30002			30545	1;0	1;0	10	-1		
C«n L«n S¬n Th­îng tÝnh C¬ Duyªn	378	0	Ch©n Nh­ s­ th¸i	Chu BÊt HoÆc	30002			30545	1;0	1;0	10	-1		
D­íi nói Vâ §ang ®­îc chØ ®iÓm	379	0	Chu BÊt HoÆc	Tö H¹c ch©n nh©n	30002			30545	1;0	1;0	10	-1		
Chó t©m tu luyÖn	380	0	Tö H¹c ch©n nh©n	Thî rÌn L­u	30002			30545	1;0	1;0	10	-1		
V­ît phã b¶n	381	1			30409	30436		30546	1;0	1;0	10	-1		
HuyÕt ChiÕn Sa Tr­êng	382	1			30409	30437		30548	1;0	1;0	10	-1		
ThÕ Lùc Ba Phe	383	1			30409	30438&30439		30547	1;0	1;0	10	-1		
V¹n Lý Tiªu Xa Lé	384	1			30409	30440		30546	1;0	1;0	10	-1		
