Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
D­¬ng §Şnh Qu¸n	0	103	1852	25	3302	0	110	16;16					1850201	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	2	1	18	0					
D­¬ng An Qu¸n	0	103	1872	35	13863	0	175	20;20					1870201	70	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chøa nhiÒu n¨ng lùc thÇn bİ	¿ıÎàÄĞÍ·²¿016	§· khãa		7	2	1	18	0					
D­¬ng §Şnh Qu¸n	0	103	1853	25	3302	0	110	16;16					1850301	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	2	1	18	0					
D­¬ng An Qu¸n	0	103	1873	35	13863	0	175	20;20					1870301	70	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Cã thÓ khiÕn m­a giã sÊm sĞt ph¶i dõng l¹i	ĞÔ¸ĞÅ®Í·²¿026	§· khãa		7	2	1	18	0					
D­¬ng §Şnh Qu¸n	0	103	1854	25	3302	0	110	16;16					1850401	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	2	1	18	0					
D­¬ng An Qu¸n	0	103	1874	35	13863	0	175	20;20					1870401	70	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	Ng­êi mang vµo nh­ trÎ l¹i h¬n 10 tuæi	½¿Ğ¡Å®Í·²¿018	§· khãa		7	2	1	18	0					
U Lung L­u V©n Qu¸n	0	103	2051	25	3302	0	110	16;16					2050101	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Qu¸n	0	103	2071	35	13863	0	175	20;20					2070101	70	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄĞÍ·²¿009	§· khãa		7	2	1	20	0					
U Lung L­u V©n Qu¸n	0	103	2052	25	3302	0	110	16;16					2050201	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Qu¸n	0	103	2072	35	13863	0	175	20;20					2070201	70	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chøa nhiÒu n¨ng lùc thÇn bİ	¿ıÎàÄĞÍ·²¿016	§· khãa		7	2	1	20	0					
U Lung L­u V©n Qu¸n	0	103	2053	25	3302	0	110	16;16					2050301	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Qu¸n	0	103	2073	35	13863	0	175	20;20					2070301	70	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Cã thÓ khiÕn m­a giã sÊm sĞt ph¶i dõng l¹i	ĞÔ¸ĞÅ®Í·²¿026	§· khãa		7	2	1	20	0					
U Lung L­u V©n Qu¸n	0	103	2054	25	3302	0	110	16;16					2050401	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Qu¸n	0	103	2074	35	13863	0	175	20;20					2070401	70	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	Ng­êi mang vµo nh­ trÎ l¹i h¬n 10 tuæi	½¿Ğ¡Å®Í·²¿018	§· khãa		7	2	1	20	0					
Miªu Cæ Qu¸n	0	103	2151	25	3302	0	110	16;16					2150101	50	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		5	2	1	21	0					
Miªu T©m Qu¸n	0	103	2171	35	13863	0	175	20;20					2170101	70	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄĞÍ·²¿009	§· khãa		7	2	1	21	0					
Miªu Cæ Qu¸n	0	103	2152	25	3302	0	110	16;16					2150201	50	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	§· khãa		5	2	1	21	0					
Miªu T©m Qu¸n	0	103	2172	35	13863	0	175	20;20					2170201	70	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chøa nhiÒu n¨ng lùc thÇn bİ	¿ıÎàÄĞÍ·²¿016	§· khãa		7	2	1	21	0					
Miªu Cæ Qu¸n	0	103	2153	25	3302	0	110	16;16					2150301	50	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		5	2	1	21	0					
Miªu T©m Qu¸n	0	103	2173	35	13863	0	175	20;20					2170301	70	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Cã thÓ khiÕn m­a giã sÊm sĞt ph¶i dõng l¹i	ĞÔ¸ĞÅ®Í·²¿026	§· khãa		7	2	1	21	0					
Miªu Cæ Qu¸n	0	103	2154	25	3302	0	110	16;16					2150401	50	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	§· khãa		5	2	1	21	0					
Miªu T©m Qu¸n	0	103	2174	35	13863	0	175	20;20					2170401	70	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	Ng­êi mang vµo nh­ trÎ l¹i h¬n 10 tuæi	½¿Ğ¡Å®Í·²¿018	§· khãa		7	2	1	21	0					
Hµnh Gi¶ m·o	0	103	201	20	2	0	120	12;8					2001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m tôc gia th­êng sö dông	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	2	0					
Hµnh Gi¶ m·o	0	103	202	20	2	0	120	12;8					2002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m tôc gia th­êng sö dông	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	2	0					
Hçn Nguyªn m·o	0	103	211	25	4000	0	150	15;10					2011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Lo¹i nãn dµnh cho ®Ö tö cÊp cao cña ThiÕu L©m tôc gia.	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	2	0					
Hçn Nguyªn m·o	0	103	212	25	4000	0	150	15;10					2012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Lo¹i nãn dµnh cho ®Ö tö cÊp cao cña ThiÕu L©m tôc gia.	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	2	0					
Phôc Ma Kim Cang chiÕn kh«i	0	103	221	30	14000	0	200	20;12					2021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö ThiÕu L©m tôc gia ®· tr·i qua nhiÒu n¨m tu luyÖn.	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	2	0					
Phôc Ma Kim Cang chiÕn kh«i	0	103	222	30	14000	0	200	20;12					2022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö ThiÕu L©m tôc gia ®· tr·i qua nhiÒu n¨m tu luyÖn.	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	2	0					
Phôc Ma Kim Cang chiÕn kh«i	0	103	2219	30	0	0	200	20;12					92021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö ThiÕu L©m tôc gia ®· tr·i qua nhiÒu n¨m tu luyÖn.	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	2	0					
Phôc Ma Kim Cang chiÕn kh«i	0	103	2229	30	0	0	200	20;12					92022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	PhÇn th­ëng dµnh cho ®Ö tö ThiÕu L©m tôc gia ®· tr·i qua nhiÒu n¨m tu luyÖn.	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	2	0					
Khæ Hµnh m·o	0	103	301	20	2	0	120	8;12					3001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m thiÒn t¨ng th­êng sö dông	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	3	0					
Khæ Hµnh m·o	0	103	302	20	2	0	120	8;12					3002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m thiÒn t¨ng th­êng sö dông	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	3	0					
ThiÒn Tu m·o	0	103	311	25	4000	0	150	10;15					3011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña ThiÕu L©m thiÖn t¨ng th­êng sö dông	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	3	0					
ThiÒn Tu m·o	0	103	312	25	4000	0	150	10;15					3012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña ThiÕu L©m thiÖn t¨ng th­êng sö dông	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	3	0					
ThiÒn TŞnh m·o	0	103	321	30	14000	0	200	12;20					3021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	3	0					
ThiÒn TŞnh m·o	0	103	322	30	14000	0	200	12;20					3022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	3	0					
ThiÒn TŞnh m·o	0	103	3219	30	0	0	200	12;20					93021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	3	0					
ThiÒn TŞnh m·o	0	103	3229	30	0	0	200	12;20					93022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	3	0					
Sa Di m·o	0	103	401	20	2	0	120	12;8					4001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö ThiÕu L©m th­êng ®éi khi luyÖn vâ	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	4	0					
Sa Di m·o	0	103	402	20	2	0	120	12;8					4002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö ThiÕu L©m th­êng ®éi khi luyÖn vâ	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	4	0					
§Êu T¨ng m·o	0	103	411	25	4000	0	150	15;10					4011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Vâ t¨ng cÊp cao cña ThiÕu L©m th­êng sö dông	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	4	0					
§Êu T¨ng m·o	0	103	412	25	4000	0	150	15;10					4012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Vâ t¨ng cÊp cao cña ThiÕu L©m th­êng sö dông	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	4	0					
Hé Ph¸p La H¸n kh«i	0	103	421	30	14000	0	200	20;12					4021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	4	0					
Hé Ph¸p La H¸n kh«i	0	103	422	30	14000	0	200	20;12					4022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	4	0					
Hé Ph¸p La H¸n kh«i	0	103	4219	30	0	0	200	20;12					94021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	4	0					
Hé Ph¸p La H¸n kh«i	0	103	4229	30	0	0	200	20;12					94022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	4	0					
Trang Kh¸ch m·o	0	103	601	20	2	0	120	10;10					6001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	±ê×¼ÄĞÍ·²¿002	§· khãa		4	1	1	6	0					
Trang Kh¸ch m·o	0	103	602	20	2	0	120	10;10					6002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	¿ıÎàÄĞÍ·²¿001	§· khãa		4	1	1	6	0					
Trang Kh¸ch m·o	0	103	603	20	2	0	120	10;10					6003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	6	0					
Trang Kh¸ch m·o	0	103	604	20	2	0	120	10;10					6004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	6	0					
Hé VÖ m·o	0	103	611	25	4000	0	150	12;12					6011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	±ê×¼ÄĞÍ·²¿010	§· khãa		6	1	1	6	0					
Hé VÖ m·o	0	103	612	25	4000	0	150	12;12					6012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	¿ıÎàÄĞÍ·²¿003	§· khãa		6	1	1	6	0					
Hé VÖ m·o	0	103	613	25	4000	0	150	12;12					6013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	6	0					
Hé VÖ m·o	0	103	614	25	4000	0	150	12;12					6014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	6	0					
Bİ §éc c©n	0	103	621	30	14000	0	200	18;18					6021	78	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	6	0					
Bİ §éc c©n	0	103	622	30	14000	0	200	18;18					6022	78	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	6	0					
Bİ §éc c©n	0	103	623	30	14000	0	200	18;18					6023	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	6	0					
Bİ §éc c©n	0	103	624	30	14000	0	200	18;18					6024	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	6	0					
Bİ §éc c©n	0	103	6219	30	0	0	200	18;18					96021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	±ê×¼ÄĞÍ·²¿018	§· khãa		9	1	1	6	0					
Bİ §éc c©n	0	103	6229	30	0	0	200	18;18					96022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	¿ıÎàÄĞÍ·²¿007	§· khãa		9	1	1	6	0					
Bİ §éc c©n	0	103	6239	30	0	0	200	18;18					96023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	6	0					
Bİ §éc c©n	0	103	6249	30	0	0	200	18;18					96024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	6	0					
Thanh T©m	0	103	801	20	2	0	120	8;12					8001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My phËt gia th­êng sö dông khi luyÖn c«ng	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	8	0					
Thanh T©m	0	103	802	20	2	0	120	8;12					8002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My phËt gia th­êng sö dông khi luyÖn c«ng	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	8	0					
Th¸i Vò	0	103	811	25	4000	0	150	10;15					8011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña Nga My phËt gia th­êng dïng lµm trang søc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	8	0					
Th¸i Vò	0	103	812	25	4000	0	150	10;15					8012	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña Nga My phËt gia th­êng dïng lµm trang søc	½¿Ğ¡Å®Í·²¿002	§· khãa		6	1	1	8	0					
Ph¸p V©n tr©m	0	103	821	30	14000	0	200	12;20					8021	78	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§­îc lµm tõ tróc, bÒn ch¾c v« song	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	8	0					
Ph¸p V©n tr©m	0	103	822	30	14000	0	200	12;20					8022	78	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§­îc lµm tõ tróc, bÒn ch¾c v« song	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	8	0					
Ph¸p V©n tr©m	0	103	8219	30	0	0	200	12;20					98021	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§­îc lµm tõ tróc, bÒn ch¾c v« song	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	1	1	8	0					
Ph¸p V©n tr©m	0	103	8229	30	0	0	200	12;20					98022	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§­îc lµm tõ tróc, bÒn ch¾c v« song	½¿Ğ¡Å®Í·²¿014	§· khãa		9	1	1	8	0					
T­ Khóc	0	103	901	20	2	0	120	10;10					9001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My tôc gia th­êng ®eo khi luyÖn ®µn	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	1	1	9	0					
T­ Khóc	0	103	902	20	2	0	120	10;10					9002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My tôc gia th­êng ®eo khi luyÖn ®µn	½¿Ğ¡Å®Í·²¿005	§· khãa		4	1	1	9	0					
Ph¹m ¢m	0	103	911	25	4000	0	150	12;12					9011	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao c¶u Nga My tôc gia dïng lµm trang søc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	1	1	9	0					
