Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u	L­u	L­u	L­u	L­u	L­u	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)	
D­¬ng Tam quyÕt	2	6	66	1	1	1	66		97									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm,cã x¸c xuÊt khi cÇm bŞ ng¾t qu¶ng khiÕn kÎ thï bŞ tæn thÊt 5% sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Phóc Thñy ph¸p	2	6	67	1	1	1	67		98									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1 cña khóc cÇm lËp l¹i 		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
PhÉn CÇm quyÕt	2	6	68	1	1	1	68		99									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch#T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
¤ D¹ §Ò quyÕt	2	6	69	1	1	1	69		100									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm, cã x¸c xuÊt ®¸nh lui kÎ thï c«ng kİch khi ®¸nh ®µn 		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Mª T©m Khóc quyÕt	2	6	70	1	1	1	70		101									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
C¸i Bang Ch­ëng quyÕt	2	6	71	1	1	1	71		104									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng B¸ V­¬ng QuyÒn, Lôc Hîp QuyÒn, ph¹m vi thi triÓn cña Táa HÇu CÇm N· Thñ		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Th«ng Tı quyÕt	2	6	72	1	1	1	72		105									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng lùc c«ng kİch ngo¹i c«ng c¬ b¶n		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Thiªn C©n quyÕt	2	6	73	1	1	1	73		106									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Khi bŞ c«ng kİch cã x¸c xuÊt miÔn dŞch ®¸nh ng·, lo¹n, cho¸ng, h«n mª trong 4 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
B¸ V­¬ng quyÕt	2	6	74	1	1	1	74		107									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi ngo¹i c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Táa HÇu Thñ quyÕt	2	6	75	1	1	1	75		108									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tiªu Dao Du quyÕt	2	6	76	1	1	1	76		109									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Khi bŞ tÊn c«ng cã x¸c xuÊt t¨ng tèc 30% trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Lôc Hîp yÕu quyÕt	2	6	77	1	1	1	77		110									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tóy §iÖp	2	6	78	1	1	1	78		111									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn tÊt c¶ c«ng kİch ®Òu cã x¸c xuÊt gi©y cho¸n 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tóy QuyÒn	2	6	79	1	1	1	79		112									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
C¸i Bang C«n quyÕt	2	6	80	1	1	1	80		115									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn Kh­u Xµ C«n Ph¸p, §¶ CÈu C«n Ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Khu Xµ quyÕt	2	6	81	1	1	1	81		116									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
KhÊt Th¶o quyÕt	2	6	82	1	1	1	82		117									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ phßng ngù néi ngo¹i c«ng trong tr¹ng th¸i xin xá		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Nª Thu quyÕt	2	6	83	1	1	1	83		118									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã x¸c xuÊt tr¸nh hiÖu qu¶ ®Şnh th©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
DiÖu Thñ QuyÕt	2	6	84	1	1	1	84		119									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Cã x¸c xuÊt khãa chiªu môc tiªu trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Th©u ChuyÓn quyÕt	2	6	85	1	1	1	85		120									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KĞo dµi thêi gian duy tr× khi sö dông kü n¨ng trém c¾p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
T¹ Gi¸p quyÕt	2	6	86	1	1	1	86		121									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> GI¶m ®iÓm phßng ngù néi ngo¹i c«ng cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Th©u Ho¸n quyÕt	2	6	87	1	1	1	87		122									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é xuÊt chiªu khi sö dông kü n¨ng tr«m c¾p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
§¶ CÈu quyÕt	2	6	88	1	1	1	88		123									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Vâ §ang KiÕm quyÕt	2	6	89	1	1	1	89		126									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> t¨ng lùc c«ng kİch néi c«ng c¬ b¶n		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
L­u Quang KiÕm quyÕt	2	6	90	1	1	1	90		127									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
VŞ ¦¬ng KiÕm quyÕt	2	6	91	1	1	1	91		128									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Nhu V©n KiÕm quyÕt	2	6	92	1	1	1	92		129									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
LiÖt DiÖm KiÕm quyÕt	2	6	93	1	1	1	93		130									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
B«n Ph¸p quyÕt	2	6	94	1	1	1	94		131									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
V« Ng· Ph¸p quyÕt	2	6	95	1	1	1	95		132									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu, cã x¸c xuÊt ph¶n ®ßn khi bŞ tÊn c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Th¸i Thanh KiÕm quyÕt	2	6	96	1	1	1	96		133									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
TriÒn KiÕm quyÕt	2	6	97	1	1	1	97		134									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
L¹c KiÕm quyÕt	2	6	98	1	1	1	98		135									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Tİch D­¬ng KiÕm quyÕt	2	6	99	1	1	1	99		136									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
HuyÒn KiÕm TrËn quyÕt	2	6	100	1	1	1	100		137									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Ngù KiÕm quyÕt	2	6	101	1	1	1	101		138									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Chİnh L­ìng kiÕm quyÕt	2	6	102	1	1	1	102		139									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Th¸i Êt KiÕm quyÕt	2	6	103	1	1	1	103		140									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
ThËp Tam KiÕm quyÕt	2	6	104	1	1	1	104		141									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
HuyÒn ¢m KiÕm quyÕt	2	6	105	1	1	1	105		142									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Thiªn ThuÇn kiÕm quyÕt	2	6	106	1	1	1	106		143									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
B¸t Qu¸i KiÕm quyÕt	2	6	107	1	1	1	107		144									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
ThÊt TiÖt KiÕm quyÕt	2	6	108	1	1	1	108		145									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Trong ph¹m vi xuÊt hiÖn ThÊt Tinh tÊt c¶ môc tiªu bŞ gi¶m tèc ®é di chuyÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Bót Ph¸p quyÕt	2	6	109	1	1	1	109		148									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> TÊt c¶ c«ng kİch ®Òu cã x¸c xuÊt khiÕn môc tiªu tª liÖt 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th¸i Tiªu C«ng quyÕt	2	6	110	1	1	1	110		149									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gi¶m ¶nh h­ëng hiÖu qu¶ gi¶m tèc		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Lôc Hãa C«ng quyÕt	2	6	111	1	1	1	111		150									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu gi¶m s¸t th­¬ng cña ®éc trong 1 kho¶n thêi gian nhÊt ®Şnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThÕ V©n Tung quyÕt	2	6	112	1	1	1	112		151									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tû lÖ phßng ngù néi ngo¹i c«ng trong qu¸ tr×nh ®»ng v©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThÊt Tinh TrËn	2	6	113	1	1	1	113		152									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThiÕu D­¬ng QuyÕt	2	6	114	1	1	1	114		153									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1#T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThiÕu ¢m QuyÕt	2	6	115	1	1	1	115		154									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> më réng ph¹m vi c«ng kİch,  t¨ng tèc ®é thu chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
B¾c §Èu TrËn quyÕt	2	6	116	1	1	1	116		155									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ vßng s¸ng, gi¶m tiªu hao néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Tµn ¶nh QuyÕt	2	6	117	1	1	1	117		156									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Cµn Kh«n QuyÕt	2	6	118	1	1	1	118		157									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch,  t¨ng tû lÖ ng¾t chiªu vâ c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th­îng Thanh C«ng quyÕt	2	6	119	1	1	1	119		158									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th­¬ng Ph¸p quyÕt	2	6	120	1	1	1	120		721									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng giíi h¹n d­íi lùc c«ng kİch th­¬ng 		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ph¸ Phong Th­¬ng quyÕt	2	6	121	1	1	1	121		722									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ngù M· quyÕt	2	6	122	1	1	1	122		723									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng ®iÓm phßng ngù néi ngo¹i c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
B«n Lang Th­¬ng quyÕt	2	6	123	1	1	1	123		724									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m ®iÓm phßng ngù néi ngo¹i c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
ChiÕn §Şnh quyÕt	2	6	124	1	1	1	124		725									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> rót ng¾n thêi gian thä th­¬ng, t¨ng giíi h¹n néi lùc vÜnh cöu		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
X¶o ChiÕn quyÕt	2	6	125	1	1	1	125		726									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Thiªn Hoµnh Th­¬ng quyÕt	2	6	126	1	1	1	126		727									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Chuyªn th­¬ng c«ng kİch gi¶m tÊt c¶ thuéc tİnh cña môc tiªu trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Anh Hïng quyÕt	2	6	127	1	1	1	127		728									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp ®ång ®éi gi¶m thiÓu s¸t th­¬ng trong ph¹m vi vßng s¸ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
§¶o H¶i Th­¬ng quyÕt	2	6	128	1	1	1	128		729									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt khiÕn môc tiªu cho¸ng trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Ngù M· quyÕt	2	6	129	1	1	1	129		730									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu suy yÕu tû lÖ phßng ngù néi ngo¹i c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Bİch Th­¬ng quyÕt	2	6	130	1	1	1	130		731									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1#T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		17		
Cung Ph¸p quyÕt	2	6	131	1	1	1	131		734									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> TÊt c¶ c«ng kİch cã x¸c xuÊt xuyªn thÊu		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
Liªn X¹ ThuËt quyÕt	2	6	132	1	1	1	132		735									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		18		
