ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8	SkillID9	Magic9	Target9	Value9	Value9Fixup	Rate9	Rate9Fixup	Time9	Time9Fixup	WhenEffect9	Requirement9	SkillID10	Magic10	Target10	Value10	Value10Fixup	Rate10	Rate10Fixup	Time10	Time10Fixup	WhenEffect10	Requirement10
82	<color=Gold>KhÊt Thiªn Th¶o §Þa<color=White>: Phßng thñ néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	4	117		state_physical_parmor_poi_add	0	75			1	-1	1	1		117	state_magic_parmor_poi_add	0	75			1	-1	1	1		117	state_move_del_magic	0				1	-1	1	1																																																																														
83	<color=Gold>Nª Thu C«ng<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> tr¸nh hiÖu qu¶ ®Þnh th©n<color=White>	4	118		state_fetter_immune	1	75			1	-1	1	1		244	state_fetter_immune	1	75			1	-1	1	1																																																																																									
84	<color=Gold>DiÖu Thñ QuyÕt<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> ng¨n ®èi ph­¬ng xuÊt chiªu trong 2 gi©y<color=White>	3	119		state_block_type	1	3	1	30		36	1	1																																																																																																				
85	<color=Gold>Du Long ChuyÓn Phông<color=White>: sö dông kü n¨ng nµy sÏ kÐo dµi thêi gian duy tr× chiÒu thøc <color=Blue1>[=Value1]%<color=White>	4	120		state_skill_persist_time_add	0	100			1	54	1	0		306	state_skill_persist_time_add	0	100			1	54	1	0																																																																																									
86	<color=Gold>B¸ V­¬ng T¹ Gi¸p<color=White>: Gi¶m <color=Blue1>[=Value1]<color=White> ®iÓm phßng thñ néi ngo¹i c«ng cña ®èi ph­¬ng.	3	121		state_physical_def_point_dec	1	250			1	-1	1	1		121	state_neili_defence_point_dec	1	250			1	-1	1	1		245	state_physical_def_point_dec	1	250			1	-1	1	1		245	state_neili_defence_point_dec	1	250			1	-1	1	1		246	state_physical_def_point_dec	1	250			1	-1	1	1		246	state_neili_defence_point_dec	1	250			1	-1	1	1																																													
87	<color=Gold>Th©u Thiªn Ho¸n NhËt<color=White>: Khi sö dông kü n¨ng ¨n c¾p tèc ®é xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	122		state_burst_enhance_rate	0	100			1	-3	1	8																																																																																																				
88	<color=Gold>§¶ CÈu C«n Ph¸p<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	123		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
89	<color=Gold>Vâ §ang KiÕm Ph¸p<color=White>: STCB néi c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	2	126		state_m_attack_percent_add	0	10			1	-3	1	8																																																																																																				
90	<color=Gold>L­u Quang KiÕm Ph¸p<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	2	127		state_burst_enhance_rate	0	25			1	-3	1	8																																																																																																				
91	<color=Gold>VÞ ¦ng KiÕm Ph¸p<color=White>: <color=White>KhiÕn ®èi ph­¬ng gi¶m tèc <color=Blue1>[=Value1]%<color=White> trong 2 gi©y	2	128		state_slow	1	40			1	36	1	1		252	state_slow	1	40			1	36	1	1																																																																																									
92	<color=Gold>Nhu V©n KiÕm Ph¸p<color=White>: <color=White>KhiÕn ®èi ph­¬ng gi¶m tèc <color=Blue1>[=Value1]%<color=White> trong 2 gi©y	2	129		state_slow	1	40			1	36	1	1		253	state_slow	1	40			1	36	1	1																																																																																									
93	<color=Gold>LiÖt DiÖm KiÕm Ph¸p<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	2	130		state_burst_enhance_rate	0	25			1	-3	1	8																																																																																																				
94	<color=Gold>B«n L«i KiÕm QuyÕt <color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ néi c«ng trong 5 gi©y	2	131		state_magic_parmor_per_dec	1	25			1	90	1	1		255	state_magic_parmor_per_dec	1	25			1	90	1	1																																																																																									
95	<color=Gold>V« Ng· t©m ph¸p<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]% , <color=White>khi bÞ c«ng kÝch cã tû lÖ <color=Blue1>[=Value2-589824]% <color=White> ph¶n ®ßn ®èi ph­¬ng<color=Blue1>	4	132		state_burst_enhance_rate	0	60			1	-3	1	8		132	state_knockback_when_lose_hp	0	589836	2		1	-1	1	1		256	state_knockback_when_lose_hp	0	589836	2		1	-1	1	1																																																																														
96	<color=Gold>Th¸i Thanh KiÕm KhÝ<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	2	133		state_cast_interval_reduce	0	90			1	-3	1	8																																																																																																				
97	<color=Gold>TriÒn Méng KiÕm ý<color=White>: KÐo dµi thêi gian duy tr× <color=Blue1>[=Value1]%<color=White>, néi lùc tiªu hao gi¶m <color=Blue1>[=Value3]%<color=White>	3	134		state_skill_persist_time_add	0	60			1	1	1	0		259	state_skill_persist_time_add	0	60			1	1	1	0		134	state_mana_cost_reduce	0	40			1	1	1	0																																																																														
98	<color=Gold>L¹c S­¬ng KiÕm ý<color=White>: KÐo dµi thêi gian duy tr× <color=Blue1>[=Value1]%<color=White>, néi lùc tiªu hao gi¶m <color=Blue1>[=Value3]%<color=White>	3	135		state_skill_persist_time_add	0	60			1	1	1	0		260	state_skill_persist_time_add	0	60			1	1	1	0		135	state_mana_cost_reduce	0	40			1	1	1	0																																																																														
99	<color=Gold>TÝch D­¬ng KiÕm KhÝ<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	2	136		state_burst_enhance_rate	0	25			1	-3	1	8																																																																																																				
100	<color=Gold>HuyÒn Vâ KiÕm TrËn<color=White>: Gi·n c¸ch rót ng¾n <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>, néi lùc tiªu hao gi¶m <color=Blue1>[=Value2]%<color=White>	4	137		state_cast_interval_reduce	0	648			1	-3	1	8		137	state_mana_cost_reduce	0	40			1	1	1	0																																																																																									
101	<color=Gold>Ngù KiÕm QuyÕt<color=White>: Rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y	4	138		state_cast_interval_reduce	0	216			1	-3	1	8																																																																																																				
102	<color=Gold>ChÝnh L­ìng Nghi KiÕm Ph¸p<color=White>: Hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	2	139		imme_damage_life	1	500			1			1		264	imme_damage_life	1	500			1			1																																																																																									
103	<color=Gold>Th¸i Êt Tam Thanh KiÕm<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	140		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
104	<color=Gold>ThÇn M«n ThËp Tam KiÕm<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	141		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
105	<color=Gold>HuyÒn ¢m KiÕm<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	142		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
106	<color=Gold>Thiªn Thanh ThuÇn D­¬ng kiÕm<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	143		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
107	<color=Gold>B¸t Qu¸i KiÕm KhÝ<color=White>: Tû lÖ xuÊt chiªu t¨ng  <color=Blue1>[=Value1]%<color=White>	2	144		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
108	<color=Gold>Ch©n Vâ ThÊt TiÖt KiÕm<color=White>: TÊt c¶ môc tiªu trong ph¹m vi bÞ gi¶m <color=Blue1>[=Value1]%<color=White> tèc ®é di chuyÓn	2	329		state_slow	1	50			1	63	1	1																																																																																																				
109	<color=Gold>Vâ §ang Bót Ph¸p<color=White>: TÊt c¶ c«ng kÝch cã tû lÖ <color=Blue1>[=Value1]% <color=White> khiÕn ®èi ph­¬ng tª liÖt trong 3 gi©y<color=White>	3	148		state_paralysis_attack	0	12			1	-3	1	8																																																																																																				
110	<color=Gold>Th¸i Êt Tiªu Diªu C«ng<color=White>: Gi¶m ¶nh h­ëng khèng chÕ <color=Blue1>[=Value1]%<color=White>	3	149		state_no_affect_per_move_speed	1	50			1	-1	1	1																																																																																																				
111	<color=Gold>Lôc KhÝ Hãa Ngäc C«ng<color=White>: Gi¶m <color=Blue1>[=Value1]% <color=White> kh¸ng ®éc cña ®èi ph­¬ng trong 8 gi©y<color=White>	4	150		state_ignore_poison_damage	1	75			1	144	1	1		292	state_ignore_poison_damage	1	75			1	144	1	1																																																																																									
112	<color=Gold>ThÕ V©n Tung<color=White>: Tû lÖ phßng thñ néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	3	151		state_physical_parmor_poi_add	0	50			1	54	1	0		151	state_magic_parmor_poi_add	0	50			1	54	1	0																																																																																									
113	<color=Gold>ThÊt Tinh QuyÕt<color=White>: Thøc thø nhÊt, thøc thø hai, thøc thø 3 lÇn l­ît hç trî c«ng kÝch <color=Blue1>[=Value1], [=Value2], [=Value3]<color=White>	1	152		imme_damage_life	1	150			1			1		293	imme_damage_life	1	200			1			1		294	imme_damage_life	1	300			1			1		295	imme_damage_life	1	300			1			1																																																																			
114	<color=Gold>ThiÕu D­¬ng QuyÕt<color=White>: xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>, hç trî c«ng kÝch <color=Blue1>[=Value2]<color=White>	1	153		state_sub1_rate_add	0	10			1	-3	1	8		153	imme_damage_life	1	300			1			1		296	imme_damage_life	1	300			1			1																																																																														
115	<color=Gold>ThiÕu ¢m QuyÕt<color=White>: Më réng ph¹m vi tÊn c«ng, tèc ®é thu chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	154		state_ankylose_enhance_rate	0	300			1	-3	1	8		154	state_missle_damage_range_add	0	5	1		1	2	1	0		297	state_missle_damage_range_add	0	5	1		1	2	1	0																																																																														
116	<color=Gold>B¾c §Èu ThÊt Tinh TrËn<color=White>: Ph¹m vi hç trî +<color=Blue1>[=Value1]%<color=White>, néi lùc tiªu hao gi¶m <color=Blue1>[=Value2]%<color=White>	3	155		state_aura_range_p_add	0	100			1	1	1	1		155	state_mana_cost_reduce	0	50			1	1	1	0																																																																																									
117	<color=Gold>Tµn ¶nh QuyÕt<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	1	156		state_cast_interval_reduce	0	270			1	-3	1	8																																																																																																				
118	<color=Gold>Cµn Kh«n QuyÕt<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>, chÆn ®èi ph­¬ng xuÊt chiªu <color=Blue1>[=Value2]%<color=White>	1	157		state_cast_interval_reduce	0	270			1	-3	1	8		338	imme_interrupt_rate_add	1	25			1			1		339	imme_interrupt_rate_add	1	25			1			1		340	imme_interrupt_rate_add	1	25			1			1		341	imme_interrupt_rate_add	1	25			1			1																																																								
119	<color=Gold>Th­îng Thanh V« Cùc C«ng<color=White>.Tû lÖ xuÊt chiªu t¨ng  <color=Blue1>[=Value1]%<color=White>	1	158		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
120	<color=Gold>D­¬ng Gia Th­¬ng Ph¸p Tæng QuyÕt<color=White>: S¸t th­¬ng th­¬ng ph¸p + <color=Blue1>[=Value1]<color=White>	3	721		state_inc_min_physics_damage	0	120			1	-3	1	8																																																																																																				
121	<color=Gold>D­¬ng Gia Ph¸ Phong Th­¬ng<color=White>: Thøc thø nhÊt, thøc thø hai lÇn l­ît hç trî c«ng kÝch <color=Blue1>[=Value1], [=Value2]<color=White>	1	722		imme_damage_life	1	150			1			1		746	imme_damage_life	1	200			1			1		747	imme_damage_life	1	200			1			1																																																																														
122	<color=Gold>D­¬ng Gia Ngù M· ThuËt<color=White>: Phßng ngù néi-ngo¹i c«ng + <color=Blue1>[=Value1]<color=White>	4	723		state_i_defence_point_add	0	90			1	-3	1	8		723	state_o_defence_point_add	0	90			1	-3	1	8																																																																																									
123	<color=Gold>D­¬ng Gia B«n Lang Th­¬ng<color=White>: KhiÕn ®èi ph­¬ng gi¶m Néi-ngo¹i phßng <color=Blue1>[=Value1]<color=White> ®iÓm trong 5 gi©y	1	748	724	state_physical_def_point_dec	1	300			1	90	1	1		749	state_physical_def_point_dec	1	300			1	90	1	1																																																																																									
124	<color=Gold>D­¬ng Gia ChiÕn §Þnh QuyÕt<color=White>:Gi¶m thêi gian ®éng t¾c nhËn th­¬ng <color=Blue1>[=Value1]%<color=White>, giíi h¹n néi lùc t¨ng <color=Blue1>[=Value3] <color=White>®iÓm<color=White>	4	725		state_fast_recovery	1	35			1	-1	1	1		750	state_fast_recovery	1	35			1	-1	1	1		725	state_neili_max_point_add	0	60			1	-3	1	8																																																																														
125	<color=Gold>D­¬ng Gia X¶o ChiÕn QuyÕt<color=White>: Rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	726		state_cast_interval_reduce	0	180			1	-3	1	8																																																																																																				
126	<color=Gold>D­¬ng Gia Thiªn Hµnh Th­¬ng<color=White>: S¸t th­¬ng th­¬ng ph¸p <color=Blue1>[=Value1]<color=White> gi¶m tÊt c¶ c¸c thuéc tÝnh cña ®èi ph­¬ng trong 10 gi©y	1	727		state_strength_dec	1	35			1	180	1	1		727	state_vitality_dec	1	35			1	180	1	1		727	state_dexterity_dec	1	35			1	180	1	1		727	state_energy_dec	1	35			1	180	1	1		727	state_observe_dec	1	35			1	180	1	1																																																								
127	<color=Gold>D­¬ng Gia Anh Hïng KhÝ<color=White>: Gióp tæ ®éi gi¶m <color=Blue1>[=Value1]% <color=White> thä th­¬ng	4	728		state_reduce_damage_percent	1	12			1	-1	1	1																																																																																																				
128	<color=Gold>D­¬ng Gia §¶o H¶i Th­¬ng<color=White>: Tû lÖ <color=Blue1>[=Rate1]%<color=White> g©y cho¸ng trong 2 gi©y<color=White>	1	754	729	state_vertigo	1			20		36	1	1		755	state_vertigo	1			20		36	1	1		756	state_vertigo	1			20		36	1	1																																																																														
129	<color=Gold>D­¬ng Gia Ngù M· ThuËt<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]% ngo¹i phßng thñ trong 5 gi©y	1	730		state_physical_parmor_per_dec	1	25			1	90	1	1		757	state_physical_parmor_per_dec	1	25			1	90	1	1		758	state_physical_parmor_per_dec	1	25			1	90	1	1																																																																														
130	<color=Gold>BÝch NguyÖt Phi Tinh Th­¬ng<color=White>: xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>, xung s¸t hç trî c«ng kÝch <color=Blue1>[=Value2]<color=White>	1	767	731	state_sub1_rate_add	0	10			1	-3	1	8		767	imme_damage_life	1	500			1			1																																																																																									
131	<color=Gold>D­¬ng Gia Cung Ph¸p Tæng QuyÕt<color=White>: KhiÕn tÊt c¶ c«ng kÝch cã tû lÖ <color=Blue1>[=Value1]%<color=White> xuyªn thÊu	3	734		state_pierce_attack	0	75			1	-3	1	8																																																																																																				
132	<color=Gold>D­¬ng Gia Liªn X¹ ThuËt<color=White>: Mçi tiÔn hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	1	735		imme_damage_life	1	150			1			1		759	imme_damage_life	1	150			1			1																																																																																									
133	<color=Gold>D­¬ng Gia TrËn LiÖu ThuËt<color=White>: Gióp ®ång ®éi t¨ng <color=Blue1>[=Value1]% <color=White> ngo¹i trong 4 gi©y	4	736		state_physical_parmor_per_add	1	20			1	72	1	1		736	state_magic_parmor_per_add	1	20			1	72	1	1																																																																																									
134	<color=Gold>D­¬ng Gia Håi Long TiÔn<color=White>: Gi¶m <color=Blue1>[=Value1]% <color=White> tèc ®é di chuyÓn cña ®èi ph­¬ng trong 60 gi©y	1	737		state_slow	1	40			1	108	1	1		760	state_slow	1	40			1	108	1	1																																																																																									
135	<color=Gold>D­¬ng Gia TriÒn V©n TiÔn<color=White>: Tû lÖ <color=Blue1>[=Rate1]%<color=White> khiÕn ®èi ph­ong kh«ng thÓ khinh c«ng<color=White>	1	738		state_block_qinggong	1			75		-1	1	1		761	state_block_qinggong	1			75		-1	1	1																																																																																									
136	<color=Gold>D­¬ng Gia Kú M«n ThuÉn<color=White>: Khi cÇm thuÉn cã tû lÖ <color=Blue1>[=Value1]% <color=White> tr¸nh bÞ cho¸ng, hçn lo¹n, ngñ mª<color=White>	4	739		state_vertigo_immune	0	100			1	-2	1	1		739	state_confusion_immune	0	100			1	-2	1	1		739	state_sleep_immune	0	100			1	-2	1	1																																																																														
137	<color=Gold>D­¬ng Gia ChÝnh KhÝ TiÔn<color=White>: <color=White>G©y cho¸ng <color=Blue1>[=Value1]%<color=White> trong 10 gi©y	1	740		state_burst_dec_rate	1	25			1	180	1	1		772	state_burst_dec_rate	1	25			1	180	1	1																																																																																									
138	<color=Gold>D­¬ng Gia To¸i Kim TiÔn<color=White>: KhiÕn néi phßng ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> trong 5 gi©y, ngo¹i phßng gi¶m <color=Blue1>[=Value2]<color=White>	1	741		state_physical_parmor_per_dec	1	25			1	90	1	1		741	state_physical_def_point_dec	1	100			1	90	1	1		762	state_physical_parmor_per_dec	1	25			1	90	1	1		762	state_physical_def_point_dec	1	100			1	90	1	1																																																																			
139	<color=Gold>D­¬ng Gia HuyÔn ThÇn QuyÕt <color=White>: Rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>, ngo¹i kÝch t¨ng <color=Blue1>[=Value2]<color=White>	3	742		state_cast_interval_reduce	0	1080			1	-3	1	8		742	state_p_attack_point_add	0	50			1	-1	1	1		770	state_p_attack_point_add	0	50			1	-1	1	1		771	state_p_attack_point_add	0	50			1	-1	1	1																																																																			
140	<color=Gold>D­¬ng Gia Tôc MÖnh QuyÕt<color=White>: Sinh lùc t¨ng <color=Blue1>[=Value1]<color=White>, néi lùc t¨ng <color=Blue1>[=Value2]<color=White>	4	743		state_life_max_point_add	0	1200			1	-3	1	8		743	state_neili_max_point_add	0	60			1	-3	1	8																																																																																									
141	<color=Gold>L­u Quang TuyÖt ¶nh TiÔn<color=White>: xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	744		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
142	<color=Gold>Ngò §éc §ao Ph¸p<color=White>: Rót ng¾n thêi gian bÞ ®iÓm huyÖt, gi¶m tèc <color=Blue1>[=Value1]%<color=White>, phßng thñ néi ngo¹i c«ng t¨ng <color=Blue1>[=Value3]%<color=White>	3	365		state_fetter_time_dec	0	40			1	-3	1	8		365	state_slow_time_dec	0	40			1	-3	1	8		365	state_physical_parmor_poi_add	0	5			1	-3	1	8		365	state_magic_parmor_poi_add	0	5			1	-3	1	8																																																																			
143	<color=Gold>DÉn Hån Chó<color=White>: Tû lÖ phßng thñ môc tiªu gi¶m <color=Blue1>[=Value1]%<color=White>	1	366		state_magic_parmor_per_dec	1	20			1	-1	1	1		366	state_physical_parmor_per_dec	1	20			1	-1	1	1																																																																																									
144	<color=Gold>Thao Thi ThuËt<color=White>: T¨ng <color=Blue1>[=Value1]%<color=White> søc chÞu ®ùng cña c­¬ng thi	1	367		state_life_max_percent_add	5	20			1	-1	1	10																																																																																																				
145	<color=Gold>Thi §éc ThuËt<color=White>: KÐo dµi gi·n c¸ch xuÊt chiªu cña ®èi ph­¬ng <color=Blue1>[=Value1]%<color=White> trong 10 gi©y	3	164		state_skill_cast_interval_add	1	30			1	180	1	1		380	state_skill_cast_interval_add	1	30			1	180	1	1																																																																																									
146	<color=Gold>Thi Béc §¹i Ph¸p<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	1	369		state_cast_interval_reduce	0	180			1	-3	1	8																																																																																																				
147	<color=Gold>TËp Thi Tµ KhÝ<color=White>: Tèc ®é thi triÓn tµ chó t¨ng <color=Blue1>[=Value1>]%<color=White>	3	370		state_burst_enhance_rate_spec_1	0	24051762			1	-3	1	8		370	state_burst_enhance_rate_spec_2	0	24313906			1	-3	1	8		370	state_burst_enhance_rate_spec_3	0	24576050			1	-3	1	8																																																																														
148	<color=Gold>Ngù Thi ThuËt<color=White>: Lùc tÊn c«ng cña c­¬ng thi t¨ng <color=Blue1>[=Value1]%<color=White>	1	371		state_p_attack_percent_add	5	20			1	-1	1	10		371	state_m_attack_percent_add	5	20			1	-1	1	10																																																																																									
149	<color=Gold>V¹n §éc §o¹t MÖnh §ao<color=White>: Chiªu cuèi cïng thªm <color=Blue1>[=Value1] <color=White> ®iÓm <color=White> ®éc s¸t duy tr× trong 10 gi©y.	1	494		state_poison_damage	1	100			1	180	1	1		382	state_poison_damage	1	100			1	180	1	1																																																																																									
150	<color=Gold>¢m Tµ HÊp Hån KhÝ<color=White>: Rót ng¾n gi·n c¸ch <color=Blue1>[=Value3/18] <color=White>gi©y<color=White>, néi-ngo¹i phßng t¨ng <color=Blue1>[=Value1]%<color=White>	4	373		state_physical_parmor_poi_add	0	45			1	-2	1	0		373	state_magic_parmor_poi_add	0	45			1	-2	1	0		373	state_cast_interval_reduce	0	2700			1	-3	1	8																																																																														
151	<color=Gold>Th«i Thi Tµ KhÝ<color=White>: Phôc håi <color=Blue1>[=Value1]%<color=White> sinh lùc c­¬ng thi	3	374		imme_life_percent_add	1	15			1			1		383	imme_life_percent_add	1	15			1			1																																																																																									
152	<color=Gold>Tµ Linh §¹i Ph¸p<color=White>: KhiÕn Oan Hån tÊn c«ng kÌm ®éc s¸t <color=Blue1>[=Value1] <color=White> ®iÓm <color=White>trong 10 gi©y	1	375		state_quench_posion	5	80			1	-1	1	10		375	state_quench_posion_effect_skill	5	100	1		1	-1	1	10																																																																																									
153	<color=Gold>Tµ §éc C«ng<color=White>: KhiÕn c­¬ng thi cã tû lÖ <color=Blue1>[=Value1]%<color=White> nÐ tr¸nh tÊn c«ng<color=White>	3	376		state_immune	1	60			1	-1	1	1		384	state_immune	1	60			1	-1	1	1		385	state_immune	1	60			1	-1	1	1																																																																														
154	<color=Gold>Thi LiÖt Ma C«ng<color=White>: Tû lÖ xuÊt chiªu t¨ng  <color=Blue1>[=Value1]%<color=White>	3	377		state_sub1_rate_add	0	10			1	-3	1	8																																																																																																				
155	<color=Gold>H¹ Cæ MËt Ph­¬ng<color=White>: Sö dông sÏ cã tû lÖ <color=Blue1>[=Rate1]% <color=White> rót ng¾n gi·n c¸ch bá c¸c lo¹i ®éc<color=White>	3	348		imme_clear_skill_interval	1	4	1	100				1																																																																																																				
156	<color=Gold>Phong Cæ<color=White>: Tèc ®é thi triÓn Phong Cæ, V¹n Cæ Thùc Thiªn t¨ng <color=Blue1>[=Value1]%<color=White>	2	351		state_burst_enhance_rate	0	25			1	-3	1	8		361	state_burst_enhance_rate	0	25			1	-3	1	8																																																																																									
157	<color=Gold>D­ìng Cæ BÝ ThuËt<color=White>: Tèc ®é chÕ t¹o thùc vËt t¨ng <color=Blue1>[=Value1]%<color=White>	4	352		state_burst_enhance_rate	0	400			1	-3	1	8																																																																																																				
158	<color=Gold>Cuång Phong Tr¶o<color=White>: Ph¹m vi thi triÓn t¨ng thªm <color=Blue1>[=Value1]%<color=White>	2	353		state_skill_use_range_add	0	100			1	-3	1	8																																																																																																				
159	<color=Gold>§éc Cæ<color=White>: KÐo dµi thêi gian duy tr×  <color=Blue1>[=Value5]%<color=White>, søc m¹nh ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]<color=White>	3	354		state_strength_dec	1	80			1	-1	1	1		388	state_strength_dec	1	80			1	-1	1	1		389	state_strength_dec	1	80			1	-1	1	1		390	state_strength_dec	1	80			1	-1	1	1		354	state_skill_persist_time_add	0	50			1	21	1	0		388	state_skill_persist_time_add	0	50			1	21	1	0		389	state_skill_persist_time_add	0	50			1	21	1	0		390	state_skill_persist_time_add	0	50			1	21	1	0																							
160	<color=Gold>HuyÕt §Ønh C«ng<color=White>: Di chuyÓn t¨ng <color=Blue1>[=Value1]%<color=White>	4	355		state_move_speed_percent_add	0	20			1	-3	1	8																																																																																																				
161	<color=Gold>HuyÕt Cæ<color=White>: Duy tr× t¨ng <color=Blue1>[=Value5]%<color=White>, g©n cèt ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]<color=White>	3	356		state_vitality_dec	1	80			1	-1	1	1		391	state_vitality_dec	1	80			1	-1	1	1		392	state_vitality_dec	1	80			1	-1	1	1		393	state_vitality_dec	1	80			1	-1	1	1		356	state_skill_persist_time_add	0	50			1	21	1	0		391	state_skill_persist_time_add	0	50			1	21	1	0		392	state_skill_persist_time_add	0	50			1	21	1	0		393	state_skill_persist_time_add	0	50			1	21	1	0																							
162	<color=Gold>H­¬ng Cæ<color=White>: BÞ c«ng kÝch sÏ cã <color=Blue1>[=Rate1]%<color=White> t¨ng ngo¹i phßng 20%, t¨ng néi phßng 20%<color=White>	4	357		state_physical_parmor_poi_add	0	20	1	35		36	1	7		357	state_magic_parmor_poi_add	0	20	1	-1		36	1	7																																																																																									
163	<color=Gold>Thi Cæ<color=White>: KÐo dµi thêi gian duy tr× <color=Blue1>[=Value5]%<color=White>, th©n ph¸p ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]<color=White>	3	358		state_dexterity_dec	1	80			1	-1	1	1		394	state_dexterity_dec	1	80			1	-1	1	1		395	state_dexterity_dec	1	80			1	-1	1	1		396	state_dexterity_dec	1	80			1	-1	1	1		358	state_skill_persist_time_add	0	50			1	21	1	0		394	state_skill_persist_time_add	0	50			1	21	1	0		395	state_skill_persist_time_add	0	50			1	21	1	0		396	state_skill_persist_time_add	0	50			1	21	1	0																							
164	<color=Gold>Yªu Cæ<color=White>: Mçi lÇn triÖt tiªu tr¹ng th¸i phô diÖn, mçi gi©y phôc håi <color=Blue1>[=Value1-196608] <color=White> ®iÓm sinh lùc, duy tr× 3 gi©y.	4	359		state_buff_resist_life_restore_per8f	1	196708	2		1	-1	1	1																																																																																																				
