Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
TŞnh Gi¸p phôc	0	101	1723	50	15000	0	200	12;24					17023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	1	1	17	0					
TŞnh Gi¸p phôc	0	101	1724	50	15000	0	200	12;24					17024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	1	1	17	0					
TŞnh Gi¸p phôc	0	101	17219	50	0	0	200	12;24					917021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	1	1	17	0					
TŞnh Gi¸p phôc	0	101	17229	50	0	0	200	12;24					917022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	1	1	17	0					
TŞnh Gi¸p phôc	0	101	17239	50	0	0	200	12;24					917023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	1	1	17	0					
TŞnh Gi¸p phôc	0	101	17249	50	0	0	200	12;24					917024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	1	1	17	0					
Nâ Thñ phôc	0	101	1801	30	2	0	120	8;15					18001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	±ê×¼ÄĞÏÂÉí002	§· khãa		4	1	1	18	0					
Nâ Thñ phôc	0	101	1802	30	2	0	120	8;15					18002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	¿ıÎàÄĞÏÂÉí001	§· khãa		4	1	1	18	0					
Nâ Thñ phôc	0	101	1803	30	2	0	120	8;15					18003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	1	1	18	0					
Nâ Thñ phôc	0	101	1804	30	2	0	120	8;15					18004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	1	1	18	0					
§« óy ThiÕt phôc	0	101	1811	40	4000	0	150	10;18					18011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	18	0					
§« óy ThiÕt phôc	0	101	1812	40	4000	0	150	10;18					18012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	18	0					
§« óy ThiÕt phôc	0	101	1813	40	4000	0	150	10;18					18013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	18	0					
§« óy ThiÕt phôc	0	101	1814	40	4000	0	150	10;18					18014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	18	0					
Tinh Gi¸p phôc	0	101	1821	50	15000	0	200	12;24					18021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÏÂÉí018	§· khãa		8	1	1	18	0					
Tinh Gi¸p phôc	0	101	1822	50	15000	0	200	12;24					18022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÏÂÉí007	§· khãa		8	1	1	18	0					
Tinh Gi¸p phôc	0	101	1823	50	15000	0	200	12;24					18023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	1	1	18	0					
Tinh Gi¸p phôc	0	101	1824	50	15000	0	200	12;24					18024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	1	1	18	0					
Tinh Gi¸p phôc	0	101	18219	50	0	0	200	12;24					918021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÏÂÉí018	§· khãa		9	1	1	18	0					
Tinh Gi¸p phôc	0	101	18229	50	0	0	200	12;24					918022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÏÂÉí007	§· khãa		9	1	1	18	0					
Tinh Gi¸p phôc	0	101	18239	50	0	0	200	12;24					918023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	1	1	18	0					
Tinh Gi¸p phôc	0	101	18249	50	0	0	200	12;24					918024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	1	1	18	0					
§o¹t Ph¸ch phôc	0	101	2001	30	2	0	120	12;12					20001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	1	1	20	0					
§o¹t Ph¸ch phôc	0	101	2002	30	2	0	120	12;12					20002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	1	1	20	0					
§o¹t Ph¸ch phôc	0	101	2003	30	2	0	120	12;12					20003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	1	1	20	0					
§o¹t Ph¸ch phôc	0	101	2004	30	2	0	120	12;12					20004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	1	1	20	0					
Th«i MÖnh phôc	0	101	2011	40	4000	0	150	15;15					20011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	20	0					
Th«i MÖnh phôc	0	101	2012	40	4000	0	150	15;15					20012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	20	0					
Th«i MÖnh phôc	0	101	2013	40	4000	0	150	15;15					20013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	20	0					
Th«i MÖnh phôc	0	101	2014	40	4000	0	150	15;15					20014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2021	50	15000	0	200	20;20					20021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2022	50	15000	0	200	20;20					20022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2023	50	15000	0	200	20;20					20023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2024	50	15000	0	200	20;20					20024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	20219	50	0	0	200	20;20					920021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	20229	50	0	0	200	20;20					920022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	20239	50	0	0	200	20;20					920023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	1	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	20249	50	0	0	200	20;20					920024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	1	1	20	0					
§éc Tµm phôc	0	101	2101	30	2	0	120	8;15					21001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	§Ö tö Ngò §éc cæ s­ cÊp thÊp mÆc khi tu luyÖn Cæ thuËt.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	1	1	21	0					
§éc Tµm phôc	0	101	2102	30	2	0	120	8;15					21002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	§Ö tö Ngò §éc cæ s­ cÊp thÊp mÆc khi tu luyÖn Cæ thuËt.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	1	1	21	0					
§éc Tµm phôc	0	101	2103	30	2	0	120	8;15					21003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	§Ö tö Ngò §éc cæ s­ cÊp thÊp mÆc khi tu luyÖn Cæ thuËt.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	1	1	21	0					
§éc Tµm phôc	0	101	2104	30	2	0	120	8;15					21004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	§Ö tö Ngò §éc cæ s­ cÊp thÊp mÆc khi tu luyÖn Cæ thuËt.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	1	1	21	0					
Thùc T©m phôc	0	101	2111	40	4000	0	150	10;18					21011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	§Ö tö Ngò §éc cæ s­ cÊp cao mÆc khi tu luyÖn Cæ thuËt.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	21	0					
Thùc T©m phôc	0	101	2112	40	4000	0	150	10;18					21012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	§Ö tö Ngò §éc cæ s­ cÊp cao mÆc khi tu luyÖn Cæ thuËt.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	21	0					
Thùc T©m phôc	0	101	2113	40	4000	0	150	10;18					21013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	§Ö tö Ngò §éc cæ s­ cÊp cao mÆc khi tu luyÖn Cæ thuËt.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	21	0					
Thùc T©m phôc	0	101	2114	40	4000	0	150	10;18					21014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	§Ö tö Ngò §éc cæ s­ cÊp cao mÆc khi tu luyÖn Cæ thuËt.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	2121	50	15000	0	200	12;24					21021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	2122	50	15000	0	200	12;24					21022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	2123	50	15000	0	200	12;24					21023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	2124	50	15000	0	200	12;24					21024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	21219	50	0	0	200	12;24					921021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	21229	50	0	0	200	12;24					921022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	21239	50	0	0	200	12;24					921023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	1	1	21	0					
B¹ch V« Th­êng Ngôy §éc	0	101	21249	50	0	0	200	12;24					921024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc chøa b¸ch ®éc cña ®Ö tö Ngò §éc cæ s­.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	1	1	21	0					
Linh Phï Bè Trang	0	101	23101	30	2	0	120	15;8					23101	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	H¹ y ®Ö tö cÊp thÊp C«n L«n Thiªn S­ mÆc, bªn trong chøa Linh Phï cã thÓ trõ ¸c khİ.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	1	1	23	0					
Linh Phï Bè Trang	0	101	23102	30	2	0	120	15;8					23102	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	H¹ y ®Ö tö cÊp thÊp C«n L«n Thiªn S­ mÆc, bªn trong chøa Linh Phï cã thÓ trõ ¸c khİ.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	1	1	23	0					
Bİ Ph¸p Bè Trang	0	101	23111	40	4000	0	150	18;10					23111	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	H¹ y ®Ö tö cÊp cao C«n L«n Thiªn S­ mÆc, bªn trong chøa ph¸p lùc ®Æc biÖt cã thÓ gi¸ng yªu trõ ma.	±ê×¼ÄĞÏÂÉí010	§· khãa		5	1	1	23	0					
Bİ Ph¸p Bè Trang	0	101	23112	40	4000	0	150	18;10					23112	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	H¹ y ®Ö tö cÊp cao C«n L«n Thiªn S­ mÆc, bªn trong chøa ph¸p lùc ®Æc biÖt cã thÓ gi¸ng yªu trõ ma.	¿ıÎàÄĞÏÂÉí003	§· khãa		5	1	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh V©n Bè Trang	0	101	23121	50	15000	0	200	12;24					23121	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	TrÊn Yªu §¹o Nh©n mÆc h¹ y chøa ®¹o ph¸p v« biªn khiÕn yªu ma khiÕp sî.	±ê×¼ÄĞÏÂÉí018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	23	0					
TrÊn Yªu §¹o Nh©n-Thanh V©n Bè Trang	0	101	23122	50	15000	0	200	12;24					23122	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	TrÊn Yªu §¹o Nh©n mÆc h¹ y chøa ®¹o ph¸p v« biªn khiÕn yªu ma khiÕp sî.	¿ıÎàÄĞÏÂÉí007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	1	1	23	0					
Kim L­ Trang	0	101	25101	30	21	0	120	8;15					25101	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	H¹ y sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi bÒn	±ê×¼ÄĞÏÂÉí001	§· khãa		4	1	1	25	0	999				
Kim L­ Trang	0	101	25102	30	21	0	120	8;15					25102	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	H¹ y sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi bÒn	¿ıÎàÄĞÏÂÉí004	§· khãa		4	1	1	25	0	999				
Kim L­ Trang	0	101	25103	30	21	0	120	8;15					25103	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	H¹ y sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi bÒn	ĞÔ¸ĞÅ®ÏÂÉí033	§· khãa		4	1	1	25	0	999				
Kim L­ Trang	0	101	25104	30	21	0	120	8;15					25104	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	H¹ y sö dông bëi ®Ö tö cÊp thÊp cña Minh Gi¸o Th¸nh ChiÕn, t­¬ng ®èi bÒn	½¿Ğ¡Å®ÏÂÉí003	§· khãa		4	1	1	25	0	999				
