T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Ngäc N÷ Dao Th­êng	0	100	973	80	12729	0	220	30;30					970301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	9	0					
Ngäc N÷ D­¬ng  Th­êng	0	100	954	60	2986	0	180	24;24					950401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	9	0					
Ngäc N÷ Dao Th­êng	0	100	974	80	12729	0	220	30;30					970401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	9	0					
Gi¸ng Long D­¬ng Th­êng	0	100	1151	60	2986	0	180	24;24					1150101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	11	0					
Gi¸ng Long Dao Th­êng	0	100	1171	80	12729	0	220	30;30					1170101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	11	0					
Gi¸ng Long D­¬ng Th­êng	0	100	1152	60	2986	0	180	24;24					1150201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	11	0					
Gi¸ng Long Dao Th­êng	0	100	1172	80	12729	0	220	30;30					1170201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	11	0					
Gi¸ng Long D­¬ng Th­êng	0	100	1153	60	2986	0	180	24;24					1150301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	11	0					
Gi¸ng Long Dao Th­êng	0	100	1173	80	12729	0	220	30;30					1170301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	11	0					
Gi¸ng Long D­¬ng Th­êng	0	100	1154	60	2986	0	180	24;24					1150401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	11	0					
Gi¸ng Long Dao Th­êng	0	100	1174	80	12729	0	220	30;30					1170401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	11	0					
Phong Ma D­¬ng Th­êng	0	100	1251	60	2986	0	180	24;24					1250101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	12	0					
Phong Ma Dao Th­êng	0	100	1271	80	12729	0	220	30;30					1270101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	12	0					
Phong Ma D­¬ng Th­êng	0	100	1252	60	2986	0	180	24;24					1250201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	12	0					
Phong Ma Dao Th­êng	0	100	1272	80	12729	0	220	30;30					1270201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	12	0					
Phong Ma D­¬ng Th­êng	0	100	1253	60	2986	0	180	24;24					1250301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	12	0					
Phong Ma Dao Th­êng	0	100	1273	80	12729	0	220	30;30					1270301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	12	0					
Phong Ma D­¬ng Th­êng	0	100	1254	60	2986	0	180	24;24					1250401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	12	0					
Phong Ma Dao Th­êng	0	100	1274	80	12729	0	220	30;30					1270401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	12	0					
Ch©n Vò D­¬ng Th­êng	0	100	1451	60	2986	0	180	24;24					1450101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	14	0					
Ch©n Vò Dao Th­êng	0	100	1471	80	12729	0	220	30;30					1470101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	14	0					
Ch©n Vò D­¬ng Th­êng	0	100	1452	60	2986	0	180	24;24					1450201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	14	0					
Ch©n Vò Dao Th­êng	0	100	1472	80	12729	0	220	30;30					1470201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	14	0					
Ch©n Vò D­¬ng Th­êng	0	100	1453	60	2986	0	180	24;24					1450301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	14	0					
Ch©n Vò Dao Th­êng	0	100	1473	80	12729	0	220	30;30					1470301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	14	0					
Ch©n Vò D­¬ng Th­êng	0	100	1454	60	2986	0	180	24;24					1450401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	14	0					
Ch©n Vò Dao Th­êng	0	100	1474	80	12729	0	220	30;30					1470401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	14	0					
NhÊt D­¬ng Th­êng	0	100	1551	60	2986	0	180	24;24					1550101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	15	0					
NhÊt D­¬ng Dao Th­êng	0	100	1571	80	12729	0	220	30;30					1570101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	15	0					
NhÊt D­¬ng Th­êng	0	100	1552	60	2986	0	180	24;24					1550201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	15	0					
NhÊt D­¬ng Dao Th­êng	0	100	1572	80	12729	0	220	30;30					1570201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	15	0					
NhÊt D­¬ng Th­êng	0	100	1553	60	2986	0	180	24;24					1550301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	15	0					
NhÊt D­¬ng Dao Th­êng	0	100	1573	80	12729	0	220	30;30					1570301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	15	0					
NhÊt D­¬ng Th­êng	0	100	1554	60	2986	0	180	24;24					1550401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	15	0					
NhÊt D­¬ng Dao Th­êng	0	100	1574	80	12729	0	220	30;30					1570401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	15	0					
Xa Kş ChiÕn SÜ Th­êng	0	100	1751	60	2986	0	180	24;24					1750101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	17	0					
Xa Kş T­íng Qu©n Th­êng	0	100	1771	80	12729	0	220	30;30					1770101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	17	0					
Xa Kş ChiÕn SÜ Th­êng	0	100	1752	60	2986	0	180	24;24					1750201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	17	0					
Xa Kş T­íng Qu©n Th­êng	0	100	1772	80	12729	0	220	30;30					1770201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	17	0					
Xa Kş ChiÕn SÜ Th­êng	0	100	1753	60	2986	0	180	24;24					1750301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	17	0					
Xa Kş T­íng Qu©n Th­êng	0	100	1773	80	12729	0	220	30;30					1770301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	17	0					
Xa Kş ChiÕn SÜ Th­êng	0	100	1754	60	2986	0	180	24;24					1750401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	17	0					
Xa Kş T­íng Qu©n Th­êng	0	100	1774	80	12729	0	220	30;30					1770401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	17	0					
D­¬ng §Şnh Th­êng	0	100	1851	60	2986	0	180	24;24					1850101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	18	0					
D­¬ng An Th­êng	0	100	1871	80	12729	0	220	30;30					1870101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	18	0					
D­¬ng §Şnh Th­êng	0	100	1852	60	2986	0	180	24;24					1850201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	18	0					
D­¬ng An Th­êng	0	100	1872	80	12729	0	220	30;30					1870201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	18	0					
D­¬ng §Şnh Th­êng	0	100	1853	60	2986	0	180	24;24					1850301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	18	0					
D­¬ng An Th­êng	0	100	1873	80	12729	0	220	30;30					1870301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	18	0					
D­¬ng §Şnh Th­êng	0	100	1854	60	2986	0	180	24;24					1850401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	18	0					
D­¬ng An Th­êng	0	100	1874	80	12729	0	220	30;30					1870401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	18	0					
U Lung L­u V©n Th­êng	0	100	2051	60	2986	0	180	24;24					2050101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Th­êng	0	100	2071	80	12729	0	220	30;30					2070101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	20	0					
U Lung L­u V©n Th­êng	0	100	2052	60	2986	0	180	24;24					2050201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Th­êng	0	100	2072	80	12729	0	220	30;30					2070201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	20	0					
U Lung L­u V©n Th­êng	0	100	2053	60	2986	0	180	24;24					2050301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Th­êng	0	100	2073	80	12729	0	220	30;30					2070301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	20	0					
U Lung L­u V©n Th­êng	0	100	2054	60	2986	0	180	24;24					2050401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	20	0					
U Minh Thiªn Qu©n Th­êng	0	100	2074	80	12729	0	220	30;30					2070401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	20	0					
Miªu Cæ Th­êng	0	100	2151	60	2986	0	180	24;24					2150101	50	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	§· khãa		5	2	1	21	0					
Miªu T©m Th­êng	0	100	2171	80	12729	0	220	30;30					2170101	70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	§· khãa		7	2	1	21	0					
Miªu Cæ Th­êng	0	100	2152	60	2986	0	180	24;24					2150201	50	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	§· khãa		5	2	1	21	0					
Miªu T©m Th­êng	0	100	2172	80	12729	0	220	30;30					2170201	70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	§· khãa		7	2	1	21	0					
Miªu Cæ Th­êng	0	100	2153	60	2986	0	180	24;24					2150301	50	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	§· khãa		5	2	1	21	0					
Miªu T©m Th­êng	0	100	2173	80	12729	0	220	30;30					2170301	70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	§· khãa		7	2	1	21	0					
Miªu Cæ Th­êng	0	100	2154	60	2986	0	180	24;24					2150401	50	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	§· khãa		5	2	1	21	0					
Miªu T©m Th­êng	0	100	2174	80	12729	0	220	30;30					2170401	70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	§· khãa		7	2	1	21	0					
																																	
Hµnh Gi¶ phôc	0	100	201	50	2	0	150	18;12					2001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña tiÓu t¨ng ThiÕu L©m tôc gia	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	1	1	2	0					
Hµnh Gi¶ phôc	0	100	202	50	2	0	150	18;12					2002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	Trang phôc cña tiÓu t¨ng ThiÕu L©m tôc gia	¿ıÎàÄĞÇû¸É001	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	1	1	2	0					
Hçn Nguyªn phôc	0	100	211	60	5000	0	200	24;15					2011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	Trang phôc cña cao t¨ng ThiÕu L©m tôc gia	±ê×¼ÄĞÇû¸É010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	2	0					
Hçn Nguyªn phôc	0	100	212	60	5000	0	200	24;15					2012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Trang phôc cña cao t¨ng ThiÕu L©m tôc gia	¿ıÎàÄĞÇû¸É003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	1	1	2	0					
ChiÕn ı kh¶i gi¸p	0	100	221	80	15000	0	250	30;18					2021	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö ThiÕu L©m tôc gia cao cÊp.	±ê×¼ÄĞÇû¸É018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	2	0					
ChiÕn ı kh¶i gi¸p	0	100	222	80	15000	0	250	30;18					2022	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö ThiÕu L©m tôc gia cao cÊp.	¿ıÎàÄĞÇû¸É007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	1	1	2	0					
ChiÕn ı kh¶i gi¸p	0	100	2219	80	0	0	250	30;18					92021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Trang phôc cña ®Ö tö ThiÕu L©m tôc gia cao cÊp.	±ê×¼ÄĞÇû¸É018	§· khãa		9	1	1	2	0					
ChiÕn ı kh¶i gi¸p	0	100	2229	80	0	0	250	30;18					92022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	Trang phôc cña ®Ö tö ThiÕu L©m tôc gia cao cÊp.	¿ıÎàÄĞÇû¸É007	§· khãa		9	1	1	2	0					
Khæ Hµnh bµo	0	100	301	50	2	0	150	12;18					3001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	Trang phôc cña tiÓu t¨ng ThiÕu L©m thiÒn t¨ng	±ê×¼ÄĞÇû¸É002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi1.lua	4	1	1	3	0					
