Tªn tr©n ch©u	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Dù L­u	Ö÷ÊôĞÔID£¬¶ÔÓ¦left_pearl_attr.txt	¸±ÊôĞÔ³ØID£¬¶ÔÓ¦left_pearl_attr_group.txt	Kı hiÖu Ch©u V¹n T­îng	Dù L­u	Dù L­u	Ph©n lo¹i: 1 NhËt 2 NguyÖt 3 Tinh 4 ThÇn 5 Thiªn 6 §Şa 7 S¬n 8 H¶i 9 Phong 10 Vô 11 Xu©n 12 H¹ 13 Thu 14 §«ng 15 Thñy 16 Th¹ch 17 V©n 18 Vò 19 TuyÕt 20 S­¬ng	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Gi¸ trŞ
Tinh-Ngù K×nh	0	122	81	0	0			4	3				3	100				\image\item\canghaiyizhu\ĞÇ1a1.spr	\image\item\canghaiyizhu\ĞÇ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Tinh-Thiªn Du	0	122	82	0	0			11	3				3	100				\image\item\canghaiyizhu\ĞÇ2a1.spr	\image\item\canghaiyizhu\ĞÇ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Tinh-Quúnh TiÕt	0	122	83	0	0			12	3				3	100				\image\item\canghaiyizhu\ĞÇ2a1.spr	\image\item\canghaiyizhu\ĞÇ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Tinh-TuyÒn C¬	0	122	84	0	0			13	3				3	100				\image\item\canghaiyizhu\ĞÇ2a1.spr	\image\item\canghaiyizhu\ĞÇ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Tinh-Ngù K×nh	0	122	85	0	0			4	3				3	100				\image\item\canghaiyizhu\ĞÇ2a1.spr	\image\item\canghaiyizhu\ĞÇ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Tinh-Thiªn Du	0	122	86	0	0			11	3				3	100				\image\item\canghaiyizhu\ĞÇ3a1.spr	\image\item\canghaiyizhu\ĞÇ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Tinh-Quúnh TiÕt	0	122	87	0	0			12	3				3	100				\image\item\canghaiyizhu\ĞÇ3a1.spr	\image\item\canghaiyizhu\ĞÇ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Tinh-TuyÒn C¬	0	122	88	0	0			13	3				3	100				\image\item\canghaiyizhu\ĞÇ3a1.spr	\image\item\canghaiyizhu\ĞÇ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Tinh-Ngù K×nh	0	122	89	0	0			4	3				3	100				\image\item\canghaiyizhu\ĞÇ3a1.spr	\image\item\canghaiyizhu\ĞÇ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Tinh-Thiªn Du	0	122	90	0	0			11	3				3	100				\image\item\canghaiyizhu\ĞÇ4a1.spr	\image\item\canghaiyizhu\ĞÇ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Tinh-Quúnh TiÕt	0	122	91	0	0			12	3				3	100				\image\item\canghaiyizhu\ĞÇ4a1.spr	\image\item\canghaiyizhu\ĞÇ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Tinh-TuyÒn C¬	0	122	92	0	0			13	3				3	100				\image\item\canghaiyizhu\ĞÇ4a1.spr	\image\item\canghaiyizhu\ĞÇ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Tinh-Ngù K×nh	0	122	93	0	0			4	3				3	100				\image\item\canghaiyizhu\ĞÇ4a1.spr	\image\item\canghaiyizhu\ĞÇ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Tinh-Thiªn Du	0	122	94	0	0			11	43				3	100				\image\item\canghaiyizhu\ĞÇ5a1.spr	\image\item\canghaiyizhu\ĞÇ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Tinh-Quúnh TiÕt	0	122	95	0	0			12	43				3	100				\image\item\canghaiyizhu\ĞÇ5a1.spr	\image\item\canghaiyizhu\ĞÇ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Tinh-TuyÒn C¬	0	122	96	0	0			13	43				3	100				\image\item\canghaiyizhu\ĞÇ5a1.spr	\image\item\canghaiyizhu\ĞÇ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Tinh-Ngù K×nh	0	122	97	0	0			4	43				3	100				\image\item\canghaiyizhu\ĞÇ5a1.spr	\image\item\canghaiyizhu\ĞÇ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Tinh-Thiªn Du	0	122	98	0	0			11	23				3	100				\image\item\canghaiyizhu\ĞÇ6a1.spr	\image\item\canghaiyizhu\ĞÇ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Tinh-Quúnh TiÕt	0	122	99	0	0			12	23				3	100				\image\item\canghaiyizhu\ĞÇ6a1.spr	\image\item\canghaiyizhu\ĞÇ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Tinh-TuyÒn C¬	0	122	100	0	0			13	23				3	100				\image\item\canghaiyizhu\ĞÇ6a1.spr	\image\item\canghaiyizhu\ĞÇ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Tinh-Ngù K×nh	0	122	101	0	0			4	23				3	100				\image\item\canghaiyizhu\ĞÇ6a1.spr	\image\item\canghaiyizhu\ĞÇ6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Tinh-Thiªn Du	0	122	102	0	0			11	23				3	100				\image\item\canghaiyizhu\ĞÇ7a1.spr	\image\item\canghaiyizhu\ĞÇ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Tinh-Quúnh TiÕt	0	122	103	0	0			12	23				3	100				\image\item\canghaiyizhu\ĞÇ7a1.spr	\image\item\canghaiyizhu\ĞÇ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Tinh-TuyÒn C¬	0	122	104	0	0			13	23				3	100				\image\item\canghaiyizhu\ĞÇ7a1.spr	\image\item\canghaiyizhu\ĞÇ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Tinh-Ngù K×nh	0	122	105	0	0			4	23				3	100				\image\item\canghaiyizhu\ĞÇ7a1.spr	\image\item\canghaiyizhu\ĞÇ7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
ThÇn-Khèn §«n	0	122	106	0	0			14	4				4	100				\image\item\canghaiyizhu\³½1a1.spr	\image\item\canghaiyizhu\³½1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	107	0	0			15	4				4	100				\image\item\canghaiyizhu\³½1a1.spr	\image\item\canghaiyizhu\³½1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	108	0	0			16	4				4	100				\image\item\canghaiyizhu\³½1a1.spr	\image\item\canghaiyizhu\³½1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
ThÇn-Ngù K×nh	0	122	109	0	0			4	4				4	100				\image\item\canghaiyizhu\³½1a1.spr	\image\item\canghaiyizhu\³½1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
ThÇn-Khèn §«n	0	122	110	0	0			14	4				4	100				\image\item\canghaiyizhu\³½2a1.spr	\image\item\canghaiyizhu\³½2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	111	0	0			15	4				4	100				\image\item\canghaiyizhu\³½2a1.spr	\image\item\canghaiyizhu\³½2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	112	0	0			16	4				4	100				\image\item\canghaiyizhu\³½2a1.spr	\image\item\canghaiyizhu\³½2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
ThÇn-Ngù K×nh	0	122	113	0	0			4	4				4	100				\image\item\canghaiyizhu\³½2a1.spr	\image\item\canghaiyizhu\³½2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
ThÇn-Khèn §«n	0	122	114	0	0			14	4				4	100				\image\item\canghaiyizhu\³½3a1.spr	\image\item\canghaiyizhu\³½3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	115	0	0			15	4				4	100				\image\item\canghaiyizhu\³½3a1.spr	\image\item\canghaiyizhu\³½3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	116	0	0			16	4				4	100				\image\item\canghaiyizhu\³½3a1.spr	\image\item\canghaiyizhu\³½3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
ThÇn-Ngù K×nh	0	122	117	0	0			4	4				4	100				\image\item\canghaiyizhu\³½3a1.spr	\image\item\canghaiyizhu\³½3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
ThÇn-Khèn §«n	0	122	118	0	0			14	4				4	100				\image\item\canghaiyizhu\³½4a1.spr	\image\item\canghaiyizhu\³½4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	119	0	0			15	4				4	100				\image\item\canghaiyizhu\³½4a1.spr	\image\item\canghaiyizhu\³½4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	120	0	0			16	4				4	100				\image\item\canghaiyizhu\³½4a1.spr	\image\item\canghaiyizhu\³½4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
ThÇn-Ngù K×nh	0	122	121	0	0			4	4				4	100				\image\item\canghaiyizhu\³½4a1.spr	\image\item\canghaiyizhu\³½4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
ThÇn-Khèn §«n	0	122	122	0	0			14	44				4	100				\image\item\canghaiyizhu\³½5a1.spr	\image\item\canghaiyizhu\³½5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	123	0	0			15	44				4	100				\image\item\canghaiyizhu\³½5a1.spr	\image\item\canghaiyizhu\³½5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	124	0	0			16	44				4	100				\image\item\canghaiyizhu\³½5a1.spr	\image\item\canghaiyizhu\³½5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
ThÇn-Ngù K×nh	0	122	125	0	0			4	44				4	100				\image\item\canghaiyizhu\³½5a1.spr	\image\item\canghaiyizhu\³½5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
ThÇn-Khèn §«n	0	122	126	0	0			14	24				4	100				\image\item\canghaiyizhu\³½6a1.spr	\image\item\canghaiyizhu\³½6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	127	0	0			15	24				4	100				\image\item\canghaiyizhu\³½6a1.spr	\image\item\canghaiyizhu\³½6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	128	0	0			16	24				4	100				\image\item\canghaiyizhu\³½6a1.spr	\image\item\canghaiyizhu\³½6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
ThÇn-Ngù K×nh	0	122	129	0	0			4	24				4	100				\image\item\canghaiyizhu\³½6a1.spr	\image\item\canghaiyizhu\³½6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
ThÇn-Khèn §«n	0	122	130	0	0			14	24				4	100				\image\item\canghaiyizhu\³½7a1.spr	\image\item\canghaiyizhu\³½7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
ThÇn-§¬n KhuyÕt	0	122	131	0	0			15	24				4	100				\image\item\canghaiyizhu\³½7a1.spr	\image\item\canghaiyizhu\³½7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
ThÇn-Linh Tr¹ch	0	122	132	0	0			16	24				4	100				\image\item\canghaiyizhu\³½7a1.spr	\image\item\canghaiyizhu\³½7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
ThÇn-Ngù K×nh	0	122	133	0	0			4	24				4	100				\image\item\canghaiyizhu\³½7a1.spr	\image\item\canghaiyizhu\³½7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Thiªn-Hång Qu©n	0	122	134	0	0			17	5				5	100				\image\item\canghaiyizhu\Ìì1a1.spr	\image\item\canghaiyizhu\Ìì1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	135	0	0			18	5				5	100				\image\item\canghaiyizhu\Ìì1a1.spr	\image\item\canghaiyizhu\Ìì1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Thiªn-Ngù K×nh	0	122	136	0	0			4	5				5	100				\image\item\canghaiyizhu\Ìì1a1.spr	\image\item\canghaiyizhu\Ìì1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
Thiªn-Hång Qu©n	0	122	137	0	0			17	5				5	100				\image\item\canghaiyizhu\Ìì2a1.spr	\image\item\canghaiyizhu\Ìì2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	138	0	0			18	5				5	100				\image\item\canghaiyizhu\Ìì2a1.spr	\image\item\canghaiyizhu\Ìì2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Thiªn-Ngù K×nh	0	122	139	0	0			4	5				5	100				\image\item\canghaiyizhu\Ìì2a1.spr	\image\item\canghaiyizhu\Ìì2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
Thiªn-Hång Qu©n	0	122	140	0	0			17	5				5	100				\image\item\canghaiyizhu\Ìì3a1.spr	\image\item\canghaiyizhu\Ìì3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	141	0	0			18	5				5	100				\image\item\canghaiyizhu\Ìì3a1.spr	\image\item\canghaiyizhu\Ìì3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Thiªn-Ngù K×nh	0	122	142	0	0			4	5				5	100				\image\item\canghaiyizhu\Ìì3a1.spr	\image\item\canghaiyizhu\Ìì3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
Thiªn-Hång Qu©n	0	122	143	0	0			17	5				5	100				\image\item\canghaiyizhu\Ìì4a1.spr	\image\item\canghaiyizhu\Ìì4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	144	0	0			18	5				5	100				\image\item\canghaiyizhu\Ìì4a1.spr	\image\item\canghaiyizhu\Ìì4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Thiªn-Ngù K×nh	0	122	145	0	0			4	5				5	100				\image\item\canghaiyizhu\Ìì4a1.spr	\image\item\canghaiyizhu\Ìì4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
Thiªn-Hång Qu©n	0	122	146	0	0			17	45				5	100				\image\item\canghaiyizhu\Ìì5a1.spr	\image\item\canghaiyizhu\Ìì5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	147	0	0			18	45				5	100				\image\item\canghaiyizhu\Ìì5a1.spr	\image\item\canghaiyizhu\Ìì5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Thiªn-Ngù K×nh	0	122	148	0	0			4	45				5	100				\image\item\canghaiyizhu\Ìì5a1.spr	\image\item\canghaiyizhu\Ìì5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
Thiªn-Hång Qu©n	0	122	149	0	0			17	25				5	100				\image\item\canghaiyizhu\Ìì6a1.spr	\image\item\canghaiyizhu\Ìì6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	150	0	0			18	25				5	100				\image\item\canghaiyizhu\Ìì6a1.spr	\image\item\canghaiyizhu\Ìì6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Thiªn-Ngù K×nh	0	122	151	0	0			4	25				5	100				\image\item\canghaiyizhu\Ìì6a1.spr	\image\item\canghaiyizhu\Ìì6a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		6	4	1		1	999
Thiªn-Hång Qu©n	0	122	152	0	0			17	25				5	100				\image\item\canghaiyizhu\Ìì7a1.spr	\image\item\canghaiyizhu\Ìì7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Thiªn-H¹o Th­¬ng	0	122	153	0	0			18	25				5	100				\image\item\canghaiyizhu\Ìì7a1.spr	\image\item\canghaiyizhu\Ìì7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
Thiªn-Ngù K×nh	0	122	154	0	0			4	25				5	100				\image\item\canghaiyizhu\Ìì7a1.spr	\image\item\canghaiyizhu\Ìì7a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		7	4	1		1	999
§Şa-Kh«n Linh	0	122	155	0	0			19	6				6	100				\image\item\canghaiyizhu\µØ1a1.spr	\image\item\canghaiyizhu\µØ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
§Şa-Th¸i Ninh	0	122	156	0	0			20	6				6	100				\image\item\canghaiyizhu\µØ1a1.spr	\image\item\canghaiyizhu\µØ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
§Şa-Ngù K×nh	0	122	157	0	0			4	6				6	100				\image\item\canghaiyizhu\µØ1a1.spr	\image\item\canghaiyizhu\µØ1a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		1	4	1		1	999
§Şa-Kh«n Linh	0	122	158	0	0			19	6				6	100				\image\item\canghaiyizhu\µØ2a1.spr	\image\item\canghaiyizhu\µØ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
§Şa-Th¸i Ninh	0	122	159	0	0			20	6				6	100				\image\item\canghaiyizhu\µØ2a1.spr	\image\item\canghaiyizhu\µØ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
§Şa-Ngù K×nh	0	122	160	0	0			4	6				6	100				\image\item\canghaiyizhu\µØ2a1.spr	\image\item\canghaiyizhu\µØ2a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		2	4	1		1	999
§Şa-Kh«n Linh	0	122	161	0	0			19	6				6	100				\image\item\canghaiyizhu\µØ3a1.spr	\image\item\canghaiyizhu\µØ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
§Şa-Th¸i Ninh	0	122	162	0	0			20	6				6	100				\image\item\canghaiyizhu\µØ3a1.spr	\image\item\canghaiyizhu\µØ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
§Şa-Ngù K×nh	0	122	163	0	0			4	6				6	100				\image\item\canghaiyizhu\µØ3a1.spr	\image\item\canghaiyizhu\µØ3a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		3	4	1		1	999
§Şa-Kh«n Linh	0	122	164	0	0			19	6				6	100				\image\item\canghaiyizhu\µØ4a1.spr	\image\item\canghaiyizhu\µØ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
§Şa-Th¸i Ninh	0	122	165	0	0			20	6				6	100				\image\item\canghaiyizhu\µØ4a1.spr	\image\item\canghaiyizhu\µØ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
§Şa-Ngù K×nh	0	122	166	0	0			4	6				6	100				\image\item\canghaiyizhu\µØ4a1.spr	\image\item\canghaiyizhu\µØ4a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		4	4	1		1	999
§Şa-Kh«n Linh	0	122	167	0	0			19	46				6	100				\image\item\canghaiyizhu\µØ5a1.spr	\image\item\canghaiyizhu\µØ5a0.spr	Ch©u chøa søc m¹nh to lín, dïng trong hÖ thèng Th­¬ng H¶i Ch©u.		ThÇn bİ		5	4	1		1	999
