Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Cöu Ch©u-Tinh §Èu ChuyÓn Bót	0	9	8941	130	9000	0	300	0	172;345		1	110	187	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_15a1.spr	\image\item\weapon\wea_5v5liupai_15a0.spr	ThÇn bót vÉy mùc tèi trêi, sinh long ho¹t hæ, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îäµ±±Ê10	Bót		9	1	1	15	0					
Cöu Ch©u-Ph¸ Qu©n TrËn Th­¬ng	0	6	8942	130	9000	0	300	0	135;405		1	95	188	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_17a1.spr	\image\item\weapon\wea_5v5liupai_17a0.spr	Tr­êng th­¬ng kh¾c s©u chiÕn tİch cña D­¬ng Gia dòng t­íng s¸t ®Şch b×nh thiªn h¹, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÑîÃÅÇ¹10	Th­¬ng		9	1	1	17	0					
Cöu Ch©u-Truy MÖnh Cung	0	4	8943	130	9000	0	300	1	175;350		1	86	189	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_18a1.spr	\image\item\weapon\wea_5v5liupai_18a0.spr	Cung vang tùa long ng©m, vò tiÔn ph¸ thiªn s¬n, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÑîÃÅ¹­10	Cung		9	1	1	18	0					
Cöu Ch©u-ThiÖp Cèt HuyÕt §ao	0	7	8944	215	9000	0	300	2	187;374	261;522	1	105	190	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_20a1.spr	\image\item\weapon\wea_5v5liupai_20a0.spr	Ma ®ao mang tró o¸n cña v« sè oan hån, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îå¶¾µ¶10	Song ®ao		9	1	1	20	0					
Cöu Ch©u-LuyÖn Hån HuyÕt Tr¶o	0	11	8945	215	9000	0	300	2	187;374	224;448	1	105	191	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_21a1.spr	\image\item\weapon\wea_5v5liupai_21a0.spr	HuyÒn tr¶o phong Ên v« sè oan hån, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Îå¶¾×¦10	Tr¶o		9	1	1	21	0					
Cöu Ch©u-Ngù Thiªn Phong KiÕm	0	2	8946	90	9000	0	300	0	165;330	291;582	1	86	192	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_23a1.spr	\image\item\weapon\wea_5v5liupai_23a0.spr	B¶o kiÕm tiªn nh©n trong truyÒn thuyÕt, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	À¥ÂØ½£10	Tr­êng kiÕm		9	1	1	23	0					
Cöu Ch©u-ThÇn DiÖm Thiªn §ao	0	3	8947	200	9000	0	300	0	252;505		1	100	193	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_25a1.spr	\image\item\weapon\wea_5v5liupai_25a0.spr	B¶o ®ao luyÖn tõ th¸nh háa Ba T­, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	Ã÷½Ìµ¶10	§¬n ®ao		9	1	1	25	0					
Cöu Ch©u-ThÇn Phong Ph¸n Bót	0	9	8948	130	9000	0	300	0	252;505		1	110	194	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_26a1.spr	\image\item\weapon\wea_5v5liupai_26a0.spr	ThÇn bót ®­îc luyÖn tõ th¸nh háa Ba T­, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Ã÷½Ì±Ê10	Bót		9	1	1	26	0					
Cöu Ch©u-ThÇn Linh Chó Tr¶o	0	11	8949	215	9000	0	300	2	165;330	291;582	1	105	195	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_27a1.spr	\image\item\weapon\wea_5v5liupai_27a0.spr	Linh tr¶o ®­îc luyÖn tõ th¸nh háa Ba T­, s¾c nhän thÊu cèt xuyªn t©m, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	Ã÷½Ì×¦10	Tr¶o		9	1	1	27	0					
Cöu Ch©u-Linh Lung Chi	0	13	8950	140	9000	0	300	0	165;330	291;582	1	87	196	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_29a1.spr	\image\item\weapon\wea_5v5liupai_29a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	´äÑÌÉÈ10	Linh Chi		9	1	1	29	0					
Cöu Ch©u-Cöu Tiªu S¸o	0	12	8951	130	9000	0	300	0	173;345	88;175	1	87	197	70			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_5v5liupai_30a1.spr	\image\item\weapon\wea_5v5liupai_30a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	´äÑÌµÑ10	Tiªu		9	1	1	30	0					
H¹o NguyÖt-§é N¹n T«n Gi¶ PhËt §ao	0	3	8972	200	18000	0	300	0	252;505		1	100	614	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_01a1.spr	\image\item\weapon\wea_lv11_liupai_01a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖµ¶11	§¬n ®ao		9	1	1	2	0					
H¹o NguyÖt-§é KiÕp T«n Gi¶ PhËt Thñ	0	0	8973	50	18000	0	300	0	261;522	224;448	1	90	615	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_03a1.spr	\image\item\weapon\wea_lv11_liupai_03a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ÕÊÖ	Hé thñ		9	1	1	4	0					
H¹o NguyÖt-§é ¸ch T«n Gi¶ PhËt Tr­îng	0	8	8974	100	18000	0	300	0	187;374	257;514	1	86	616	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_04a1.spr	\image\item\weapon\wea_lv11_liupai_04a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖìø11	Tİch tr­îng		9	1	1	3	0					
H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Tr©m	0	1	8975	50	18000	0	300	0	152;305		1	80	617	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_06a1.spr	\image\item\weapon\wea_lv11_liupai_06a0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	°µÆ÷	¸m khİ		9	1	1	6	0					
H¹o NguyÖt-PhËt V©n Th¸nh C« Liªn KiÕm	0	2	8976	90	18000	0	300	0	165;330	291;582	1	86	618	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_08a1.spr	\image\item\weapon\wea_lv11_liupai_08a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼½£11	Tr­êng kiÕm		9	1	1	8	0					
H¹o NguyÖt-PhËt TrÇn Th¸nh C« CÇm	0	10	8977	140	18000	0	300	1	191;382	222;445	1	90	619	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_09a1.spr	\image\item\weapon\wea_lv11_liupai_09a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼ÇÙ11	CÇm		9	1	1	9	0					
H¹o NguyÖt-Trôc Phông Thiªn C¸i Thñ	0	0	8978	50	18000	0	300	0	261;522	224;448	1	90	620	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_11a1.spr	\image\item\weapon\wea_lv11_liupai_11a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	¿ÕÊÖ	Hé thñ		9	1	1	11	0					
H¹o NguyÖt-Du Long §Şa KhÊt C«n	0	5	8979	200	18000	0	300	0	205;410		1	84	621	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_12a1.spr	\image\item\weapon\wea_lv11_liupai_12a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	Ø¤°ï¹÷11	C«n		9	1	1	12	0					
H¹o NguyÖt-V« Cùc Thiªn T«n Tóc KiÕm	0	2	8980	90	18000	0	300	0	165;330	291;582	1	86	622	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_14a1.spr	\image\item\weapon\wea_lv11_liupai_14a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±½£11	Tr­êng kiÕm		9	1	1	14	0					
H¹o NguyÖt-Bİch L¹c Thiªn T«n Bót	0	9	8981	130	18000	0	300	0	172;345		1	110	623	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_15a1.spr	\image\item\weapon\wea_lv11_liupai_15a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±±Ê11	Bót		9	1	1	15	0					
H¹o NguyÖt-C¶m Thiªn §Êu Hån Th­¬ng	0	6	8982	130	18000	0	300	0	135;405		1	95	624	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_17a1.spr	\image\item\weapon\wea_lv11_liupai_17a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ÑîÃÅÇ¹11	Th­¬ng		9	1	1	17	0					
H¹o NguyÖt-§Şnh Thiªn ThÇn NghÖ Cung	0	4	8983	130	18000	0	300	1	175;350		1	86	625	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_18a1.spr	\image\item\weapon\wea_lv11_liupai_18a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ÑîÃÅ¹­11	Cung		9	1	1	18	0					
H¹o NguyÖt-Quû Xóc Tµ ThÇn §ao	0	7	8984	215	18000	0	300	2	187;374	261;522	1	105	626	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_20a1.spr	\image\item\weapon\wea_lv11_liupai_20a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	Îå¶¾µ¶11	Song ®ao		9	1	1	20	0					
H¹o NguyÖt-Vu Cèt §éc V­¬ng Tr¶o	0	11	8985	215	18000	0	300	2	187;374	224;448	1	105	627	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_21a1.spr	\image\item\weapon\wea_lv11_liupai_21a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	Îå¶¾×¦11	Tr¶o		9	1	1	21	0					
H¹o NguyÖt-BÊt §éng Ch©n Tiªn KiÕm	0	2	8986	90	18000	0	300	0	165;330	291;582	1	86	628	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_23a1.spr	\image\item\weapon\wea_lv11_liupai_23a0.spr	C«n l«n th¸i nhÊt luyÖn ch©n tiªn, phong quyÓn l«i minh ®¹p tö v©n.	À¥ÂØ½£11	Tr­êng kiÕm		9	1	1	23	0					
H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn §ao	0	3	8987	200	18000	0	300	0	252;505		1	100	629	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_25a1.spr	\image\item\weapon\wea_lv11_liupai_25a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ìµ¶11	§¬n ®ao		9	1	1	25	0					
H¹o NguyÖt-Cöu Thiªn Quû Phï Bót	0	9	8988	130	18000	0	300	0	252;505		1	110	630	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_26a1.spr	\image\item\weapon\wea_lv11_liupai_26a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ì±Ê11	Bót		9	1	1	26	0					
H¹o NguyÖt-Ma ¶nh ThÇn T«ng Tr¶o	0	11	8989	215	18000	0	300	2	165;330	291;582	1	105	631	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_27a1.spr	\image\item\weapon\wea_lv11_liupai_27a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ì×¦11	Tr¶o		9	1	1	27	0					
H¹o NguyÖt-Tª V©n Tiªn Tö PhiÕn	0	13	8990	140	18000	0	300	0	175;330	327;582	1	87	632	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_29a1.spr	\image\item\weapon\wea_lv11_liupai_29a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	´äÑÌÉÈ11	Linh Chi		9	1	1	29	0					
H¹o NguyÖt-Phi H¹ Tiªn Tö ¦u Lan Tiªu	0	12	8991	130	18000	0	300	0	173;345	88;175	1	87	633	90			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_30a1.spr	\image\item\weapon\wea_lv11_liupai_30a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	´äÑÌµÑ11	Tiªu		9	1	1	30	0					
DiÖu D­¬ng-§é N¹n T«n Gi¶ PhËt §ao	0	3	8992	200	1	0	300	0	291;505		1	100	634	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_01a1.spr	\image\item\weapon\wea_lv11_liupai_01a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖµ¶11	§¬n ®ao		10	1	1	2	0					
DiÖu D­¬ng-§é KiÕp T«n Gi¶ PhËt Thñ	0	0	8993	50	1	0	300	0	299;522	260;448	1	90	635	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_03a1.spr	\image\item\weapon\wea_lv11_liupai_03a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	¿ÕÊÖ	Hé thñ		10	1	1	4	0					
DiÖu D­¬ng-§é ¸ch T«n Gi¶ PhËt Tr­îng	0	8	8994	100	1	0	300	0	197;374	301;514	1	86	636	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_04a1.spr	\image\item\weapon\wea_lv11_liupai_04a0.spr	Bå ®Ò v« thô hãa thiÖn ¸c, minh c¶nh phi ®µi nh­îc trÇn ai.	ÉÙÁÖìø11	Tİch tr­îng		10	1	1	3	0					
DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Tr©m	0	1	8995	50	1	0	300	0	185;305		1	80	637	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_06a1.spr	\image\item\weapon\wea_lv11_liupai_06a0.spr	§éc trung §­êng M«n ®a anh tµi, v¹n kiÕp th¸nh thñ tang lôc nghŞ.	°µÆ÷	¸m khİ		10	1	1	6	0					
DiÖu D­¬ng-PhËt V©n Th¸nh C« Liªn KiÕm	0	2	8996	90	1	0	300	0	175;330	327;582	1	86	638	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_08a1.spr	\image\item\weapon\wea_lv11_liupai_08a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼½£11	Tr­êng kiÕm		10	1	1	8	0					
DiÖu D­¬ng-PhËt TrÇn Th¸nh C« CÇm	0	10	8997	140	1	0	300	1	227;382	262;445	1	90	639	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_09a1.spr	\image\item\weapon\wea_lv11_liupai_09a0.spr	La phong thanh v©n yÓm tróc am, song kiÒu thanh ©m khëi liªn kú.	¶ëÃ¼ÇÙ11	CÇm		10	1	1	9	0					
DiÖu D­¬ng-Trôc Phông Thiªn C¸i Thñ	0	0	8998	50	1	0	300	0	299;522	260;448	1	90	640	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_11a1.spr	\image\item\weapon\wea_lv11_liupai_11a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	¿ÕÊÖ	Hé thñ		10	1	1	11	0					
DiÖu D­¬ng-Du Long §Şa KhÊt C«n	0	5	8999	200	1	0	300	0	239;410		1	84	641	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_12a1.spr	\image\item\weapon\wea_lv11_liupai_12a0.spr	ThÇn c¸i trôc phông hû thiªn ®Şa, th¸nh khÊt du long tÈu tø ph­¬ng.	Ø¤°ï¹÷11	C«n		10	1	1	12	0					
DiÖu D­¬ng-V« Cùc Thiªn T«n Tóc KiÕm	0	2	9000	90	1	0	300	0	175;330	327;582	1	86	642	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_14a1.spr	\image\item\weapon\wea_lv11_liupai_14a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±½£11	Tr­êng kiÕm		10	1	1	14	0					
DiÖu D­¬ng-Bİch L¹c Thiªn T«n Bót	0	9	9001	130	1	0	300	0	207;345		1	110	643	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_15a1.spr	\image\item\weapon\wea_lv11_liupai_15a0.spr	Bİch hµ m·n kh«ng diÖu thÇn nghÜa, v« cùc hãa h­ x­ng th¸i cùc 	Îäµ±±Ê11	Bót		10	1	1	15	0					
DiÖu D­¬ng-C¶m Thiªn §Êu Hån Th­¬ng	0	6	9002	130	1	0	300	0	173;405		1	95	644	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_17a1.spr	\image\item\weapon\wea_lv11_liupai_17a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ÑîÃÅÇ¹11	Th­¬ng		10	1	1	17	0					
DiÖu D­¬ng-§Şnh Thiªn ThÇn NghÖ Cung	0	4	9003	130	1	0	300	1	215;350		1	86	645	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_18a1.spr	\image\item\weapon\wea_lv11_liupai_18a0.spr	Phong khëi v« nguyÖt chiÕn sa tr­êng, v¹n m· thiªn qu©n ®¹p b×nh xuyªn. 	ÑîÃÅ¹­11	Cung		10	1	1	18	0					
DiÖu D­¬ng-Quû Xóc Tµ ThÇn §ao	0	7	9004	215	1	0	300	2	221;374	299;522	1	105	646	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_20a1.spr	\image\item\weapon\wea_lv11_liupai_20a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	Îå¶¾µ¶11	Song ®ao		10	1	1	20	0					
DiÖu D­¬ng-Vu Cèt §éc V­¬ng Tr¶o	0	11	9005	215	1	0	300	2	221;374	250;448	1	105	647	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_21a1.spr	\image\item\weapon\wea_lv11_liupai_21a0.spr	¢m phong tµn cèt th«ng quû s¸t, tö ®Ønh tµ trïng trÊn ma hån. 	Îå¶¾×¦11	Tr¶o		10	1	1	21	0					
DiÖu D­¬ng-BÊt §éng Ch©n Tiªn KiÕm	0	2	9006	90	1	0	300	0	175;330	327;582	1	86	648	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_23a1.spr	\image\item\weapon\wea_lv11_liupai_23a0.spr	C«n l«n th¸i nhÊt luyÖn ch©n tiªn, phong quyÓn l«i minh ®¹p tö v©n.	À¥ÂØ½£11	Tr­êng kiÕm		10	1	1	23	0					
DiÖu D­¬ng-Nhôc HuyÕt Cuång ChiÕn §ao	0	3	9007	200	1	0	300	0	291;505		1	100	649	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_25a1.spr	\image\item\weapon\wea_lv11_liupai_25a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ìµ¶11	§¬n ®ao		10	1	1	25	0					
DiÖu D­¬ng-Cöu Thiªn Quû Phï Bót	0	9	9008	130	1	0	300	0	291;505		1	110	650	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_26a1.spr	\image\item\weapon\wea_lv11_liupai_26a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ì±Ê11	Bót		10	1	1	26	0					
DiÖu D­¬ng-Ma ¶nh ThÇn T«ng Tr¶o	0	11	9009	215	1	0	300	2	175;330	327;582	1	105	651	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_27a1.spr	\image\item\weapon\wea_lv11_liupai_27a0.spr	Quang minh phæ biÕn giai thanh tŞnh, gi¶ ¸c bÊt tŞnh b× nguyªn v« 	Ã÷½Ì×¦11	Tr¶o		10	1	1	27	0					
DiÖu D­¬ng-Tª V©n Tiªn Tö PhiÕn	0	13	9010	140	1	0	300	0	224;475	191;406	1	87	652	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_29a1.spr	\image\item\weapon\wea_lv11_liupai_29a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	´äÑÌÉÈ11	Linh Chi		10	1	1	29	0					
DiÖu D­¬ng-Phi H¹ Tiªn Tö ¦u Lan Tiªu	0	12	9011	130	1	0	300	0	173;375	88;196	1	87	653	80			T©n thñ kh«ng thÓ dïng	\image\item\weapon\wea_lv11_liupai_30a1.spr	\image\item\weapon\wea_lv11_liupai_30a0.spr	Phông tª v©n l¹i hoµng b× h¹, hoa vò nghÖ ®­êng tinh léng nguyÖt. 	´äÑÌµÑ11	Tiªu		10	1	1	30	0					
L«i Minh KiÕm	0	2	8866	50	25000	0	300	0	160;320	283;566	1	86	88066	90				\image\item\weapon\wea_swd_024a1.spr	\image\item\weapon\wea_swd_024a0.spr	B¾t ch­íc chÕ t¹o Hiªn Viªn vò khİ, thªm linh khİ Tö quang thÇn thó, cã thÓ ®em so s¸nh víi vËt thËt	³¤½£7b	Tr­êng kiÕm		9	1	1	23	0					
B¹ch Vò	0	13	1	30	1	0	70	0	18;33	13;27	1	87		1			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_001a1.spr	\image\item\weapon\Wea_lingzhi_001a0.spr	Lµm b»ng l«ng vò tr¾ng, vËt tïy th©n cña c¸c vò n­¬ng.	ÁéÖ¦2a	Linh Chi		2	1	0	29	0					
Nh¹n Vò	0	13	2	40	7	0	95	0	27;54	21;43	1	87		16			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_002a1.spr	\image\item\weapon\Wea_lingzhi_002a0.spr	Lµm b»ng l«ng chim nh¹n, vËt dông cÇm khi nh¶y móa	ÁéÖ¦2b	Linh Chi		2	1	0	29	0					
Bİch Ngäc	0	13	3	50	9	0	120	0	39;77	31;63	1	87		22			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_006a1.spr	\image\item\weapon\Wea_lingzhi_006a0.spr	Lµm b»ng ngäc bİch h¶o h¹ng, s¸ng bãng, mµu xanh biÕc, khi cÇm m¸t l¹nh, cã thÓ tËp trung tinh thÇn.	ÁéÖ¦6b	Linh Chi		3	1	0	29	0					
Hoa hång	0	13	4	60	12	0	140	0	51;107	43;87	1	87		28			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_003a1.spr	\image\item\weapon\Wea_lingzhi_003a0.spr	Mét cµnh hoa hång t­¬i, khi móa cµi lªn tãc hoÆc cÇm trªn tay	ÁéÖ¦3b	Linh Chi		3	1	0	29	0					
§µo Chi	0	13	5	70	16	0	155	0	70;139	57;113	1	87		34			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_004a1.spr	\image\item\weapon\Wea_lingzhi_004a0.spr	Mét cµnh ®µo ®­îc tuyÓn chän, khi móa ¸nh lªn mµu hång rùc rì	ÁéÖ¦4a	Linh Chi		4	1	0	29	0					
T­íc Vò	0	13	6	80	24	0	170	0	87;173	71;143	1	87		40			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_005a1.spr	\image\item\weapon\Wea_lingzhi_005a0.spr	Lµm b»ng l«ng khæng t­íc, khi móa sÆc sì v« cïng	ÁéÖ¦5a	Linh Chi		4	1	0	29	0					
Ng©n L¨ng	0	13	7	90	35	0	190	0	104;211	87;175	1	87		46			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_009a1.spr	\image\item\weapon\Wea_lingzhi_009a0.spr	Cµnh mÉu ®¬n b»ng b¹c, nhá xinh s¾c s¶o, nh­ hoa në sau m­a, v« cïng sèng ®éng	ÁéÖ¦5b	Linh Chi		5	1	0	29	0					
Kim Méng	0	13	8	100	53	0	200	0	125;252	105;209	1	87		52			Dïng cho ®Ö tö Thóy Yªn Vò Tiªn	\image\item\weapon\Wea_lingzhi_010a1.spr	\image\item\weapon\Wea_lingzhi_010a0.spr	Hoa sen b»ng vµng, do thî khĞo chÕ t¹o, v« cïng gi¸ trŞ	ÁéÖ¦6a	Linh Chi		5	1	0	29	0					
