Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Thiªn NghÜa- NguyÖt Hoa Thñy Bèi	0	102	3128	10	1	0	100						103	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÌìÒÇÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\ÌìÒÇÖ®ÔÂ»ªË®Ååa0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng ng­ng thñy th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 9 - 9 81 ngµy mµ thµnh, dïng tÆng hµo kiÖt ®¹i Tèng. 		Bè phÈm		9	1	1		0					
Háa Giíi	0	102	3129	10	1	0	100						101	75			T©n thñ kh«ng thÓ dïng	\image\item\ring\»ğ½äa1.spr	\image\item\ring\»ğ½äa0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng thiªn háa th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 7 - 7 49 ngµy mµ thµnh, dïng tÆng chiÕn sÜ ®¹i Tèng 		Bè phÈm		8	1	1		0					
Tinh Kh¾c-Cöu ¦u Háa Giíi	0	102	3130	10	1	0	100						102	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\ĞÇ¿ÌÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\ĞÇ¿ÌÖ®¾ÅÓÄ»ğ½äa0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng thiªn háa th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 8 - 8 64 ngµy mµ thµnh, dïng tÆng dòng sÜ ®¹i Tèng. 		Bè phÈm		8	1	1		0					
Thiªn NghÜa- Cöu ¦u Háa Giíi	0	102	3131	10	1	0	100						103	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\ÌìÒÇÖ®¾ÅÓÄ»ğ½äa0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng thiªn háa th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 9 - 9 81 ngµy mµ thµnh, dïng tÆng hµo kiÖt ®¹i Tèng. 		Bè phÈm		9	1	1		0					
Thæ Hoµn	0	102	3132	10	1	0	100						101	75			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÍÁ»·a1.spr	\image\item\ring\ÍÁ»·a0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng bµn nham th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 7 - 7 49 ngµy mµ thµnh, dïng tÆng chiÕn sÜ ®¹i Tèng 		Bè phÈm		8	1	1		0					
Tinh Kh¾c-Ng­ng Ngäc Thæ Hoµn	0	102	3133	10	1	0	100						102	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\ĞÇ¿ÌÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\ĞÇ¿ÌÖ®ÄıÓñÍÁ»·a0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng bµn nham th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 8 - 8 64 ngµy mµ thµnh, dïng tÆng dòng sÜ ®¹i Tèng. 		Bè phÈm		8	1	1		0					
Thiªn NghÜa- Ng­ng Ngäc Thæ Hoµn	0	102	3134	10	1	0	100						103	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\ÌìÒÇÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\ÌìÒÇÖ®ÄıÓñÍÁ»·a0.spr	T­ M· Phæ Nguyªn t¹i T­¬ng D­¬ng ®· dïng bµn nham th¹ch trong ngò hµnh thiªn nghÜa rÌn trong 9 - 9 81 ngµy mµ thµnh, dïng tÆng hµo kiÖt ®¹i Tèng. 		Bè phÈm		9	1	1		0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3135	10	1	0	100						178	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	2	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3136	10	1	0	100						178	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	2	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3137	10	1	0	100						180	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	3	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3138	10	1	0	100						180	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	3	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3139	10	1	0	100						179	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	4	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3140	10	1	0	100						179	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	4	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3141	10	1	0	100						181	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	6	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3142	10	1	0	100						181	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	6	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3143	10	1	0	100						182	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	8	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3144	10	1	0	100						182	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	8	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3145	10	1	0	100						183	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	9	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3146	10	1	0	100						183	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	9	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3147	10	1	0	100						184	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	11	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3148	10	1	0	100						184	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	11	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3149	10	1	0	100						185	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	12	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3150	10	1	0	100						185	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	12	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3151	10	1	0	100						186	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	14	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3152	10	1	0	100						186	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	14	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3153	10	1	0	100						187	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	15	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3154	10	1	0	100						187	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	15	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3155	10	1	0	100						188	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	17	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3156	10	1	0	100						188	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	17	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3157	10	1	0	100						189	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	18	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3158	10	1	0	100						189	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	18	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3159	10	1	0	100						190	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	20	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3160	10	1	0	100						190	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	20	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3161	10	1	0	100						191	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	21	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3162	10	1	0	100						191	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	21	0					
Cöu Ch©u-NguyÖt Hoa Thñy Béi	0	102	3163	10	1	0	100						192	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa1.spr	\image\item\ring\¾ÅÖİÖ®ÔÂ»ªË®Ååa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	23	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3164	10	1	0	100						192	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	23	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3165	10	1	0	100						193	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	25	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3166	10	1	0	100						193	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	25	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3167	10	1	0	100						194	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	26	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3168	10	1	0	100						194	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	26	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3169	10	1	0	100						195	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	27	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3170	10	1	0	100						195	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	27	0					
Cöu Ch©u-PhØ Thóy Méc §íi	0	102	3171	10	1	0	100						196	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa1.spr	\image\item\ring\¾ÅÖİÖ®ôä´äÄ¾´øa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	29	0					
Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0	102	3172	10	1	0	100						196	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña1.spr	\image\item\ring\¾ÅÖİÖ®ĞşÊ¯½ğÓña0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	29	0					
Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0	102	3173	10	1	0	100						197	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a1.spr	\image\item\ring\¾ÅÖİÖ®ÄıÓñÍÁ»·a0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	30	0					
Cöu Ch©u-Cöu ¦u Háa Giíi	0	102	3174	10	1	0	100						197	70			T©n thñ kh«ng thÓ dïng	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa1.spr	\image\item\ring\¾ÅÖİÖ®¾ÅÓÄ»ğ½äa0.spr	Mét trong Ngò s¾c b¶o ngäc, céng h­ëng víi vò khİ Cöu Ch©u. 		Bè phÈm		9	1	1	30	0					
H¹o NguyÖt-¤ L©n B¶o Giíi	0	102	3175	10	1	0	100						228	87			T©n thñ kh«ng thÓ dïng	\image\item\ring\ğ©ÔÂÖ®ÎÚ÷ë±¦½äa1.spr	\image\item\ring\ğ©ÔÂÖ®ÎÚ÷ë±¦½äa0.spr	L©n gi¸c « kim, ng¹nh nh­ huyÒn thiÕt.		Bè phÈm		9	1	1		0					
DiÖu D­¬ng-¤ L©n B¶o Giíi	0	102	3176	10	1	0	100						229	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®ÎÚ÷ë±¦½äa1.spr	\image\item\ring\Ò«ÈÕÖ®ÎÚ÷ë±¦½äa0.spr	L©n gi¸c « kim, ng¹nh nh­ huyÒn thiÕt.		Bè phÈm		9	1	1		0					
H¹o NguyÖt-Tö Giao Ngäc Béi	0	102	3177	10	1	0	100						228	87			T©n thñ kh«ng thÓ dïng	\image\item\ring\ğ©ÔÂÖ®×ÏòÔÓñÅåa1.spr	\image\item\ring\ğ©ÔÂÖ®×ÏòÔÓñÅåa0.spr	Giao tÈu tö méc, ®Şch huyÕt thµnh ngäc.		Bè phÈm		9	1	1		0					
DiÖu D­¬ng-Tö Giao Ngäc Béi	0	102	3178	10	1	0	100						229	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®×ÏòÔÓñÅåa1.spr	\image\item\ring\Ò«ÈÕÖ®×ÏòÔÓñÅåa0.spr	Giao tÈu tö méc, ®Şch huyÕt thµnh ngäc.		Bè phÈm		9	1	1		0					
H¹o NguyÖt-V©n Hæ LÖnh	0	102	3179	10	1	0	100						228	87			T©n thñ kh«ng thÓ dïng	\image\item\ring\ğ©ÔÂÖ®ÔÆ»¢ÁîÅÆa1.spr	\image\item\ring\ğ©ÔÂÖ®ÔÆ»¢ÁîÅÆa0.spr	Hæ ®¹p v©n thñy, nh­ vô nh­ huyÒn 		Bè phÈm		9	1	1		0					
DiÖu D­¬ng-V©n Hæ LÖnh	0	102	3180	10	1	0	100						229	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa1.spr	\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa0.spr	Hæ ®¹p v©n thñy, nh­ vô nh­ huyÒn 		Bè phÈm		9	1	1		0					
H¹o NguyÖt-Xİch T­íc Hoµn	0	102	3181	10	1	0	100						228	87			T©n thñ kh«ng thÓ dïng	\image\item\ring\ğ©ÔÂÖ®³àÈ¸Ö¸»·a1.spr	\image\item\ring\ğ©ÔÂÖ®³àÈ¸Ö¸»·a0.spr	T­íc sinh xİch háa, l­ìng dùc sinh diÖm 		Bè phÈm		9	1	1		0					
DiÖu D­¬ng-Xİch T­íc Hoµn	0	102	3182	10	1	0	100						229	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®³àÈ¸Ö¸»·a1.spr	\image\item\ring\Ò«ÈÕÖ®³àÈ¸Ö¸»·a0.spr	T­íc sinh xİch háa, l­ìng dùc sinh diÖm 		Bè phÈm		9	1	1		0					
H¹o NguyÖt-Bİch Quy Liªn	0	102	3183	10	1	0	100						228	87			T©n thñ kh«ng thÓ dïng	\image\item\ring\ğ©ÔÂÖ®±Ì¹êÏîÁ´a1.spr	\image\item\ring\ğ©ÔÂÖ®±Ì¹êÏîÁ´a0.spr	Quy lËp bİch thæ, hoµn gi¸p giao s¸i.		Bè phÈm		9	1	1		0					
DiÖu D­¬ng-Bİch Quy Liªn	0	102	3184	10	1	0	100						229	80			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®±Ì¹êÏîÁ´a1.spr	\image\item\ring\Ò«ÈÕÖ®±Ì¹êÏîÁ´a0.spr	Quy lËp bİch thæ, hoµn gi¸p giao s¸i.		Bè phÈm		9	1	1		0					
DiÖu D­¬ng To¸i Hoµng-¤ L©n B¶o Giíi	0	102	3185	10	1	0	100						654	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®ÎÚ÷ë±¦½äa1.spr	\image\item\ring\Ò«ÈÕÖ®ÎÚ÷ë±¦½äa0.spr	L©n gi¸c « kim, ng¹nh nh­ huyÒn thiÕt.		Bè phÈm		10	1	1		0					
DiÖu D­¬ng To¸i Hoµng-Tö Giao Ngäc Béi	0	102	3186	10	1	0	100						654	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®×ÏòÔÓñÅåa1.spr	\image\item\ring\Ò«ÈÕÖ®×ÏòÔÓñÅåa0.spr	Giao tÈu tö méc, ®Şch huyÕt thµnh ngäc.		Bè phÈm		10	1	1		0					
DiÖu D­¬ng To¸i Hoµng-V©n Hæ LÖnh	0	102	3187	10	1	0	100						654	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa1.spr	\image\item\ring\Ò«ÈÕÖ®ÔÆ»¢ÁîÅÆa0.spr	Hæ ®¹p v©n thñy, nh­ vô nh­ huyÒn 		Bè phÈm		10	1	1		0					
DiÖu D­¬ng To¸i Hoµng-Xİch T­íc Hoµn	0	102	3188	10	1	0	100						654	85			T©n thñ kh«ng thÓ dïng	\image\item\ring\Ò«ÈÕÖ®³àÈ¸Ö¸»·a1.spr	\image\item\ring\Ò«ÈÕÖ®³àÈ¸Ö¸»·a0.spr	T­íc sinh xİch háa, l­ìng dùc sinh diÖm 		Bè phÈm		10	1	1		0					
