T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
B¸o §en	0	105	30013	0	0	0	800							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	"B¸o §en, ®en nh­ mùc nhung, tèc ®é kinh ng­êi,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		1			
B¸o Vµng	0	105	30014	0	0	0	800							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	"Kim TiÒn B¸o, sinh sèng t¹i c¸c vïng nói s©u th¼m hoang s¬, uy dòng phi th­êng, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		1			
¤ V©n §¹p TuyÕt	0	105	30015	0	0	0	800							10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	"¤ V©n §¹p TuyÕt, th©n ®en vã b¹c, di chuyÓn tùa TuyÕt §iÓu Xuyªn V©n,  nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		1			
§éc Gi¸c Thó	0	105	30016	0	0	0	800							10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	"§éc Gi¸c Thó, thÇn thó xinh ®Ñp thuÇn khiÕt, nh©n vËt sau khi chuyÓn sinh cã thÓ c­ìi"	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingmount.lua	4		1			
Kim Kú L©n B¶o B¶o	0	105	30017	0	0	0	2500							10				\image\item\horse\longjin_.spr	\image\item\horse\longjin.spr	Kim Kú L©n B¶o B¶o	½ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Thñy Kú L©n  B¶o B¶o	0	105	30018	0	0	0	2500							10				\image\item\horse\Óñ÷è÷ëa1.spr	\image\item\horse\Óñ÷è÷ëa0.spr	Thñy Kú L©n  B¶o B¶o	Ë®÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Ngäc Kú L©n  B¶o B¶o	0	105	30019	0	0	0	2500							10				\image\item\horse\longlv_.spr	\image\item\horse\longlv.spr	Ngäc Kú L©n  B¶o B¶o	Óñ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Háa Kú L©n  B¶o B¶o	0	105	30020	0	0	0	2500							10				\image\item\horse\»ğ÷è÷ëa1.spr	\image\item\horse\»ğ÷è÷ëa0.spr	Háa Kú L©n  B¶o B¶o	»ğ÷è÷ë	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Cæ D­¬ng Thó  B¶o B¶o	0	105	30021	0	0	0	2500							10				\image\item\horse\qiling_.spr	\image\item\horse\qiling.spr	Cæ D­¬ng Thó  B¶o B¶o	¹ÅÑôÊŞ	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Kim Mao Ng­u B¶o B¶o	0	105	30022	0	0	0	2500							10				\image\item\horse\niou_huang_.spr	\image\item\horse\niou_huang.spr	Kim Mao Ng­u B¶o B¶o	êóÅ£3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hång Mao Ng­u B¶o B¶o	0	105	30023	0	0	0	2500							10				\image\item\horse\niou_hong_.spr	\image\item\horse\niou_hong.spr	Hång Mao Ng­u B¶o B¶o	êóÅ£	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Lam Mao Ng­u B¶o B¶o	0	105	30024	0	0	0	2500							10				\image\item\horse\niou_lan_.spr	\image\item\horse\niou_lan.spr	Lam Mao Ng­u B¶o B¶o	êóÅ£2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¹ch Hæ B¶o B¶o	0	105	30025	0	0	0	2500							10				\image\item\horse\baihu_.spr	\image\item\horse\baihu.spr	B¹ch Hæ B¶o B¶o	»¢3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
Hoµng Hæ B¶o B¶o	0	105	30026	0	0	0	2500							10				\image\item\horse\»Æ»¢a1.spr	\image\item\horse\»Æ»¢a0.spr	Hoµng Hæ B¶o B¶o	»¢2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
H¾c Hæ B¶o B¶o	0	105	30027	0	0	0	2500							10				\image\item\horse\ºÚ»¢a1.spr	\image\item\horse\ºÚ»¢a0.spr	H¾c Hæ B¶o B¶o	»¢1	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Tr¾ng B¶o B¶o	0	105	30028	0	0	0	2500							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o §en B¶o B¶o	0	105	30029	0	0	0	2500							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
B¸o Vµng B¶o B¶o	0	105	30030	0	0	0	2500							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
¤ V©n §¹p TuyÕt B¶o B¶o	0	105	30031	0	0	0	2500							10				\image\item\horse\mahei_.spr	\image\item\horse\mahei.spr	¤ V©n §¹p TuyÕt B¶o B¶o	Âí19	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
§éc Gi¸c Thó B¶o B¶o	0	105	30032	0	0	0	2500							10				\image\item\horse\mabai_.spr	\image\item\horse\mabai.spr	§éc Gi¸c Thó B¶o B¶o	Âí20	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	4	1			
ChiÕn T­îng	0	105	30033	0	0	0	2500							10				\image\item\horse\³¤Ã«Ïóa1.spr	\image\item\horse\³¤Ã«Ïóa0.spr	"ChiÕn T­îng, thó c­ìi chuyªn dông cña Nguyªn So¸i, uy phong lÉm liÖt, qu©n c«ng ®¹t trªn 25 v¹n ®iÓm cã thÓ c­ìi"	Ïó	M· Bµi	\script\online_activites\silingmount\item\zhanxiang.lua	4	4	1			
ThuyÒn Thanh Long	0	105	30034	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		¶Ì±øÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\qinglong_script.lua	1	1	1			
ThuyÒn HuyÒn Vò	0	105	30035	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		Ë®À×ÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\xuanwu_script.lua	1	1	1			
ThuyÒn B¹ch Hæ	0	105	30036	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		Ë®ÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\baihu_script.lua	1	1	1			
ThuyÒn Chu T­íc	0	105	30037	0	0	0	1000							10			20	\image\item\horse\ÁúÖÛ_a1.spr	\image\item\horse\ÁúÖÛ_a0.spr		ÍÁÅÚÁúÖÛ	M· Bµi	\script\missions\dragonboat2011\boat\zhuque_script.lua	1	1	1			
NguyÖt L­îng Thè	0	105	30038	0	0	0	2500							10				\image\item\horse\°×ÍÃ×Ó36.spr	\image\item\horse\°×ÍÃ×Ó120.spr	Thá tr¾ng xinh ®Ñp qu¸	°×ÍÃ×Ó	M· Bµi		1	4	1			
Thá ®en	0	105	30039	0	0	0	2500							10				\image\item\horse\ºÚÍÃ×Ó36.spr	\image\item\horse\ºÚÍÃ×Ó120.spr	Thá ®en ngé nghÜnh	ºÚÍÃ×Ó	M· Bµi		1	4	1			
Thá b«ng	0	105	30040	0	0	0	2500							10				\image\item\horse\»¨ÍÃ×Ó36.spr	\image\item\horse\»¨ÍÃ×Ó120.spr	Thá b«ng ®¸ng yªu qu¸	»¨ÍÃ×Ó	M· Bµi		1	4	1			
Xe TuÇn Léc mµu ®á	0	105	30041	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁa1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁa0.spr	"Xe TuÇn Léc §á xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ºì£©	M· Bµi		1	4	1			
Xe TuÇn Léc  xanh lôc	0	105	30042	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ2a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ2a0.spr	"Xe TuÇn Léc Lôc xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ÂÌ£©	M· Bµi		1	4	1			
Xe TuÇn Léc mµu vµng	0	105	30043	0	0	0	2500							10				\image\item\horse\Ê¥µ®Ñ©ÇÁ3a1.spr	\image\item\horse\Ê¥µ®Ñ©ÇÁ3a0.spr	"Xe TuÇn Léc Vµng xinh ®Ñp, v« cïng thêi trang"	·ÉÌìÓùÂ¹£¨ÂÌ½ğ£©	M· Bµi		1	4	1			
Phi HiÓu	0	105	141	0	0	0	2500							10				\image\item\horse\ma037a1.spr	\image\item\horse\ma037a0.spr	"Så ­ng kinh ph¸ hiÓu, kh­¬ng ®Şch tØnh biªn nh©n."	ÆÆÏş	M· Bµi		8	1	1		50000	999
L¹c §µ Tr¾ng	0	105	148	0	0	0	2500							10				\image\item\horse\ÂæÍÕ°×a1.spr	\image\item\horse\ÂæÍÕ°×a0.spr	"§­îc gäi lµ ""con tµu trªn sa m¹c"". "	°×ÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
L¹c §µ X¸m	0	105	149	0	0	0	2500							10				\image\item\horse\ÂæÍÕ»Òa1.spr	\image\item\horse\ÂæÍÕ»Òa0.spr	"§­îc gäi lµ ""con tµu trªn sa m¹c"". "	»ÒÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
Tam VÜ TuyÕt Hå	0	105	160	0	0	0	2500							10				\image\item\horse\jiuweihu03a1.spr	\image\item\horse\jiuweihu03a0.spr	"Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã ba c¸i ®u«i."	ÈıÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Háa hå	0	105	164	0	0	0	2500							10				\image\item\horse\jiuweihu01_honga1.spr	\image\item\horse\jiuweihu01_honga0.spr	"Trªn nói cã hå ly, l«ng mµu ®á thÉm vµ rÊt t©m linh."	»ğºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
L©n S­	0	105	30044	0	0	0	25000							10				\image\item\horse\ÎèÊ¨a1.spr	\image\item\horse\ÎèÊ¨a0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con l©n s­ ®Ó ng­¬i c­ìi	ÎèÊ¨	M· Bµi		3	0	1		200000	
B¸o §en B¶o B¶o	0	105	30045	0	0	0	2500							10				\image\item\horse\ºÚ±ªa1.spr	\image\item\horse\ºÚ±ªa0.spr	B¸o §en B¶o B¶o	±ª×Ó	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
B¸o Vµng B¶o B¶o	0	105	30046	0	0	0	2500							10				\image\item\horse\baohuang_.spr	\image\item\horse\baohuang.spr	B¸o Vµng B¶o B¶o	±ª×Ó3	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
B¸o Tr¾ng B¶o B¶o	0	105	30047	0	0	0	2500							10				\image\item\horse\baobai_.spr	\image\item\horse\baobai.spr	B¸o Tr¾ng B¶o B¶o	±ª×Ó2	M· Bµi	\script\online_activites\silingmount\item\silingbabymount.lua	4	0	1			
ThÇn Thó TŞch Tµ	0	105	30048	0	0	0	2500							10				\image\item\horse\ÉñÊŞ±ÙĞ°a0.spr	\image\item\horse\ÉñÊŞ±ÙĞ°a1.spr	"Kim linh h­ëng, ngäc tiªu ng©m, tiªn bİ phôc loan do xu©n th¸n, thÇn c©u hµm miªn no·n phong bµng."	ÉñÊŞ±ÙĞ°	M· Bµi	\script\item\yujian.lua	7	0	1		50000	999
Kú l©n	0	105	30049	0	0	0	688							10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	"Kú L©n t­îng tr­ng cho may m¾n, tèc ®é di chuyÓn 100%"	ÄêÊŞ	M· Bµi		3	0	1		6	
Thiªn Lı Truy Phong(®á)	0	105	107	0	0	0	2500							10				\image\item\horse\Ç§Àï×··ç£¨ºì£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨ºì£©a0.spr	"TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi."	Âí24	M· Bµi		7	2	1		10000	999
Thiªn Lı Truy Phong(vµng)	0	105	108	0	0	0	2500							10				\image\item\horse\Ç§Àï×··ç£¨»Æ£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨»Æ£©a0.spr	"TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi."	Âí25	M· Bµi		7	2	1		10000	999
Thiªn Lı Truy Phong(®en)	0	105	109	0	0	0	2500							10				\image\item\horse\Ç§Àï×··ç£¨ºÚ£©a1.spr	\image\item\horse\Ç§Àï×··ç£¨ºÚ£©a0.spr	"TÇn Thñy Hoµng Ngù H¹ ThÇn CÈu Chi Thñ, ch¹y nh­ giã ®uæi."	Âí26	M· Bµi		7	2	1		10000	999
Ngùa v»n	0	105	166	0	0	0	2500							10			6	\image\item\horse\ma39a1.spr	\image\item\horse\ma39a0.spr	H×nh nh­ ngùa v»n vµ ngùa b×nh th­êng kh¸c nhau hoµn toµn	°ßÂí	M· Bµi		4	2	1		50000	999
C¸o n¨m ®u«i	0	105	161	0	0	0	2500							10				\image\item\horse\jiuweihu05a1.spr	\image\item\horse\jiuweihu05a0.spr	"Trªn gß nói cã thÇn thó, h×nh d¸ng nh­ c¸o n¨m ®u«i"	ÎåÎ²ºü	M· Bµi		8	2	1		50000	999
Thá	0	105	30050	0	0	0	2500							10				\image\item\horse\°×ÍÃ×Ó36lb.spr	\image\item\horse\°×ÍÃ×Ólb120.spr	"Trªn s¸ch nãi, dïng 1 cäng cµ rèt cã thÓ dô b¾t ®­îc thá!"	ÂÜ²·°×ÍÃ	M· Bµi		8	2	1		50000	999
Hoa sen	0	105	30051	0	0	0	2500							10				\image\item\horse\Á«»¨×ùÀ¶a1.spr	\image\item\horse\Á«»¨×ùÀ¶a0.spr	"Khóc Tr¶o Phï Dung ¸nh Tróc Gia, Lôc Hång T­¬ng û ñng V©n Hµ"	ÇàÁ«»¨	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn Xa TÇn Thñy Hoµng	0	105	30052	0	0	0	2500							10				\image\item\horse\Õ½³µa1.spr	\image\item\horse\Õ½³µa0.spr	"§©y lµ ChiÕn Xa Thñy Hoµng ®­îc t×m thÊy trong lang mé cña TÇn Thñy Hoµng, mét søc m¹nh bİ Èn gióp nã cã thÓ ®i ngµn dÆm trong mét ngµy."	Ê¼»ÊÕ½³µ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
DiÒu Bay	0	105	30053	0	0	0	2500							10				\image\item\horse\feiyuana1.spr	\image\item\horse\feiyuana0.spr	Tinh hoa c¬ quan thuËt cña nhµ C«ng Th©u.	·Éğ°	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Kim Gi¸p H¾c S¬n	0	105	30054	0	0	0	2500							10				\image\item\horse\×øÆïÑò3a1.spr	\image\item\horse\×øÆïÑò3a0.spr	"TiÕng tï vµ chiÕn ®Êu næi lªn, H¾c S¬n lµ chiÕn sÜ m¹nh nhÊt cña th¶o nguyªn."	½ğ¼×ºÚÉ½	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TiÓu B¹ch D­¬ng	0	105	30055	0	0	0	2500							10				\image\item\horse\×øÆïÑò1a1.spr	\image\item\horse\×øÆïÑò1a0.spr	TiÓu B¹ch D­¬ng lµ mét con dª kiªu ng¹o.	°×ÑòĞ¡ßã	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Long M·	0	105	30056	0	0	0	2500							10				\image\item\other\¶À½ÇÊŞ36.spr	\image\item\horse\dujiaoshou1200.spr	"TruyÒn thuyÕt long m· bay lªn mÆt s«ng, th©n mang hµ ®å. Long m· tøc lµ thó mét sõng."	¶À½ÇÊŞ	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Liªn Hoa	0	105	30057	0	0	0	2500							10				\image\item\horse\Á«»¨×ù°×a1.spr	\image\item\horse\Á«»¨×ù°×a0.spr	"B¹ch liªn bÊt nhiÔm trÇn, hîp ch­ëng vi th­¬ng sinh."	°×Á«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
Hång Liªn Hoa	0	105	30058	0	0	0	2500							10				\image\item\horse\Á«»¨×ùºìa1.spr	\image\item\horse\Á«»¨×ùºìa0.spr	"Hång lien nhiªn tËn xö, nghiÖp háa ®o¹n sinh hån."	ºìÁ«»¨	M· Bµi	\script\item\yujian.lua	4	0	1		50000	999
Tö Liªn Hoa	0	105	30059	0	0	0	2500							10				\image\item\horse\Á«»¨×ù×Ïa1.spr	\image\item\horse\Á«»¨×ù×Ïa0.spr	"Tö liªn hËn dao d¹, biÖt thŞ vi t­¬ng t­."	×ÏÁ«»¨	M· Bµi	\script\item\yujian.lua	4	2	1		50000	999
GÊu Manh Manh	0	105	150	0	0	0	2500							10				\image\item\horse\ĞÜÃ¨a1.spr	\image\item\horse\ĞÜÃ¨a0.spr	"§©y lµ loµi thó l¹ hiÕm cã, dÜ nhiªn ph¶i dµnh cho ng­êi giái nhÊt."	ĞÜÃ¨ÃÈÃÈ	M· Bµi	\script\item\yujian.lua	8	3	1		200000	999
Kim Gi¸p Bİch L©n ThÇn Léc	0	105	10119	0	0	0	2500							10				\image\item\horse\Ã·»¨Â¹£¨ºì£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨ºì£©a0.spr	"§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)"	Ã·»¨Â¹£¨ºì£©	M· Bµi		7	2	1		10000	999
Kim Gi¸p Tö L©n ThÇn Léc	0	105	10121	0	0	0	2500							10				\image\item\horse\Ã·»¨Â¹£¨ºÚ£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨ºÚ£©a0.spr	"§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)"	Ã·»¨Â¹£¨ºÚ£©	M· Bµi		7	2	1		10000	999
Kim Gi¸p Lam L©n ThÇn Léc	0	105	10122	0	0	0	2500							10				\image\item\horse\Ã·»¨Â¹£¨°×£©a1.spr	\image\item\horse\Ã·»¨Â¹£¨°×£©a0.spr	"§©y lµ lo¹i thó mµ c¸c th­ sinh sÜ tö ®Òu rÊt ­a thİch. <color=yellow> (lo¹i thó c­ìi ®Æc thï nµy, khi c­ìi th× kh«ng thÓ sö dông kü n¨ng)"	Ã·»¨Â¹£¨°×£©	M· Bµi		7	2	1		10000	999
Gi¸ng V©n Xİch Tiªu KiÕm	0	105	180	0	0	0	2500							10				\image\item\horse\Óù½£×øÆï1a1.spr	\image\item\horse\Óù½£×øÆï1a0.spr	"TriÖu håi Gi¸ng V©n Xİch Tiªu KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh"	ç­ÔÆ³àÏö½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Lé Song Hoa KiÕm	0	105	181	0	0	0	2500							10				\image\item\horse\Óù½£×øÆï2a1.spr	\image\item\horse\Óù½£×øÆï2a0.spr	"TriÖu håi B¹ch Lé Song Hoa KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh"	°×Â¶Ëª»ª½£	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
V« Väng V« TrÇn KiÕm	0	105	182	0	0	0	2500							10				\image\item\horse\Óù½£×øÆï3a1.spr	\image\item\horse\Óù½£×øÆï3a0.spr	"TriÖu håi V« Väng V« TrÇn KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh"	ÎŞÍıÎŞ³¾½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Hång	0	105	190	0	0	0	2500							10				\image\item\horse\baizelinshou03a1.spr	\image\item\horse\baizelinshou03a0.spr	"Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. §­îc trang bŞ yªn ®iªu kh¾c, v« cïng sang träng."	°×ĞÜ3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ChiÕn Xe TÇn	0	105	183	0	0	0	2500							10				\image\item\horse\Ê¼»ÊÕ½³µa1.spr	\image\item\horse\Ê¼»ÊÕ½³µa0.spr	"ChiÕn xe rÊt æn, xe ch¹y nh­ bay."	ÇØÂíÈÖ³µ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
C¸t T­êng Tiªn H¹c	0	105	192	0	0	0	2500							10				\image\item\horse\ÏÉº×1a1.spr	\image\item\horse\ÏÉº×1a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo L¹p Mai C¸t T­êng ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	¼ªÏéÏÉº×	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
T­êng NhuÖ Tiªn H¹c	0	105	193	0	0	0	2500							10				\image\item\horse\ÏÉº×2a1.spr	\image\item\horse\ÏÉº×2a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo khİ C¸t NhuÖ ®Çy ng­êi ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	ÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TuyÕt Ng©n T­êng NhuÖ Tiªn H¹c	0	105	194	0	0	0	2500							10				\image\item\horse\ÏÉº×3a1.spr	\image\item\horse\ÏÉº×3a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c TuyÕt Ng©n Hµn Gi¸p, kh¾p ng­êi ®Çy C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	Ñ©ÒøÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Kim Ngäc T­êng NhuÖ Tiªn H¹c	0	105	195	0	0	0	2500							10				\image\item\horse\ÏÉº×4a1.spr	\image\item\horse\ÏÉº×4a0.spr	"T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c Kim Loan B¹ch Ngäc ChiÕn Gi¸p, kh¾p ng­êi ®Çy Khİ C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn."	½ğÓñÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Cöu VÜ TuyÕt Hå	0	105	163	0	0	0	2500							10				\image\item\horse\jiuweihu09a1.spr	\image\item\horse\jiuweihu09a0.spr	"Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã chİn c¸i ®u«i."	¾ÅÎ²ºü	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TuyÕt Nghª	0	105	199	0	0	0	2500							10				\image\item\horse\Ê¨×Ó1a1.spr	\image\item\horse\Ê¨×Ó1a0.spr	"VÎ ngoµi nh­ s­ tö, toµn th©n tr¾ng muèt, cã thÓ chØ huy mu«n thó."	Ñ©â¥	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
TuÇn Léc	0	105	101	0	0	0	15000							10				\image\item\horse\Ê¥µ®Â¹a1.spr	\image\item\horse\Ê¥µ®Â¹a0.spr	TriÖu håi thó c­ìi TuÇn Léc	Ê¥µ®Â¹	M· Bµi		7	0	1		10000	999
Kim Ng­u	0	105	102	0	0	0	15000							10				\image\item\other\jinniu_a1.spr	\image\item\other\jinniu_a0.spr	TriÖu håi thó c­ìi Kim Ng­u	½ğÅ£	M· Bµi		7	4	1		10000	999
Hæ V»n	0	105	103	0	0	0	15000							10				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	TriÖu håi thó c­ìi TuÇn Léc	Âí21	M· Bµi		7	4	1		10000	999
Vua Thó V»n Tr¾ng	0	105	104	0	0	0	15000							10				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	TriÖu håi thó c­ìi Kim Ng­u	Âí22	M· Bµi		7	4	1		10000	999
Niªn Thó N¨m Míi	0	105	105	0	0	0	2500							10				\image\item\horse\ÄêÊŞa1.spr	\image\item\horse\ÄêÊŞa0.spr	Sau khi sö dông sÏ xuÊt hiÖn mét con niªn thó ®Ó b¹n c­ìi.	ÄêÊŞ	M· Bµi		3	4	1		6	999
Hæ Vµng C¸t T­êng (§á)	0	105	10115	0	0	0	2500							10				\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºì£©a1.spr	\image\item\horse\¼ªÏé»Æ½ğ»¢£¨ºì£©a0.spr	"TiÕng vang nói rõng, bãng r¹p c©y cá <color=yellow>(Thó c­ìi ®Æc biÖt, khi c­ìi kh«ng thÓ dïng kü n¨ng)"	¼ªÏé»Æ½ğ»¢£¨ºì£©	M· Bµi	\script\item\yujian.lua	7	4	1		10000	999
